"","x"
"1",-10.8346398505298
"2",-10.9272189464279
"3",-11.3331143617858
"4",-11.5366424541668
"5",-10.6035730503783
"6",-10.3303364606828
"7",-9.48264032894923
"8",-8.96321723379457
"9",-9.8439945355339
"10",-10.1495893878934
"11",-10.718319459909
"12",-11.5029880980649
"13",-11.4115698642405
"14",-11.2734300669674
"15",-11.3026000389723
"16",-11.4598224908454
"17",-11.6682216173817
"18",-11.6992455331367
"19",-11.8335759695072
"20",-11.8493875484502
"21",-11.7155258263165
"22",-11.4534344600572
"23",-11.1081658242467
"24",-10.8850847664455
"25",-10.4135505714867
"26",-10.1886095909498
"27",-10.2289026972039
"28",-10.2798078679851
"29",-10.0095298504322
"30",-9.93494048987229
"31",-10.1785965937459
"32",-10.45494915122
"33",-10.8188832644435
"34",-11.0147911129444
"35",-11.1311302111956
"36",-11.3791250072739
"37",-10.1466395868575
"38",-10.0710700461746
"39",-9.78784040886989
"40",-9.65859076617606
"41",-9.66590971005894
"42",-9.64263267414125
"43",-9.62645090667841
"44",-9.61151436725866
"45",-9.76293243147594
"46",-10.0332545350448
"47",-10.1486739941615
"48",-9.60369658692641
"49",-8.90371112610395
"50",-7.35370010884301
"51",-6.87348528974217
"52",-7.85801725160426
"53",-8.10951422074192
"54",-8.51558739515981
"55",-9.79436727001794
"56",-9.62715252533542
"57",-9.42140346585015
"58",-9.14073758901027
"59",-8.73060827984663
"60",-8.42701816462283
"61",-7.58001704811292
"62",-6.57637153776483
"63",-6.20320225443261
"64",-7.14008365027997
"65",-7.5398341053022
"66",-6.32424363014355
"67",-6.28332342280112
"68",-5.98980725468791
"69",-6.40898235794448
"70",-6.61878859859644
"71",-6.38157916724459
"72",-5.37186129535345
"73",-5.31973199832997
"74",-5.4958337254782
"75",-5.75934848731825
"76",-5.78422826606343
"77",-5.81365802316903
"78",-6.61593925481383
"79",-6.61784724297508
"80",-6.18930828571265
"81",-6.91915414333669
"82",-6.74603265199485
"83",-6.99241080475247
"84",-7.54029346403989
"85",-7.4706614195441
"86",-8.09558590358726
"87",-9.59740598104
"88",-9.76066197655908
"89",-9.86703441364642
"90",-9.02225492954485
"91",-9.0091715986237
"92",-9.0473408721667
"93",-9.14244505607814
"94",-9.11273071532436
"95",-9.12913743635635
"96",-9.04440641168164
"97",-8.88805539411701
"98",-8.86258397262828
"99",-8.87124043493215
"100",-8.9093992519738
"101",-9.37350618338136
"102",-9.67731465457122
"103",-9.72290055140243
"104",-10.2642684125041
"105",-9.76476654177174
"106",-7.27387913726595
"107",-6.72099380256009
"108",-6.7034300540609
"109",-6.1953688541791
"110",-7.54904713341341
"111",-8.12727819232198
"112",-8.90530695508809
"113",-9.86063544572778
"114",-9.56792504488412
"115",-9.20885094966714
"116",-9.1405159644845
"117",-9.20377874618991
"118",-9.58338751205778
"119",-11.3756416778918
"120",-10.8723963624643
"121",-9.05596470845755
"122",-6.42333124147914
"123",-9.76264741579758
"124",-10.2237475868746
"125",-8.35929442402047
"126",-5.62772990184787
"127",-6.13775966882556
"128",-9.65479240366726
"129",-9.90061436652685
"130",-11.031346252334
"131",-9.99602330644142
"132",-9.97581508478799
"133",-9.95002222817733
"134",-10.0468572763022
"135",-11.7505928786528
"136",-10.8619164456816
"137",-7.0177716163744
"138",-9.07082790571849
"139",-10.3132539439546
"140",-6.75697349573489
"141",-6.37136475620976
"142",-8.96620418192084
"143",-10.2771433924277
"144",-9.74196745475079
"145",-5.73684429396048
"146",-9.6290877243843
"147",-9.96076129299348
"148",-10.1993755689995
"149",-11.820911738632
"150",-6.8443146035698
"151",-9.81872506764913
"152",-9.45446955464551
"153",-6.47663780625781
"154",-10.2533872163973
"155",-10.0660223638002
"156",-10.5732728341556
"157",-9.9512034906578
"158",-7.34450196411917
"159",-6.24746875682786
"160",-9.82750403016293
"161",-9.53013812076736
"162",-7.22466635903201
"163",-6.47552705998575
"164",-9.18041892177559
"165",-10.2922450505068
"166",-7.51187226135274
"167",-7.36027100472542
"168",-7.07496188834913
"169",-11.2720195979579
"170",-11.0409420568007
"171",-9.52331468293572
"172",-8.88964938841066
"173",-6.37002534713164
"174",-8.76988443997448
"175",-10.6619212405657
"176",-9.95045440679449
"177",-11.1003254643022
"178",-5.75694970284819
"179",-10.2062335851444
"180",-11.7143261490163
"181",-11.7859037611408
"182",-8.47370043091555
"183",-7.05003824222375
"184",-10.2166588772656
"185",-10.1005763094845
"186",-9.79320201942925
"187",-9.86148852681222
"188",-9.79767306387124
"189",-9.84434894308879
"190",-9.83770631837598
"191",-9.96952628411434
"192",-9.48158923935135
"193",-9.68689351417342
"194",-6.2679016685981
"195",-7.43074670545176
"196",-6.85246649001231
"197",-11.1424889598586
"198",-11.2241772296977
"199",-9.42468076670852
"200",-9.01927298361646
"201",-8.94793301112109
"202",-9.34518544094115
"203",-9.92970042988349
"204",-11.8161255106706
"205",-10.9528298118668
"206",-6.23078391718517
"207",-10.0947027220808
"208",-10.1863775788856
"209",-11.7980670334381
"210",-11.4147903801849
"211",-11.7291358835149
"212",-7.21913158897224
"213",-6.68727989556145
"214",-6.93895527696695
"215",-10.2862666283733
"216",-9.98940347599518
"217",-9.85053512409357
"218",-10.1627581423231
"219",-10.2136746955875
"220",-10.2453181105592
"221",-10.0646264493495
"222",-9.77970914575454
"223",-10.1614324694096
"224",-8.60535335900741
"225",-9.81446440378859
"226",-9.29131450575261
"227",-10.2836932869771
"228",-9.82581953357947
"229",-9.81435809658585
"230",-9.80095483902673
"231",-6.45719027322569
"232",-7.60532910810001
"233",-6.81607605745588
"234",-11.3427883196527
"235",-11.34435909566
"236",-10.8322524146281
"237",-11.1345229723966
"238",-8.76664348990169
"239",-9.03208900030839
"240",-10.4712847387398
"241",-11.0871953504208
"242",-11.5568909917364
"243",-11.6327480692199
"244",-11.5472851787562
"245",-6.87062526585718
"246",-7.57515322362664
"247",-7.16709470602773
"248",-10.8200008312506
"249",-10.2848339888015
"250",-9.07112469090339
"251",-9.03555037467539
"252",-9.83536561824297
"253",-10.4823246610064
"254",-10.7781684457521
"255",-7.71090328042902
"256",-6.66686890680047
"257",-10.9976398213479
"258",-10.3085887472972
"259",-11.1350636954456
"260",-10.6736848040113
"261",-10.1501612408755
"262",-11.3157733873705
"263",-11.4537615055516
"264",-10.4221673085004
"265",-9.06297545066895
"266",-9.202483618605
"267",-8.96141439135015
"268",-10.4447638546669
"269",-11.0274144132827
"270",-10.9571120758962
"271",-11.7049831677099
"272",-11.662454887926
"273",-11.5984351803935
"274",-6.99557448843052
"275",-10.3265835842678
"276",-9.06334879195897
"277",-9.5103344057185
"278",-9.5941371325868
"279",-9.40006011730525
"280",-10.2366004665779
"281",-9.97990434567611
"282",-10.4422993032312
"283",-8.9660469008898
"284",-9.48198606328114
"285",-9.51653303302994
"286",-9.91834495194189
"287",-9.22250062864051
"288",-8.67063690962032
"289",-9.08256625366867
"290",-9.8168550434405
"291",-8.72234042523009
"292",-9.29269406734603
"293",-7.54592652341279
"294",-8.22947732448422
"295",-9.08897372785084
"296",-8.96481801302254
"297",-9.1187219351636
"298",-11.7257647021763
"299",-11.3373481648386
"300",-11.5911341219356
"301",-11.4618980694333
"302",-11.5319253892083
"303",-11.0349173383455
"304",-11.3542499825204
"305",-11.3362776133106
"306",-11.6591194843673
"307",-11.6071145933852
"308",-8.11700107718261
"309",-6.7493585710176
"310",-10.1028101681113
"311",-8.57471121045192
"312",-10.2218889558553
