"","x"
"1",-10.0703784855163
"2",-10.1300302913645
"3",-11.8232091162963
"4",-12.9222253748221
"5",-10.3976411895178
"6",-9.9922574815342
"7",-9.51747017293456
"8",-9.17672796401531
"9",-10.201675817674
"10",-10.8004315608426
"11",-11.1935358328861
"12",-12.6864477860317
"13",-11.6590400546294
"14",-11.0203869149264
"15",-10.7767209955017
"16",-11.1615552604948
"17",-12.1078749567251
"18",-11.8887797501421
"19",-12.0684713678491
"20",-12.0174628598015
"21",-11.7850332004396
"22",-11.758936917785
"23",-11.5556150071438
"24",-11.5750541444302
"25",-10.7495177306832
"26",-10.3289871936768
"27",-10.3889639046672
"28",-10.3612004365009
"29",-10.4439799117883
"30",-10.1978107229731
"31",-10.3834235112162
"32",-10.8761131295952
"33",-11.7480192828989
"34",-12.4303066267773
"35",-13.1893213944854
"36",-12.8541419509512
"37",-9.68789885165377
"38",-9.86887300638214
"39",-9.65415530176353
"40",-9.83519454481944
"41",-9.98143837757199
"42",-9.89184103661648
"43",-9.76347249329614
"44",-9.5009965556335
"45",-9.59612725584443
"46",-10.0652634883366
"47",-10.5310342162216
"48",-9.76224013588784
"49",-9.16373861254589
"50",-6.92009910268005
"51",-6.87536906845538
"52",-8.15912216235258
"53",-7.63390679482968
"54",-8.34126132617887
"55",-9.64546606656553
"56",-9.43491695888492
"57",-9.49208995825037
"58",-9.40638761088415
"59",-8.89768989725826
"60",-8.56127372910524
"61",-7.21714728480536
"62",-6.65488721562522
"63",-6.1173274786453
"64",-7.34911233686573
"65",-8.04074062968051
"66",-6.50182826551549
"67",-6.72416575416154
"68",-5.79672419594361
"69",-6.77739401146854
"70",-6.63379578391099
"71",-6.58612083747389
"72",-5.1814701791395
"73",-5.24253467260577
"74",-5.5912862520603
"75",-6.18195287613315
"76",-5.93070706939832
"77",-5.80801338300289
"78",-6.99745748775356
"79",-7.04413610210763
"80",-6.6152444967514
"81",-7.66482394334769
"82",-7.01345964280128
"83",-7.0891173447925
"84",-7.7225931756673
"85",-7.52891247384257
"86",-8.38810432648745
"87",-10.3317690385083
"88",-10.689002660384
"89",-10.6166553079806
"90",-8.78184512234256
"91",-8.79728768175727
"92",-8.95784305109068
"93",-9.29509348991935
"94",-9.36971989029929
"95",-9.67358766727498
"96",-9.48624563148717
"97",-9.13517566189134
"98",-8.97640473815751
"99",-8.94015345578643
"100",-8.78344445520628
"101",-9.58284150220035
"102",-10.1479879313033
"103",-10.0403515728275
"104",-10.490559814485
"105",-9.79394717033065
"106",-7.66459368152466
"107",-6.84026045314185
"108",-7.31722297258469
"109",-6.22767163989964
"110",-7.8848519369617
"111",-8.16137700984885
"112",-8.67349235973427
"113",-9.93330516445284
"114",-9.71352485833608
"115",-9.03327056456297
"116",-9.00920723695661
"117",-8.84878377498479
"118",-9.15247244372016
"119",-11.6885391813214
"120",-10.3769066017271
"121",-8.84436531189165
"122",-6.6407577686692
"123",-10.5391907323761
"124",-10.2544002166074
"125",-8.31738198793927
"126",-5.60513981916455
"127",-6.08077333595746
"128",-9.95060140275988
"129",-10.4573939603422
"130",-11.0148970321916
"131",-9.88366678816306
"132",-10.2073925542599
"133",-9.94046650705232
"134",-9.86358602420299
"135",-11.1326388893618
"136",-10.1803229230696
"137",-6.94219697332484
"138",-9.46652273629913
"139",-10.4630924326182
"140",-6.36932390632889
"141",-6.27091891530867
"142",-9.12206821679171
"143",-10.0582267329421
"144",-9.68944175706137
"145",-5.72555145350473
"146",-9.76797469648252
"147",-10.1614019159828
"148",-10.3096801587687
"149",-11.7739054285256
"150",-6.64801240345503
"151",-9.80760188300464
"152",-9.50937321489026
"153",-6.00421361875324
"154",-10.1093653848014
"155",-10.0800416737804
"156",-10.9595610232211
"157",-9.97773433189817
"158",-7.54483403270309
"159",-5.93100236187312
"160",-10.2457975109306
"161",-9.27196233250845
"162",-7.27759188769963
"163",-6.34702402408719
"164",-8.99051639611302
"165",-10.2788888094738
"166",-7.4950732215392
"167",-7.35434678480105
"168",-6.99769636753779
"169",-12.9033596129974
"170",-10.9484225462642
"171",-9.41749016884173
"172",-8.82870303958468
"173",-6.94529349499221
"174",-8.91732248887995
"175",-11.2223262953635
"176",-9.75560550459543
"177",-10.7760567568605
"178",-5.52345912403963
"179",-10.6107027449448
"180",-12.0541973470576
"181",-11.9081428030144
"182",-8.62683370780002
"183",-7.31348565975713
"184",-10.4933627890371
"185",-9.90990700063897
"186",-9.78959654616324
"187",-9.61637149439806
"188",-9.51519552672849
"189",-9.56619556198981
"190",-9.38725989624342
"191",-10.1341265047196
"192",-9.48525910575904
"193",-9.71771161029938
"194",-6.38395014160696
"195",-7.51356573557869
"196",-6.78707791328221
"197",-12.9399246532723
"198",-10.8363573300589
"199",-9.0456124848985
"200",-8.90377792821982
"201",-9.20916376060023
"202",-9.44246452944273
"203",-10.234212131262
"204",-11.9293007275122
"205",-10.3189815085304
"206",-6.42287374074991
"207",-10.4803053297027
"208",-10.4908576726785
"209",-11.714859671196
"210",-11.3594105371668
"211",-11.3900726540844
"212",-6.93979154969619
"213",-6.48832301841136
"214",-6.85554100129748
"215",-10.2972313778634
"216",-9.88058133894884
"217",-9.77349367022359
"218",-10.0042761025327
"219",-9.96922902678732
"220",-10.118954723241
"221",-10.1541900560878
"222",-9.7760084017459
"223",-10.3114936282565
"224",-8.44388597153496
"225",-9.60585539353491
"226",-9.19072010004544
"227",-10.4034293687981
"228",-9.53651624976025
"229",-9.97405469674574
"230",-9.51382289916887
"231",-6.5925086752343
"232",-7.72190293801666
"233",-6.79488702051377
"234",-10.8981353185877
"235",-11.3392669563352
"236",-10.701030382318
"237",-11.3808183592247
"238",-8.96745151808199
"239",-9.1444930526431
"240",-10.5293808112768
"241",-10.5993365601414
"242",-11.4820335016204
"243",-10.9521887561283
"244",-11.6976446369268
"245",-6.62149636935017
"246",-7.83580159559206
"247",-7.47851958900981
"248",-11.0554920077212
"249",-10.2408639618884
"250",-9.00313715370177
"251",-8.9658723249821
"252",-9.8023641697639
"253",-10.294168749396
"254",-11.3000890311983
"255",-7.96104842586148
"256",-6.50505396461083
"257",-10.7594861065152
"258",-10.2401526027219
"259",-10.9487949447087
"260",-10.5439003107981
"261",-10.0700106412649
"262",-12.0110730850078
"263",-12.1925645860424
"264",-10.3213483731709
"265",-8.8839320965562
"266",-9.09114024169886
"267",-8.90624092629601
"268",-10.8149262198097
"269",-11.4046826356737
"270",-10.4417401240451
"271",-11.2892716758949
"272",-11.6558357780736
"273",-11.8997430560512
"274",-7.02379073809992
"275",-10.2271772095378
"276",-8.90480546999399
"277",-9.44591113538917
"278",-9.53495563036737
"279",-9.32621899094939
"280",-10.1985744832069
"281",-9.61856703464004
"282",-10.0268956242535
"283",-8.84251973654165
"284",-9.24274723142769
"285",-9.11484117627466
"286",-9.74285065615044
"287",-9.01814922557331
"288",-8.88272463440242
"289",-9.05226203787372
"290",-9.94109675956551
"291",-8.91651561433655
"292",-9.32806344129685
"293",-7.17852938899632
"294",-8.31868612013681
"295",-9.00187170168899
"296",-9.11331814269717
