"","x"
"1",-9.47883614686914
"2",-9.21132101784802
"3",-12.6216969569919
"4",-14.6475980458775
"5",-10.3745864625139
"6",-9.82519710530066
"7",-10.4945813893719
"8",-10.0766148519246
"9",-11.911864343986
"10",-11.83261346747
"11",-11.587537048626
"12",-14.2545788946002
"13",-12.2732320426479
"14",-10.6628278347268
"15",-10.2300139558096
"16",-11.1152318118694
"17",-12.8917624292731
"18",-12.2851728127038
"19",-12.6868934816138
"20",-12.6340752623455
"21",-11.7991855503234
"22",-12.0392902907288
"23",-11.7294791127018
"24",-12.2112098077646
"25",-11.698559716902
"26",-10.6140641590717
"27",-10.560625398573
"28",-10.4044496852922
"29",-10.8955654657986
"30",-10.4872844980588
"31",-11.205065781299
"32",-11.6315665396343
"33",-12.4075341749057
"34",-13.1701859732133
"35",-14.5476474949851
"36",-14.6046469585316
"37",-9.12108888577941
"38",-9.58347831955371
"39",-9.65000238299671
"40",-9.86122013003441
"41",-10.4476454656119
"42",-9.97619138692773
"43",-9.97168963957531
"44",-9.22959701757948
"45",-9.3374413540522
"46",-9.90128896589305
"47",-11.8716379335225
"48",-10.5013136357045
"49",-10.4034334835594
"50",-6.66985214869739
"51",-6.81168714351343
"52",-8.6670279349284
"53",-7.45968767262621
"54",-8.18560070574701
"55",-9.3605350900507
"56",-9.25888796805772
"57",-10.085241203181
"58",-10.407968654133
"59",-9.35258825772492
"60",-9.19405798391696
"61",-7.12459106180679
"62",-6.58971264928208
"63",-6.11221573122881
"64",-7.86156122378977
"65",-8.27732262186686
"66",-6.35303820046657
"67",-7.23357986445286
"68",-5.74154526583542
"69",-7.38649055667632
"70",-6.39879968836918
"71",-6.89478052670895
"72",-5.30268607205984
"73",-5.24615295775369
"74",-5.65295399377614
"75",-6.3508285093607
"76",-5.83534437121762
"77",-6.29275272175589
"78",-7.32473732224918
"79",-7.14073315442048
"80",-6.79567086353557
"81",-7.77299449789425
"82",-7.34123083315553
"83",-7.40564738191907
"84",-7.91154306047066
"85",-7.5840928192718
"86",-9.31528300655583
"87",-12.0401226682853
"88",-12.3251417252292
"89",-12.0264122944235
"90",-8.52957115289369
"91",-8.72997257077351
"92",-8.95650249644497
"93",-9.70399249004659
"94",-9.76082562446337
"95",-10.5134075205845
"96",-9.90103966512502
"97",-9.55710080005628
"98",-9.15176463340925
"99",-9.07739234897686
"100",-8.60523897154767
"101",-10.465309181092
"102",-10.4616985520875
"103",-10.6616433024847
"104",-11.5139031391088
"105",-11.3042511493571
"106",-8.33305017539428
"107",-7.21119055072642
"108",-7.63990882565523
"109",-6.28880831788753
"110",-8.0330042035184
"111",-8.50188517059342
"112",-8.7348763882286
"113",-10.9792792843251
"114",-9.39976199444585
"115",-8.69517661236183
"116",-9.1471459883671
"117",-8.64933572527766
"118",-8.82918821048488
"119",-12.2069758994517
"120",-11.0171402528211
"121",-8.62040086092662
"122",-7.19007480436168
"123",-11.9896968750428
"124",-10.114914018497
"125",-8.08846795937725
"126",-5.55992589960816
"127",-6.10264334523113
"128",-10.308586354938
"129",-12.0739344593007
"130",-11.3705960450676
"131",-10.0880332715374
"132",-10.6217290046661
"133",-9.73667844692885
"134",-9.56606546440187
"135",-10.3305691013147
"136",-10.0638055602984
"137",-7.1347043044639
"138",-9.68561575456085
"139",-10.7825715621655
"140",-6.22218823401589
"141",-6.1740183196589
"142",-9.69297475777171
"143",-9.72029569775782
"144",-10.1250156389823
"145",-5.75991023045936
"146",-9.8148733575728
"147",-10.101324688172
"148",-10.7345341535688
"149",-11.9331250129525
"150",-6.16049453762971
"151",-9.96129386186072
"152",-9.93020869145142
"153",-5.82050180625495
"154",-9.69121690814868
"155",-10.2844381057014
"156",-11.3070420340583
"157",-10.0074382304118
"158",-7.64128637990674
"159",-5.85805834667727
"160",-11.2674993528306
"161",-9.28662116527374
"162",-7.39293361468228
"163",-6.35806086248209
"164",-8.94203224240636
"165",-10.7686515038535
"166",-7.35737343328372
"167",-7.20885698952398
"168",-7.13743219851271
"169",-14.3884463702312
"170",-11.2805523852741
"171",-9.55045824227545
"172",-8.4922162653411
"173",-7.16045980867439
"174",-9.54921834048564
"175",-12.2200420548573
"176",-9.93932424842601
"177",-11.0057471227115
"178",-5.39844184396606
"179",-10.9929109941682
"180",-12.5336598948471
"181",-12.1641546150303
"182",-9.20713748206981
"183",-7.68934473433079
"184",-10.9504601870273
"185",-9.57401823911037
"186",-10.4046371108251
"187",-8.80203660638994
"188",-9.40857422810744
"189",-9.24206426629472
"190",-8.84618224948687
"191",-10.7224563427305
"192",-9.77380078245681
"193",-9.89799680747116
"194",-6.50514728628752
"195",-7.40568539403113
"196",-7.11273619151236
"197",-14.1215942518196
"198",-10.6404340266325
"199",-8.69277178404855
"200",-9.04968426166335
"201",-9.35996221737907
"202",-10.3595712533628
"203",-11.2074784317894
"204",-12.1033511456303
"205",-9.85691727480557
"206",-6.25385430378268
"207",-10.7560711470276
"208",-10.7346469367196
"209",-11.8845002514749
"210",-11.5998747497266
"211",-10.863833712937
"212",-6.96453200918194
"213",-6.62541830776939
"214",-6.68657538825041
"215",-10.1938505682987
"216",-9.85226064834892
"217",-10.0950271173151
"218",-9.40253146763714
"219",-9.43795472011047
"220",-10.1176789937749
"221",-10.697827456224
"222",-10.3690176018718
"223",-11.1264796647827
"224",-8.45692409731898
"225",-9.70987050060132
"226",-9.56601844065875
"227",-11.2093239623765
"228",-9.62373025271177
"229",-10.5427200445121
"230",-9.02314067891624
"231",-6.55572437458037
"232",-7.80800885122109
"233",-6.87274002312855
"234",-10.6964175300205
"235",-11.4893114692679
"236",-10.5193979975892
"237",-12.0610685185249
"238",-9.32529655463152
"239",-9.08093149953103
"240",-10.6261367597719
"241",-10.3745483967281
"242",-12.0453135477554
"243",-10.589869363999
"244",-12.1910396677871
"245",-6.7032245508696
"246",-7.71899014686529
"247",-7.52845303937646
"248",-11.5547379750122
"249",-10.1689610993578
"250",-9.35852588851566
"251",-9.05837877547368
"252",-10.3078403018127
"253",-10.5666083807562
"254",-11.7689364603519
"255",-8.34589042779494
"256",-6.48885343383811
"257",-10.7217679588236
"258",-10.6451512088626
"259",-10.563711451455
"260",-10.6881571537516
"261",-9.45887028233081
"262",-13.0283361486035
"263",-13.3708965497561
"264",-11.0962567610049
"265",-8.65395896974646
"266",-9.00414603002353
"267",-8.7938339426761
"268",-11.5486457714012
"269",-12.0258060940456
"270",-10.9907282513076
"271",-11.3683480125401
"272",-11.8011734167958
"273",-12.4195004042408
"274",-7.15122842295066
"275",-10.3791492437131
"276",-8.92182041381867
"277",-9.82083943853203
"278",-9.84169559738628
"279",-9.58582819085502
"280",-10.6061066464801
"281",-9.78534496597558
"282",-9.81164826488414
"283",-8.97523490498035
"284",-9.16791437906756
"285",-9.33417418453917
"286",-9.70801619846324
"287",-8.81339519179131
"288",-8.95006955826052
"289",-8.76569280954464
"290",-10.3648401898057
"291",-9.36827678038628
"292",-8.96123954617059
"293",-6.89807350103963
"294",-8.51253282062994
"295",-8.9803605289924
"296",-8.80704029908904
"297",-9.11487594322732
"298",-12.2360760518191
"299",-12.7977492178472
"300",-12.9598693709848
"301",-12.575766249086
"302",-12.7442021459198
"303",-11.4875954928227
"304",-12.116195094183
"305",-12.4386774872429
"306",-12.6105174171388
"307",-12.2300765916317
"308",-8.41196655617605
"309",-6.40835377841263
"310",-10.8160836014383
"311",-8.77891361077236
"312",-10.6613816524994
"313",-9.01068544509383
"314",-8.33021065076702
"315",-9.90521234762601
"316",-8.23110608076479
"317",-8.92082580726132
"318",-8.07761311461455
"319",-8.89769783531036
"320",-9.10042361104544
"321",-10.2016715580666
"322",-12.1818556138409
"323",-10.5571336337326
"324",-7.94990765441711
"325",-7.32098457665145
"326",-8.71313439361543
"327",-7.86142037380404
"328",-10.0204021605883
"329",-9.2191798410193
"330",-9.64687832982122
"331",-6.60500723565131
"332",-9.0556130177548
"333",-10.0270555056962
"334",-10.1089777195153
"335",-10.7882432484207
"336",-9.54616092102924
"337",-8.93154700681817
"338",-9.04496011299687
"339",-8.9304718768483
"340",-9.23308751731201
"341",-11.1706533105618
"342",-9.23940233670093
"343",-6.42769270645577
"344",-8.32009933855993
"345",-10.6742452099963
"346",-9.43734045144444
"347",-11.6248786419054
"348",-12.0355863618252
"349",-8.30053025171849
"350",-9.8470192362195
"351",-8.81965131483473
"352",-9.27380658804602
"353",-8.96893852151622
"354",-9.11230955280007
"355",-10.154603452338
"356",-8.61692684953165
"357",-10.6918272231773
"358",-10.758707944066
"359",-9.68075542309938
"360",-6.15967041889783
"361",-6.44512014806693
"362",-11.954808322916
"363",-9.63628261386629
"364",-10.0474202930795
"365",-11.4632762352667
"366",-10.2728680126305
"367",-10.971194687258
"368",-9.40030213241886
"369",-9.42845644591499
"370",-8.571067665026
"371",-8.95556961853126
"372",-8.92738412738048
"373",-6.96393420630625
"374",-8.39876972725957
"375",-11.8050678253305
"376",-12.7908326358576
"377",-11.518630087612
"378",-12.3730579727708
"379",-12.7141214811074
"380",-9.2492662860532
"381",-11.2701803486602
"382",-11.1464968332203
"383",-10.5358689409823
"384",-10.0975422137499
"385",-8.78570483984941
"386",-8.06328945915511
"387",-11.994983264934
"388",-12.2888076949615
"389",-12.2912375130248
"390",-11.1822038469325
"391",-11.926918719759
"392",-10.2229684781735
"393",-10.5640084788431
"394",-10.7790659526188
"395",-9.32446981822745
"396",-9.51344056673725
"397",-10.1456318638376
"398",-9.22802205485017
"399",-10.6274969194804
"400",-10.1182429772186
"401",-9.71751102863383
"402",-9.28783088308274
"403",-11.4119955762311
"404",-11.6855323455127
"405",-9.43321787050014
"406",-9.65657348497849
"407",-6.41450929364428
"408",-6.63924564253289
"409",-7.26364821251159
"410",-8.99472401437658
"411",-7.71628665256248
"412",-9.31308687832393
"413",-7.92780982442837
"414",-7.15641729516911
"415",-8.27253341458053
"416",-6.82036117919548
"417",-7.03880942833101
"418",-10.3167801983952
"419",-9.30697185446295
"420",-8.13618081609913
"421",-7.61242107018763
"422",-7.10405274700808
"423",-7.25018793266612
"424",-8.25926504594741
"425",-6.88575467046187
"426",-7.08173844828313
"427",-9.36650585595237
"428",-8.51790010772672
"429",-8.90484715100748
"430",-6.60318872898909
"431",-9.19098393915412
"432",-10.1904919108596
"433",-9.47845231070565
"434",-10.0304685845457
"435",-10.3471603528999
"436",-9.77411496008123
"437",-12.0446148773553
"438",-10.7456606197281
"439",-11.5150186577947
"440",-10.2353250625799
"441",-7.62503730068419
"442",-8.02290802050266
"443",-6.30303332461265
"444",-11.241259849837
"445",-11.4140095292923
"446",-10.5825838434442
"447",-10.9364531164747
"448",-11.1657808887542
"449",-10.9321960070632
"450",-10.908882050183
"451",-10.9557633163339
"452",-12.0138651767187
"453",-12.0087308337756
"454",-12.4457078586025
"455",-10.6907562516456
"456",-10.7707139818873
"457",-12.1070222799126
"458",-10.318217157016
"459",-11.8731294043588
"460",-11.4478662423569
"461",-11.4501250880265
"462",-10.2533330841861
"463",-11.9735582842677
"464",-10.7429705522606
"465",-11.0216870456078
"466",-6.94353072547113
"467",-9.81999489077013
"468",-10.4981368800725
"469",-7.98536331186579
"470",-9.63798596812557
"471",-9.13890883262365
"472",-10.3354997861826
"473",-10.1278206903827
"474",-10.5785614490451
"475",-9.38392938710307
"476",-10.1922091634023
"477",-10.3982351847108
"478",-9.97396619054603
"479",-10.5074994180728
"480",-10.1396302089401
"481",-10.8604864861076
"482",-10.5453876028787
"483",-11.6312621392482
"484",-10.7912538390455
"485",-10.3424519218181
"486",-10.3929138353446
"487",-10.8479822823884
"488",-7.33762299174214
"489",-8.39782197368329
"490",-11.1361519458994
"491",-12.3369402343411
"492",-11.0616953782633
"493",-11.4995090060235
"494",-7.14519550175438
"495",-10.1537306616621
"496",-11.21623599893
"497",-11.8027250490529
"498",-12.0791561011897
"499",-12.102601655558
"500",-10.6732400714853
"501",-10.8754720900662
"502",-11.5242625158432
"503",-10.0064232433284
"504",-11.5483292651923
"505",-10.0498416476954
"506",-9.51792412866169
"507",-7.32567650354029
"508",-9.06454612115989
"509",-10.1701101676794
