"","x"
"1",-1.1896228694186
"2",-1.66783723319008
"3",-2.22137323556057
"4",-2.33679952324892
"5",-2.27643134110737
"6",-2.00876978125676
"7",-1.88532852660558
"8",-1.80948480268664
"9",-1.57544867464853
"10",-1.49848676927876
"11",-1.58074594262739
"12",-1.7846486550329
"13",-1.63774182833558
"14",-1.33551593359486
"15",-1.10958777871502
"16",-2.1234311705196
"17",-1.38392118232212
"18",-1.40628460430077
"19",-1.46945694063519
"20",-1.15368267522976
"21",-1.09851804327831
"22",-1.00390483981351
"23",-1.27892750402688
"24",-1.60899936483715
"25",-1.73441776873893
"26",-1.59437869099144
"27",-1.5481253557227
"28",-1.54685409081345
"29",-1.46264991053821
"30",-1.361352341097
"31",-1.23753124045434
"32",-1.11386148343033
"33",-1.46313595278544
"34",-1.39644214516064
"35",-1.41324300385492
"36",-1.67439757640888
"37",-2.18728660564432
"38",-2.09572623919687
"39",-1.56830001191147
"40",-1.81251297301778
"41",-1.95782407973709
"42",-1.98686109011336
"43",-1.96286841478901
"44",-1.92993476260488
"45",-1.8510023687896
"46",-1.74819981420474
"47",-1.71011771768226
"48",-1.65443876122956
"49",-1.94966419399037
"50",-2.10869697688338
"51",-2.65730875524749
"52",-2.71121381763766
"53",-2.46989936763658
"54",-2.50089689294806
"55",-2.36871635524037
"56",-2.60058821330022
"57",-2.31964036795957
"58",-2.3743721313639
"59",-2.59615790907219
"60",-2.93952481278834
"61",-3.36761965138305
"62",-3.78900336782375
"63",-3.99475162957634
"64",-4.00134130243765
"65",-3.96963423093446
"66",-3.89117238284248
"67",-3.75166046983952
"68",-3.62103338015763
"69",-2.76739554342378
"70",-2.4156678809373
"71",-2.22861764926895
"72",-2.17187504335536
"73",-2.19564316933968
"74",-2.32317175477652
"75",-2.44423801855561
"76",-1.99772977422995
"77",-1.95625059384136
"78",-2.21228557005685
"79",-2.4828747499671
"80",-2.58218408568376
"81",-2.35667231967912
"82",-2.06451501356508
"83",-2.07697718900933
"84",-2.27318556892531
"85",-2.08029653854858
"86",-1.57239000279837
"87",-2.20937634406666
"88",-1.90896290986988
"89",-3.45240162815318
"90",-1.35481965511
"91",-3.75567617113358
"92",-3.75569326293538
"93",-2.96933896965874
"94",-1.5717022418138
"95",-1.56931737693787
"96",-1.21158943331413
"97",-1.95404744500906
"98",-2.19968095268645
"99",-2.33686321095446
"100",-1.65088630900387
"101",-2.1503162125796
"102",-2.03935340967532
"103",-1.7725417757125
"104",-2.00580416801815
"105",-2.11014102983959
"106",-1.72013225447753
"107",-2.0740962140124
"108",-2.01248983434975
"109",-2.18816447733569
"110",-2.18250662522542
"111",-2.01880747538008
"112",-2.19472899388073
"113",-1.56787209890719
"114",-2.31811064198729
"115",-1.8467763539148
"116",-1.78205574017154
"117",-1.90376085652012
"118",-1.60225838373563
"119",-1.78914012305866
"120",-1.68267446652294
"121",-1.76977139293342
"122",-1.81103234765363
"123",-1.90215500930798
"124",-2.14759135514502
"125",-2.14995175412855
"126",-2.11693835452803
"127",-1.89465600538068
"128",-1.86706881271967
"129",-1.69670655248341
"130",-1.89845061673479
"131",-1.98833540148902
"132",-1.46565843587928
"133",-2.19341751501962
"134",-1.96752998470525
"135",-1.95007321856003
"136",-1.72207265326657
"137",-1.75900864675913
"138",-1.83039630369919
"139",-1.83836548829549
"140",-1.67124783331039
"141",-1.76902053291338
"142",-1.66298031395759
"143",-1.48512840278351
"144",-1.72426905578801
"145",-1.82117056982052
"146",-2.07160108386942
"147",-2.15447165228759
"148",-1.86286967373494
"149",-1.90756325036997
"150",-2.05525172713761
"151",-1.61398015935729
"152",-1.94866575549988
"153",-1.21097256807444
"154",-1.51375324054128
"155",-1.2931153331989
"156",-3.9206958896604
"157",-3.26648116928809
"158",-1.58125978069847
"159",-1.48927169392722
"160",-2.34796011940434
"161",-2.45843401289495
"162",-2.10601280858967
"163",-2.21366428604181
"164",-2.40231216284094
"165",-2.34736016745999
"166",-2.26877001126972
"167",-2.25466930223374
"168",-1.96655695016784
"169",-2.25608386387036
"170",-2.45695576736225
"171",-2.4095656548557
"172",-2.43070608055118
"173",-2.02027404626141
"174",-2.36433285079106
"175",-0.902271085832968
"176",-2.42912870189219
"177",-2.43851340329957
"178",-2.47229285702855
"179",-2.49657735617628
"180",-2.38203461667328
"181",-2.74768636574756
"182",-2.27100354367074
"183",-2.07617049329978
"184",-1.33352621871722
"185",-1.67092012487147
"186",-1.45846523058289
"187",-1.22649354879631
"188",-1.36296071364436
"189",-2.20492638149119
"190",-2.32312137773237
"191",-2.49495906838205
"192",-2.53242444557966
"193",-2.73896800033683
"194",-1.58855823925445
"195",-1.64443948096162
"196",-2.63893143586327
"197",-2.60759107558258
"198",-2.35399040346614
"199",-2.50543588916219
"200",-2.83647560233326
"201",-2.50615331697941
"202",-2.66725397660801
"203",-2.56603011343968
"204",-2.45724795528785
"205",-2.88943806191567
"206",-2.43441773036092
"207",-2.62536487835724
"208",-2.70431621012967
"209",-2.4854786733487
"210",-2.21898572141155
"211",-2.60270576827283
"212",-2.5831605039058
"213",-2.34167090730764
"214",-2.20615411781068
"215",-2.4927297552508
"216",-2.3261338970857
"217",-2.85252226382915
"218",-2.80905777561895
"219",-2.93609670013274
"220",-2.63796294444146
"221",-2.85261292577278
"222",-1.82159818043889
"223",-1.2977021909954
"224",-1.24231255932924
"225",-1.7443200191928
"226",-1.23720037299775
"227",-2.59250572628051
"228",-3.1063513239301
"229",-2.96582057894565
"230",-2.89017346817479
"231",-3.23332779454938
"232",-3.23914208061835
"233",-3.43659234338809
"234",-2.63742808770993
"235",-2.72843768659802
"236",-2.56739936079503
"237",-2.88903806192956
"238",-2.51049373958565
"239",-3.20933472720666
"240",-2.97601345294113
"241",-1.41963622713492
"242",-2.50551211672347
"243",-1.87396457623667
"244",-1.35015641198723
"245",-1.21622529230856
"246",-1.27280009786401
"247",-1.66670695404883
"248",-1.53862438377281
"249",-1.62900085590667
"250",-1.49413035224838
"251",-1.83075243325081
"252",-1.32388357878918
"253",-1.29095645150377
"254",-1.45327832295288
"255",-1.54828769673138
"256",-1.41637995037408
"257",-1.68454840717742
"258",-1.41391355584609
"259",-1.3128389664285
"260",-1.40970807076528
"261",-1.61598317285115
"262",-1.41222266663544
"263",-1.60868715305528
"264",-1.60528654398016
"265",-1.24326289355907
"266",-1.78285065369602
"267",-1.72643358005427
