"","x"
"1",-1.9420263814194
"2",-1.95005752736943
"3",-1.95820294116788
"4",-1.95489468338477
"5",-1.94802183866006
"6",-1.92034742790697
"7",-1.88212436753788
"8",-1.83796844295292
"9",-1.79126052620145
"10",-1.74492805036151
"11",-1.72508737916259
"12",-1.68457263405036
"13",-1.6187133895257
"14",-1.55700479061446
"15",-1.49073281322799
"16",-1.48408483399107
"17",-1.48025212215221
"18",-1.49165200533125
"19",-1.4832070724029
"20",-1.45457352313231
"21",-1.44375212085682
"22",-1.42858684195646
"23",-1.43177661704743
"24",-1.43970703887429
"25",-1.44752266295592
"26",-1.45332046035041
"27",-1.45926610848804
"28",-1.46337630460531
"29",-1.46097129352803
"30",-1.46320977338427
"31",-1.46079671892664
"32",-1.46419434638803
"33",-1.46942286676435
"34",-1.45493486332125
"35",-1.47035531702577
"36",-1.53162820590871
"37",-1.60684341575697
"38",-1.68555665706153
"39",-1.75698189732818
"40",-1.8213165633696
"41",-1.86943866950781
"42",-1.89562251207157
"43",-1.92948760654787
"44",-1.95901523259799
"45",-1.97758864734837
"46",-1.99319912408735
"47",-2.00863097619892
"48",-2.0368788194854
"49",-2.12908917974506
"50",-2.24831222837521
"51",-2.36277477151
"52",-2.45145836978221
"53",-2.52804979925609
"54",-2.60099782456301
"55",-2.663651875287
"56",-2.72241366327207
"57",-2.77216409587906
"58",-2.83079010228467
"59",-2.92432771917515
"60",-2.98190826975873
"61",-3.02892757764254
"62",-3.09827004108887
"63",-3.20542274489151
"64",-3.28262091536696
"65",-3.29590235808271
"66",-3.25112197005853
"67",-3.13149482327231
"68",-3.04399033092689
"69",-2.82635378643219
"70",-2.66509266961031
"71",-2.55116210034271
"72",-2.46309629966006
"73",-2.39167274875532
"74",-2.33337098651501
"75",-2.2746452823017
"76",-2.21491231563623
"77",-2.18759254861788
"78",-2.19438232584353
"79",-2.19559514837039
"80",-2.18872828148761
"81",-2.15697781939643
"82",-2.10908583961397
"83",-2.0555263912709
"84",-2.01468443934396
"85",-1.9861111167774
"86",-1.96161693277207
"87",-2.10216517503676
"88",-1.80051848619216
"89",-2.99741022597965
"90",-1.45187497304568
"91",-3.14122278941124
"92",-3.10640660769917
"93",-2.92014804962506
"94",-1.46418091538105
"95",-1.45172103580886
"96",-1.441834594064
"97",-2.03893537650391
"98",-1.96704900323963
"99",-2.13686484362266
"100",-1.78107471752024
"101",-2.01219179511359
"102",-2.07140839058173
"103",-1.95171104201329
"104",-1.91668009311257
"105",-1.93092048596039
"106",-1.74073118111706
"107",-2.09821696559849
"108",-2.06203390772752
"109",-2.12587045128658
"110",-2.03418899918088
"111",-1.97767466804387
"112",-1.99933015515455
"113",-1.95677002243724
"114",-1.95404789787867
"115",-1.85341429127932
"116",-1.86154268568108
"117",-1.9003072779518
"118",-1.74617945280785
"119",-1.73254275183152
"120",-1.70663953318235
"121",-1.70311339521398
"122",-2.035589597983
"123",-2.00591489557012
"124",-1.97112470130037
"125",-1.94364574043214
"126",-1.95516645618746
"127",-1.85885521029302
"128",-1.90140754790394
"129",-1.81592517662996
"130",-1.75947931549779
"131",-1.80497042677178
"132",-1.63112111564856
"133",-2.13734367956334
"134",-1.92635783640139
"135",-1.83612574505321
"136",-1.78867095153034
"137",-1.75633335812368
"138",-1.72152759146144
"139",-1.66698966889506
"140",-1.68216481538509
"141",-1.70825242061462
"142",-1.64233648510461
"143",-1.58939667766694
"144",-1.65446465851178
"145",-2.07118139812362
"146",-2.09153796180233
"147",-1.64685671623314
"148",-1.56438147067803
"149",-1.61431405549383
"150",-1.58834887131499
"151",-1.58018934406706
"152",-1.56851464040094
"153",-1.51617853646488
"154",-1.58968222362638
"155",-1.54877254270377
"156",-3.23329856068174
"157",-3.00705830755664
"158",-1.46104737448982
"159",-1.44332344482237
"160",-2.16758046516162
"161",-2.18108601406473
"162",-2.1888534316658
"163",-2.15092341827651
"164",-2.2468795744123
"165",-2.1936488977061
"166",-2.2180785532715
"167",-2.21964735660901
"168",-2.19846715616156
"169",-2.24318033512113
"170",-2.2700772418567
"171",-2.30717840629979
"172",-2.1595401788883
"173",-1.98564907531648
"174",-1.95406123809933
"175",-1.45608940280934
"176",-2.32360408435598
"177",-2.30746334606348
"178",-2.38578470145213
"179",-2.35349662159167
"180",-2.34717463337839
"181",-2.40011972072368
"182",-2.36198513581273
"183",-2.19134737546439
"184",-1.50767955745855
"185",-1.5333797502583
"186",-1.47780064143757
"187",-1.48997647066974
"188",-1.49034785281993
"189",-2.26971573489591
"190",-2.27151561773446
"191",-2.33217657230778
"192",-2.48512281411508
"193",-2.40460936416208
"194",-1.46664088538246
"195",-1.48477254091302
"196",-2.4625408535456
"197",-2.43220562053261
"198",-2.42420860974055
"199",-2.51291069650398
"200",-2.59488812860792
"201",-2.56082999071568
"202",-2.54368906638118
"203",-2.60338175952995
"204",-2.49140403130584
"205",-2.6940119227974
"206",-2.63370076286241
"207",-2.64864304729707
"208",-2.54610115872945
"209",-2.54148289308625
"210",-2.50613726000038
"211",-2.60743164063513
"212",-2.49015660484245
"213",-2.38757276074671
"214",-2.42871470809638
"215",-2.44946366254251
"216",-2.60282669491739
"217",-2.71615179623687
"218",-2.5905619993848
"219",-2.65187050913626
"220",-2.6641240802093
"221",-2.63339703073452
"222",-1.4738251134941
"223",-1.45899009334794
"224",-1.4499380053382
"225",-1.48101332734497
"226",-1.46134055209162
"227",-2.7432523457541
"228",-2.83074541345357
"229",-2.82478559688104
"230",-2.84249706810178
"231",-2.92813537744657
"232",-2.91680113826408
"233",-2.99334181078376
"234",-2.82776137231987
"235",-2.75411851101843
"236",-2.70105990956741
"237",-2.73822953773108
"238",-2.67288507106381
"239",-2.90009993474426
"240",-2.76079215182438
"241",-1.46082546652001
"242",-2.75133416920949
"243",-1.49893954729227
"244",-1.47060293796001
"245",-1.45488061700224
"246",-1.46796734316696
"247",-1.49051827783066
"248",-1.49231761956702
"249",-1.49372046910939
"250",-1.48250039786216
"251",-1.50060685017158
"252",-1.46562451336647
"253",-1.45110577814593
"254",-1.46583323882964
"255",-1.48307907392906
"256",-1.45871075160775
"257",-1.4917033367038
"258",-1.47109922827272
"259",-1.45704878352304
"260",-1.47488797830167
"261",-1.47906817731326
"262",-1.48774491992248
"263",-1.47348126747837
"264",-1.47574702204574
"265",-1.46275793583908
"266",-1.49023530495113
"267",-1.48956900186746
