"","x"
"1",-1.97173770880457
"2",-1.95704156812159
"3",-1.94383796895027
"4",-1.9285984978769
"5",-1.91248188003016
"6",-1.89351435060286
"7",-1.87366186809121
"8",-1.85150594678119
"9",-1.82829237948353
"10",-1.80126691435433
"11",-1.78320058846615
"12",-1.71522721607364
"13",-1.6413194646252
"14",-1.57097724808643
"15",-1.51389970532014
"16",-1.4822825949606
"17",-1.46468580465068
"18",-1.45844233493157
"19",-1.45390322876573
"20",-1.44911870109588
"21",-1.44883708849597
"22",-1.44890498722695
"23",-1.45039078534489
"24",-1.45197300615293
"25",-1.45350533132183
"26",-1.45450467875779
"27",-1.45485989189835
"28",-1.45463677630784
"29",-1.45390594313029
"30",-1.45306839342733
"31",-1.45266922317418
"32",-1.45366652171245
"33",-1.45473590678763
"34",-1.45924879977923
"35",-1.47796372094345
"36",-1.5215966455097
"37",-1.585245266594
"38",-1.65674265531295
"39",-1.73349295968494
"40",-1.83248946593186
"41",-1.88220015992623
"42",-1.90784935232254
"43",-1.94191978495737
"44",-1.97500174090133
"45",-2.00402332105935
"46",-2.03336633385679
"47",-2.05600404354278
"48",-2.09724890892804
"49",-2.18720734768696
"50",-2.2640994628271
"51",-2.34637581747657
"52",-2.43747114774725
"53",-2.53691171719423
"54",-2.63995860879211
"55",-2.73801051243603
"56",-2.82387750059749
"57",-2.88459702385941
"58",-2.89694595653728
"59",-2.9105787031756
"60",-2.91926129842526
"61",-2.92517944298603
"62",-2.93014101987505
"63",-2.9312444556181
"64",-2.92832382993465
"65",-2.92412052709306
"66",-2.91709936221202
"67",-2.90430238980561
"68",-2.8924484023694
"69",-2.8300397570268
"70",-2.7426149241582
"71",-2.64174298744625
"72",-2.53746040257153
"73",-2.43763868151626
"74",-2.34855769613909
"75",-2.27128296330137
"76",-2.20373518966019
"77",-2.14853231370923
"78",-2.13466499779132
"79",-2.1154952836586
"80",-2.09797912558877
"81",-2.08079808143951
"82",-2.06328224969716
"83",-2.04457905287338
"84",-2.02623043631542
"85",-2.00656534293199
"86",-1.98821376336076
"87",-2.12375767623574
"88",-1.81149908685452
"89",-2.8974755464869
"90",-1.45200271112076
"91",-2.90993779262186
"92",-2.92299414528283
"93",-2.90512590188375
"94",-1.4536301074227
"95",-1.45321999796378
"96",-1.44993132794052
"97",-2.04533986379739
"98",-1.96742902349463
"99",-2.10124416268168
"100",-1.82022736060807
"101",-2.01571316981544
"102",-2.05209984874477
"103",-1.96588082095302
"104",-1.90487598293983
"105",-1.90364568128337
"106",-1.77338017499638
"107",-2.0729446290665
"108",-2.08098613141983
"109",-2.07209010802373
"110",-2.03265606936188
"111",-1.98830946994732
"112",-2.00518107916844
"113",-1.9819244608411
"114",-1.93848020139028
"115",-1.86006796767099
"116",-1.86397055779793
"117",-1.8834965262388
"118",-1.7944203844299
"119",-1.73195351999424
"120",-1.75043868454589
"121",-1.72112945360564
"122",-2.096892288655
"123",-2.03655554099024
"124",-1.96866802741353
"125",-1.93506365865033
"126",-1.94896109565745
"127",-1.86052166354874
"128",-1.90149298834501
"129",-1.84004982416957
"130",-1.76697197839082
"131",-1.79753124810103
"132",-1.63642317274751
"133",-2.16907841070258
"134",-1.92722227211994
"135",-1.83971637549671
"136",-1.78005534943441
"137",-1.73645423783388
"138",-1.6940373893904
"139",-1.64629737218119
"140",-1.68549968101184
"141",-1.69298523562416
"142",-1.65446582805457
"143",-1.5999637966756
"144",-1.67871311377466
"145",-2.13297012527841
"146",-2.13581567834096
"147",-1.62023073910804
"148",-1.55934565269212
"149",-1.60095828437135
"150",-1.57076178814722
"151",-1.58794948723123
"152",-1.55286091784158
"153",-1.53898592486159
"154",-1.60579857087043
"155",-1.56536319295055
"156",-2.92362861563286
"157",-2.92019210856124
"158",-1.45443675623151
"159",-1.45137407540718
"160",-2.13320160967517
"161",-2.11754446689607
"162",-2.17264852647462
"163",-2.16693076763552
"164",-2.24939343559778
"165",-2.20528910212291
"166",-2.21963978426024
"167",-2.23725654000138
"168",-2.17577338173261
"169",-2.23693046321286
"170",-2.26602481395377
"171",-2.30903436179683
"172",-2.09127537652018
"173",-2.0012546924193
"174",-1.92471051096289
"175",-1.49239655677784
"176",-2.31661933776611
"177",-2.29950182822415
"178",-2.39406909517445
"179",-2.34573927745853
"180",-2.35401735003829
"181",-2.39561842654954
"182",-2.39256204218745
"183",-2.22580387874583
"184",-1.52158953708375
"185",-1.52571933836739
"186",-1.49752555458654
"187",-1.51560951923824
"188",-1.49785406626234
"189",-2.28110935020685
"190",-2.27481599316006
"191",-2.32330232158203
"192",-2.51019644416062
"193",-2.39132854759425
"194",-1.47089457432446
"195",-1.49737339804045
"196",-2.46416202194857
"197",-2.43566770186346
"198",-2.46140275833922
"199",-2.52812812080075
"200",-2.64353181941401
"201",-2.58856663980398
"202",-2.57703958735076
"203",-2.6505512355354
"204",-2.56008292845321
"205",-2.75003033039719
"206",-2.68949479893727
"207",-2.70437580131671
"208",-2.59949565584332
"209",-2.6176329462634
"210",-2.5895874792033
"211",-2.69278888794978
"212",-2.48686218309862
"213",-2.41809259892676
"214",-2.48702032724425
"215",-2.47179887956998
"216",-2.69230480739289
"217",-2.76970225824161
"218",-2.65639413893459
"219",-2.7148356623046
"220",-2.7382568743182
"221",-2.68860061433606
"222",-1.48100050716307
"223",-1.48105345889978
"224",-1.4711679265318
"225",-1.4709509938687
"226",-1.48020840749339
"227",-2.78732269342086
"228",-2.83631043763903
"229",-2.82723909002923
"230",-2.87015550044432
"231",-2.86356781509032
"232",-2.87026459508484
"233",-2.88284573648184
"234",-2.88681342208075
"235",-2.82711253590964
"236",-2.78238282142359
"237",-2.79758750645111
"238",-2.74077431289702
"239",-2.85495293670333
"240",-2.80072811364338
"241",-1.46764763907426
"242",-2.85623757898246
"243",-1.45627747083833
"244",-1.45196056740827
"245",-1.45066954388234
"246",-1.45134861888449
"247",-1.45535302504054
"248",-1.45640445504559
"249",-1.45872536784851
"250",-1.46262281343017
"251",-1.45712794133858
"252",-1.45789165014161
"253",-1.4612753733391
"254",-1.46325575499521
"255",-1.45982349409914
"256",-1.4692785401587
"257",-1.45731731624381
"258",-1.45547236545415
"259",-1.45667742519776
"260",-1.45447814163962
"261",-1.45414954722645
"262",-1.46023523684124
"263",-1.45325620094903
"264",-1.45290700341654
"265",-1.45325395005036
"266",-1.45458048415828
"267",-1.45522567027127
