"","x"
"1",-9.64373929533299
"2",-9.3017224968878
"3",-13.600673053719
"4",-14.3633980309023
"5",-10.5725644911235
"6",-9.89169928691225
"7",-10.2051122778385
"8",-10.1154551219205
"9",-12.7036151701738
"10",-12.328833092892
"11",-11.5161224672813
"12",-11.8580340768078
"13",-11.3993036790904
"14",-10.7261022157998
"15",-10.4795762184248
"16",-11.7920046038005
"17",-13.2874087178125
"18",-12.1776986148745
"19",-11.2025284388048
"20",-10.8437667859
"21",-11.357756101418
"22",-11.7247129274093
"23",-11.487322480296
"24",-11.9531590240188
"25",-11.6656369263251
"26",-10.9442893246951
"27",-11.0223144740469
"28",-10.4884593721253
"29",-10.8232128855671
"30",-10.1145612767897
"31",-10.0445189245399
"32",-11.6173328623852
"33",-13.2551116448157
"34",-12.4721509032361
"35",-12.9561796714378
"36",-14.3271058116354
"37",-9.14540323821521
"38",-10.0616034142934
"39",-9.91680062236322
"40",-9.55703052023195
"41",-9.27816792391865
"42",-10.0028570348225
"43",-9.99586073478479
"44",-9.13455167147745
"45",-9.28502554333927
"46",-9.89607499239224
"47",-12.3458868649103
"48",-10.4654515109587
"49",-10.3430619369176
"50",-6.71062579025376
"51",-6.58273980857338
"52",-8.41867878196804
"53",-7.68731921692434
"54",-8.17338109689954
"55",-8.68634646796937
"56",-8.99049994852845
"57",-10.1828536892089
"58",-10.4118932820528
"59",-9.31471036245421
"60",-9.14849942803765
"61",-7.29067657889162
"62",-7.14085509715782
"63",-6.12344069597108
"64",-7.40574945688761
"65",-8.34258874459837
"66",-6.30654743812764
"67",-7.07523487486297
"68",-5.8377338895141
"69",-7.56896657220801
"70",-6.67101435548707
"71",-6.74079901157966
"72",-5.3629503895616
"73",-5.5618873710393
"74",-5.88026060069804
"75",-6.6516549040648
"76",-5.97713283536064
"77",-6.25018654332515
"78",-7.61783550186388
"79",-7.27056655193733
"80",-6.67804294656193
"81",-7.60403554705639
"82",-7.41524721545968
"83",-7.42538675379311
"84",-7.74821387668842
"85",-7.26456257766639
"86",-9.24585295240984
"87",-11.4605512170303
"88",-11.9854004427946
"89",-11.6080362044737
"90",-8.50766730393496
"91",-8.65308819328962
"92",-8.70632840889747
"93",-10.0882310565059
"94",-9.65463618217235
"95",-10.3350053063395
"96",-10.0731886641201
"97",-10.1090676403069
"98",-9.22321325573515
"99",-9.08055918739756
"100",-8.57876360516443
"101",-10.3462080788714
"102",-10.4667372521107
"103",-10.6346907703684
"104",-11.0617241039657
"105",-10.7793094985358
"106",-8.6188644846771
"107",-7.24043929270666
"108",-7.5731278124861
"109",-6.20860248662225
"110",-8.33722560625266
"111",-8.65178909926376
"112",-9.52842399098183
"113",-11.3059832274022
"114",-9.26443341701456
"115",-8.94786114102351
"116",-8.82821783721159
"117",-8.12133380528093
"118",-9.19084447091932
"119",-13.841484735847
"120",-11.2361587429333
"121",-8.57545313123878
"122",-7.41396625778085
"123",-11.6061068574735
"124",-10.7222913751691
"125",-8.01889060254079
"126",-5.83324749193277
"127",-5.72299535059003
"128",-9.91803119565833
"129",-12.2849243598143
"130",-11.0827263853418
"131",-10.0368293608854
"132",-10.5912560396143
"133",-10.3341384577059
"134",-9.74446120645603
"135",-10.0739893882972
"136",-10.1693635040328
"137",-7.24187473105247
"138",-9.83297741801875
"139",-11.0970069097277
"140",-6.33336964608579
"141",-6.49849751911343
"142",-9.58899222490741
"143",-10.2409906611022
"144",-10.3510888117352
"145",-5.87901089296307
"146",-9.77876741595877
"147",-10.2199052820244
"148",-10.372544778902
"149",-10.8646462356762
"150",-6.14254869005192
"151",-9.9181369870075
"152",-9.98055168355753
"153",-5.95928846568608
"154",-10.1932482352403
"155",-10.7458654439782
"156",-11.6558038604597
"157",-9.21034843647286
"158",-7.46250991530454
"159",-5.90322884428178
"160",-10.8190515509935
"161",-9.08256415752286
"162",-7.36763372699484
"163",-6.8483680478291
"164",-8.83502672710893
"165",-10.5232156668969
"166",-7.2441415710157
"167",-7.26942853065883
"168",-7.20173334214573
"169",-13.5532573018882
"170",-11.2504937356038
"171",-9.46912774917936
"172",-8.75911703234769
"173",-7.02306543032964
"174",-9.78479973340975
"175",-11.8940708981442
"176",-10.0533180806999
"177",-11.7280677765248
"178",-5.63153251004574
"179",-11.0283283484595
"180",-11.6276104116169
"181",-11.3049203843433
"182",-9.06735390972753
"183",-7.87663547010803
"184",-10.3658464533875
"185",-11.1807965226284
"186",-10.5014510144887
"187",-8.93328532067928
"188",-9.33483579274235
"189",-9.49189800718568
"190",-8.82113196917144
"191",-10.5771857828707
"192",-9.77124309290888
"193",-10.0521640265086
"194",-6.65873697201034
"195",-7.52528736990548
"196",-6.97031755086534
"197",-12.9452951016179
"198",-10.7185545356431
"199",-8.54887141930753
"200",-9.32816690519807
"201",-9.96681336990208
"202",-10.2777033612741
"203",-11.0626529414349
"204",-10.7445735374717
"205",-10.1016560767489
"206",-6.33266721989791
"207",-10.8482664513993
"208",-10.7521214083927
"209",-11.1613150367121
"210",-11.701075821163
"211",-10.5952690294394
"212",-6.89174483977751
"213",-6.88071996485904
"214",-7.06501433691518
"215",-9.90194530444035
"216",-10.8324827356028
"217",-10.7217387707506
"218",-10.6689800653748
"219",-10.6724027511866
"220",-11.3027395232579
"221",-10.5532703440783
"222",-10.3571763375549
"223",-11.053575698336
"224",-9.63446194371437
"225",-9.89267004035475
"226",-10.3819205405028
"227",-11.2624079602349
"228",-9.5844073219072
"229",-10.1547680613436
"230",-9.7755065943395
"231",-6.72273110930265
"232",-7.97107605227909
"233",-6.69472598219418
"234",-11.0341805693279
"235",-12.0521044337281
"236",-10.3959654107588
"237",-11.279094252053
"238",-9.28904010486529
"239",-9.52622320232607
"240",-10.7124384910723
"241",-13.7014172090119
"242",-12.0709814501112
"243",-10.5745998427511
"244",-12.1954945333374
"245",-6.56878516903708
"246",-7.77294227510003
"247",-7.12236718746812
"248",-11.7930800471895
"249",-10.8734524413336
"250",-9.77982232541601
"251",-9.38740819073748
"252",-10.5392414147486
"253",-10.5244640793858
"254",-11.6879676057504
"255",-8.55946813514138
"256",-6.81811807050815
"257",-10.433320350636
"258",-10.9736709882402
"259",-10.2621046359906
"260",-10.7432955082593
"261",-9.44972301188529
"262",-11.6875353141566
"263",-11.4713020365407
"264",-10.5750994629977
"265",-8.2638641798971
"266",-8.67494132870761
"267",-9.36337533538746
"268",-11.4001740162663
"269",-12.5233448298596
"270",-12.4114593298149
"271",-11.2334114366405
"272",-11.7187010818084
"273",-12.7356903591674
"274",-7.11173413103155
"275",-11.0001700885388
"276",-10.0519857150074
"277",-10.0311198599659
"278",-10.1477940328211
"279",-10.2967025218603
"280",-10.6717274227964
"281",-9.49839136753646
"282",-9.42457750562739
"283",-8.52604416016064
"284",-9.03692406035243
"285",-8.88822394989421
"286",-10.0505129137473
"287",-8.28826411968058
"288",-8.95016871908098
"289",-8.53376767333337
"290",-10.4943464134175
"291",-9.14511360882603
"292",-8.93062205091098
"293",-6.9367834230979
"294",-8.94242823982594
"295",-8.64943249158921
"296",-9.48335687965648
"297",-9.03935586496983
"298",-11.6543968734031
"299",-12.3973785875356
"300",-12.1158321488011
"301",-11.6337772574961
"302",-12.4420110769493
"303",-11.8725741818759
"304",-12.2110304435015
"305",-12.5336371776332
"306",-12.9306444222528
"307",-12.8937260801495
"308",-8.58610051884931
"309",-6.59998137880713
"310",-11.4325428145052
"311",-9.0373237151154
"312",-10.8464141309391
"313",-8.61390031336369
"314",-8.44081695208465
"315",-9.88332227789738
"316",-8.4073222304159
"317",-8.96142558725215
"318",-8.27124787914465
"319",-9.0463091516288
"320",-8.74720497530731
"321",-9.96539067612943
"322",-12.223760485746
"323",-12.0473993648754
"324",-7.98094906053549
"325",-7.38155859327999
"326",-8.50287054274746
"327",-8.10057935102236
"328",-9.32675194869525
"329",-9.3041452053192
"330",-9.46080653795003
"331",-6.52122599999612
"332",-9.14167354971786
"333",-10.084412566946
"334",-10.3714957721526
"335",-11.1834980743753
"336",-9.44309754169726
"337",-9.21117987278571
"338",-8.75559470221978
"339",-8.62535967289529
"340",-9.47392291892746
"341",-11.7511191359351
"342",-8.71538493953438
"343",-7.19865662898246
"344",-8.01723473347621
"345",-10.6993890580109
"346",-9.65070417407629
"347",-11.1152918228326
"348",-11.8130467681671
"349",-8.04381041872279
"350",-9.6548309267206
"351",-8.5610481286037
"352",-9.1615977106303
"353",-9.19859413349195
"354",-8.73463650765623
"355",-10.1271391238883
"356",-8.81743106568269
