"","x"
"1",-10.7736585889017
"2",-10.1144182501574
"3",-13.8421098131442
"4",-15.8432306730119
"5",-10.157798013265
"6",-9.66974353867865
"7",-9.5781947920398
"8",-9.05375008584331
"9",-10.7721504989556
"10",-11.9011456024467
"11",-11.8061641057507
"12",-11.7775158230364
"13",-11.7086030018079
"14",-11.2463515059926
"15",-10.6094763569401
"16",-11.0184008293819
"17",-14.2792414891963
"18",-13.0415542825245
"19",-11.9459403170041
"20",-10.7829249694048
"21",-11.6322664431143
"22",-11.950073212509
"23",-11.0468114413703
"24",-13.1964155182469
"25",-11.7096764426009
"26",-11.3644127379442
"27",-11.4297260606831
"28",-10.4712132267192
"29",-10.8205951846617
"30",-10.0834814984494
"31",-9.74350682712742
"32",-10.9345281370769
"33",-12.4145518360346
"34",-12.8656215131788
"35",-14.5493654642603
"36",-14.5211346207904
"37",-9.48637814781451
"38",-9.95265192315258
"39",-9.88232836851289
"40",-9.72896530877729
"41",-9.80583404419465
"42",-9.69990392604448
"43",-10.140781838518
"44",-9.40825463196612
"45",-9.54050188958799
"46",-10.0474010683759
"47",-11.4655610749745
"48",-10.171680309633
"49",-10.0081995625255
"50",-6.7887314305955
"51",-6.80596803858033
"52",-8.00116819550389
"53",-8.00247575305904
"54",-8.65166473996549
"55",-9.35081541742912
"56",-9.11270274844357
"57",-9.64223738699598
"58",-9.55869820441931
"59",-8.9855096506251
"60",-8.72646184312226
"61",-7.38780602867406
"62",-7.06275151366045
"63",-6.16992029542334
"64",-7.22327957612779
"65",-7.85381459576288
"66",-6.44601476634308
"67",-6.64576071398841
"68",-5.98307203121358
"69",-7.06256485675202
"70",-6.55737787690892
"71",-6.64878910538762
"72",-4.55911285676138
"73",-5.36261055994297
"74",-5.81915713599276
"75",-6.34407397787812
"76",-5.8647475548986
"77",-6.02548876993722
"78",-6.76898809969733
"79",-6.87544018826502
"80",-6.82653039267236
"81",-7.18550631010496
"82",-7.27316863017935
"83",-7.18060189415216
"84",-7.54679234517649
"85",-7.35193752713975
"86",-8.46345392719368
"87",-11.0860184523262
"88",-12.4682802327028
"89",-11.4591289823461
"90",-8.57453526268253
"91",-8.6663697731725
"92",-8.99942704124988
"93",-10.0689577488114
"94",-9.63603164738472
"95",-10.4261137960811
"96",-10.1158839865167
"97",-9.988853057611
"98",-9.39633941364515
"99",-9.47120694025049
"100",-8.81497265035825
"101",-9.66574075205506
"102",-11.0153216563449
"103",-10.4086747569098
"104",-10.5216146177005
"105",-10.1726293130366
"106",-7.8324386390101
"107",-6.86121858163513
"108",-7.15299842486569
"109",-6.18123326436084
"110",-7.72045902625794
"111",-8.1584033837245
"112",-9.03407109098121
"113",-11.1132033276545
"114",-9.51564325316948
"115",-8.84676197155918
"116",-8.74165171817994
"117",-8.48424884893248
