"","x"
"1",-11.0448477179931
"2",-11.0312305596415
"3",-11.1296237718251
"4",-11.274128134544
"5",-10.4712646066709
"6",-10.2446321511766
"7",-9.41495499637175
"8",-8.85018335841911
"9",-9.67021742333439
"10",-9.95325931886423
"11",-10.4439169408444
"12",-11.0008409119879
"13",-10.985688983632
"14",-10.9676108913644
"15",-11.0810704122373
"16",-11.2488429594977
"17",-11.4131751342831
"18",-11.4450028231861
"19",-11.4683699586487
"20",-11.4120190623229
"21",-11.1891115497961
"22",-10.9547761507933
"23",-10.6766442725783
"24",-10.5401921391604
"25",-10.3293379122537
"26",-10.4184838549301
"27",-10.4801595787844
"28",-10.5122379195172
"29",-9.98773617741366
"30",-9.85742122408195
"31",-10.0538104114866
"32",-10.401687530802
"33",-10.8583575184856
"34",-11.1143559674441
"35",-11.2446496242206
"36",-11.6778469777829
"37",-10.1054499265084
"38",-10.0734741365017
"39",-9.87050318817853
"40",-9.76766543169003
"41",-9.72177400880468
"42",-9.68125549610767
"43",-9.68377214108209
"44",-9.71937181056894
"45",-9.76612922904566
"46",-9.8941593573537
"47",-10.0186956620356
"48",-9.49426420805341
"49",-8.80796130591274
"50",-7.28407107621537
"51",-6.81329820253729
"52",-7.77726090722983
"53",-8.17752959526887
"54",-8.57836341331745
"55",-9.71752152037044
"56",-9.59660233412255
"57",-9.47884759532066
"58",-9.18686267777588
"59",-8.77507530032736
"60",-8.46538132717271
"61",-7.55134715717052
"62",-6.79831250928675
"63",-6.20260665472128
"64",-7.22746619973631
"65",-7.56958481220923
"66",-6.33547792717718
"67",-6.3139473394128
"68",-6.16461727525197
"69",-6.61745003901823
"70",-6.763512074546
"71",-6.43662851503609
"72",-5.54105482751275
"73",-5.56069112378184
"74",-5.72028173280124
"75",-5.89795885319212
"76",-5.82494608744298
"77",-5.76893781526912
"78",-6.58700498298101
"79",-6.61063637331648
"80",-6.26816370789895
"81",-6.96580125155406
"82",-6.85110151410121
"83",-7.04030136906235
"84",-7.43284515677329
"85",-7.39161962828249
"86",-8.11511052143802
"87",-9.60157133226332
"88",-9.76009760043457
"89",-9.88510647848368
"90",-9.11177034263381
"91",-9.09866430133255
"92",-9.15632050637787
"93",-9.25583502550066
"94",-9.21486057862893
"95",-9.28818454473338
"96",-9.30638548351698
"97",-9.19305337529434
"98",-9.13147909893417
"99",-9.12353600934106
"100",-9.12310645350193
"101",-9.37842148523169
"102",-9.59670291181217
"103",-9.63222105953204
"104",-10.094250432161
"105",-9.69785604393666
"106",-7.53365580965842
"107",-6.57092970213605
"108",-6.68458838580186
"109",-6.15737804040097
"110",-7.54780132659388
"111",-8.19038144919022
"112",-9.0159147587134
"113",-9.92448808797947
"114",-9.39990651782005
"115",-8.97038404873617
"116",-8.85140661057243
"117",-8.88590406806148
"118",-9.30382093679059
"119",-11.5625261155405
"120",-11.2041920958526
"121",-9.15343262535901
"122",-6.62712465974267
"123",-9.77124679962771
"124",-10.4918272570577
"125",-8.3939049485869
"126",-5.79641881704302
"127",-6.05653034699086
"128",-9.69721978786042
"129",-9.85036438490319
"130",-10.6079268419617
"131",-9.90823832412301
"132",-9.88794557616085
"133",-10.0000450265915
"134",-9.9809912089913
"135",-11.3671710158768
"136",-11.1194724003925
"137",-7.07007109360173
"138",-9.27067944750825
"139",-10.2650217556878
"140",-6.87006183437109
"141",-6.60167289389891
"142",-8.98442378075017
"143",-10.5377746449996
"144",-10.0625666457688
"145",-5.8326997883715
"146",-9.68926616537077
"147",-9.94058620294503
"148",-10.1082985996154
"149",-11.4333942872167
"150",-6.92622516141615
"151",-9.89007076482999
"152",-9.54669757434777
"153",-6.64422653959615
"154",-10.5213816949653
"155",-10.347940929315
"156",-10.5703890350026
"157",-9.81649005031518
"158",-7.28914364633065
"159",-6.33352452796642
"160",-9.8607984677054
"161",-9.71449318957718
"162",-7.21062778986695
"163",-6.61457425264787
"164",-9.27791040376001
"165",-10.2717590776692
"166",-7.48991732721792
"167",-7.32915685511475
"168",-7.06864231892111
"169",-11.4942015074279
"170",-10.8704983032621
"171",-9.31255520259154
"172",-9.15658167406746
"173",-6.41672017017473
"174",-8.65590218287514
"175",-10.4663403127307
"176",-9.94660526139767
"177",-11.2108872093459
"178",-5.90417346426248
"179",-10.298578577233
"180",-11.2171232381751
"181",-11.4819618871351
"182",-8.40048985524047
"183",-7.16731056134632
"184",-10.4273948811961
"185",-10.4026863331048
"186",-9.97709167922201
"187",-9.82670446720202
"188",-9.86629122243497
"189",-9.87958835541602
"190",-9.81176586701656
"191",-10.1455720689037
"192",-9.5058317910675
"193",-9.79415734180471
"194",-6.3603663983034
"195",-7.45275267204843
"196",-6.81492537296295
"197",-11.2828358808369
"198",-10.9998236159194
"199",-9.14935746304367
"200",-9.10361900230236
"201",-9.25514551813309
"202",-9.25891139806899
"203",-9.7941953355309
"204",-11.2901187830392
"205",-11.1260193885224
"206",-6.27834173611602
"207",-10.1324543672142
"208",-10.3140462156022
"209",-11.3420993976497
"210",-11.2183838950657
"211",-11.428708028364
"212",-7.24734265871149
"213",-6.84288714569996
"214",-7.05124873878026
"215",-10.5182156415284
"216",-10.3000105858909
"217",-10.1471894382856
"218",-10.4605130395379
"219",-10.4996257124946
"220",-10.4882032468504
"221",-10.263233694265
"222",-10.058485756871
"223",-10.2201175654984
"224",-8.89666101647234
"225",-9.7373215471341
"226",-9.57843446139804
"227",-10.1788401081411
"228",-9.85198759331499
"229",-9.88503823599944
"230",-9.96667411864493
"231",-6.57682940216866
"232",-7.62990615409432
"233",-6.87494411676965
"234",-11.133862422721
"235",-11.1654798932986
