"","x"
"1",-3.54313394872277
"2",-3.2867108240053
"3",-2.64388981429606
"4",-1.90003496616086
"5",-1.34763256253743
"6",-1.03420867711676
"7",-1.01028675844418
"8",-1.0915541725903
"9",-1.396095738752
"10",-1.89378685714113
"11",-2.14758659012504
"12",-3.32416771939314
"13",-1.96387674789145
"14",-2.75361759865921
"15",-1.57085645528899
"16",-2.04919137919743
"17",-1.24448045369096
"18",-1.58337972882581
"19",-1.26428270444135
"20",-1.38817149508817
"21",-1.43908917287311
"22",-1.33554078855928
"23",-1.51171177879299
"24",-1.57350219825501
"25",-1.37620688696085
"26",-2.08650203710297
"27",-1.27575504293983
"28",-2.68392727735326
"29",-1.43973279842728
"30",-2.95307998924989
"31",-2.7483357365659
"32",-2.33968614057393
"33",-2.06118613519695
"34",-2.10762303603568
"35",-2.20574011833286
"36",-2.03983678154725
"37",-1.68689408091801
"38",-1.48835381808923
"39",-1.55016333884124
"40",-1.63773594100545
"41",-3.41692827557808
"42",-3.46570674123502
"43",-3.45742766484745
"44",-2.70125857437156
"45",-3.02179155573624
"46",-3.15367783529983
"47",-3.00806017705847
"48",-1.10647296983147
"49",-3.02348551749003
"50",-2.35094495622637
"51",-2.41493534220315
"52",-0.874715934013334
"53",-1.83263834508647
"54",-1.66245465535413
"55",-1.996140023435
"56",-0.521290833932617
"57",-1.59620746227231
"58",-1.33429700373783
"59",-1.85443937643444
"60",0.168958261278163
"61",-2.3289953619247
"62",-1.46288885828892
"63",-0.404487389765108
"64",-2.74577572325968
"65",0.839463238024653
"66",-0.724126806486458
"67",-1.04918809585818
"68",-1.02136585486413
"69",-0.402474440151225
"70",0.263028891847507
"71",0.172647285016983
"72",0.981032571371858
"73",0.813354079751545
"74",0.414369878800221
"75",0.239089343235544
"76",0.760892737758657
"77",0.776152239944953
"78",1.24355167673479
"79",1.05949873849322
"80",1.17873616294917
"81",0.852840913074007
"82",0.801564664234941
"83",1.09162668949053
"84",1.05731167038441
"85",1.08980652939845
"86",-0.392538607505743
"87",0.724493333895275
"88",0.929213344017648
"89",0.765682216794625
"90",0.595124463865946
"91",0.727813399022871
"92",0.807977392069224
"93",0.778920095027398
"94",0.635169166536317
"95",0.807287932046969
"96",0.718523249835197
"97",-0.715514919813904
"98",0.30182898031533
"99",-0.358363881841503
"100",0.682390637995758
"101",1.1278517728113
"102",0.738761952279568
"103",-0.649493431501444
"104",0.147198745297069
"105",0.218546889468821
"106",-1.54330931501461
"107",-1.04378234262147
"108",-1.48411696058492
"109",-1.95438456631668
"110",-2.38795668772751
"111",-2.32845887558113
"112",0.105937892415513
"113",-0.440210381790963
"114",0.204602327236465
"115",-0.301616041150128
"116",-0.828396951240969
"117",0.501892845570253
"118",-0.676137102876194
"119",-0.876040869675484
"120",-1.00595007425417
"121",-0.837429790344532
"122",-0.314945569373922
"123",-0.775808867665659
"124",0.114348766768025
"125",0.0688843713888786
"126",-1.03421062003804
"127",0.829527797491611
"128",0.808357128030848
"129",1.08651927734064
"130",0.777243187571162
"131",0.717133077193726
"132",0.602604566532232
"133",1.01471155828843
"134",0.917543818814432
"135",1.40699995220881
"136",0.635425767575729
"137",-0.0863311100471132
"138",-0.461283095110086
"139",0.19104644913007
"140",-1.23004073094381
"141",-0.00333086098421061
"142",-0.717438524020485
"143",0.651137114811222
"144",-1.80993170380629
"145",-0.283521933956603
"146",0.679529659245379
"147",1.21245126119324
"148",-0.0722806344906485
"149",0.248220051465865
"150",0.648166808875678
"151",0.818717074520939
"152",1.4804135998063
"153",-0.297304641228303
"154",0.200901108295327
"155",0.437146064292779
"156",1.04359318276368
"157",-1.10745908042596
"158",-0.434895926190817
"159",0.0300770409744489
