"","x"
"1",-1.95924569663344
"2",-1.95928102388409
"3",-1.96613845039624
"4",-1.97265593602125
"5",-1.9736838761486
"6",-1.9677918842322
"7",-1.9601507109274
"8",-1.94397210279199
"9",-1.91196014702114
"10",-1.85850461075143
"11",-1.81936161046227
"12",-1.69475327122307
"13",-1.60257304741875
"14",-1.56133845692981
"15",-1.53457348052601
"16",-1.53133309125441
"17",-1.49901475172033
"18",-1.45611188621634
"19",-1.42886170012347
"20",-1.41410019354614
"21",-1.41312330403414
"22",-1.41338304631701
"23",-1.41905520688944
"24",-1.42652186603243
"25",-1.43500911481471
"26",-1.44148082015367
"27",-1.44193411212688
"28",-1.4397143645943
"29",-1.43690001174391
"30",-1.43333947075476
"31",-1.43017749782238
"32",-1.41744862105917
"33",-1.41816147972766
"34",-1.41857411677639
"35",-1.44894584599086
"36",-1.5347733661456
"37",-1.62151572282009
"38",-1.6593071961683
"39",-1.70609842535901
"40",-1.83401649824698
"41",-1.89706385447917
"42",-1.92747323203193
"43",-1.96518387352821
"44",-1.99985993926117
"45",-2.03026429107582
"46",-2.06246911638101
"47",-2.08897345079067
"48",-2.13851078577313
"49",-2.23725057277101
"50",-2.30734668089753
"51",-2.38486402632064
"52",-2.46240797647574
"53",-2.55486222243335
"54",-2.66240749273861
"55",-2.75750403281471
"56",-2.83511864699044
"57",-2.89554903086517
"58",-2.91155380715343
"59",-2.93763816374457
"60",-2.9674125304148
"61",-2.99395026171991
"62",-3.02043449372387
"63",-3.03806624484918
"64",-3.04342719332873
"65",-3.04317508123803
"66",-3.03683437517162
"67",-3.01328673237796
"68",-2.99098720531123
"69",-2.87530044142503
"70",-2.74649010978056
"71",-2.63375030809007
"72",-2.53497807027755
"73",-2.44577609186109
"74",-2.36942275974395
"75",-2.31317526571751
"76",-2.25860178105871
"77",-2.19589640530694
"78",-2.17268216251124
"79",-2.1332177621608
"80",-2.09376550536269
"81",-2.06339426388743
"82",-2.03985025415006
"83",-2.02326157308119
"84",-2.0122653915286
"85",-1.99569438743496
"86",-1.97505484185914
"87",-2.16561197126661
"88",-1.84192195262139
"89",-2.96579010187159
"90",-1.42374713683347
"91",-3.01450939425638
"92",-3.013537430951
"93",-2.9456220447001
"94",-1.43471394162588
"95",-1.43230018830752
"96",-1.41699173871812
"97",-2.04452409268408
"98",-1.98455879883005
"99",-2.11585697476349
"100",-1.88483729699739
"101",-2.00764499286979
"102",-2.03452393415525
"103",-1.96916335433992
"104",-1.96230769510312
"105",-1.96944233163912
"106",-1.79104253558689
"107",-2.06827875919093
"108",-2.09960366537942
"109",-2.05586119767158
"110",-2.01758792259917
"111",-1.98822841360254
"112",-2.0143488746789
"113",-1.97274826635622
"114",-1.97403016340065
"115",-1.92421336696786
"116",-1.9480054758385
"117",-1.96266139258634
"118",-1.83865165180028
"119",-1.70733115482743
"120",-1.75613880394297
"121",-1.69890319757866
"122",-2.13315646485574
"123",-2.05471322503393
"124",-1.99159744282466
"125",-1.97005765851229
"126",-1.96794546961327
"127",-1.89187981922706
"128",-1.94330761679259
"129",-1.92489255200409
"130",-1.76549032546777
"131",-1.79700705789849
"132",-1.61708109582096
"133",-2.22413541533819
"134",-1.95615573033095
"135",-1.8517595246193
"136",-1.76567567020086
"137",-1.71097042074892
"138",-1.67705946145131
"139",-1.64341099292416
"140",-1.65459978311784
"141",-1.66752167374524
"142",-1.61907229457732
"143",-1.58440400613434
"144",-1.64622085509547
"145",-2.18059711437736
"146",-2.18460429561216
"147",-1.64042210743207
"148",-1.58623601273169
"149",-1.61873041749196
"150",-1.60323739643161
"151",-1.59488405482051
"152",-1.57962593512604
"153",-1.55249206376836
"154",-1.58087937663956
"155",-1.56300134355246
"156",-3.03518867645997
"157",-2.98210794787411
"158",-1.43888681033026
"159",-1.42361826030738
"160",-2.17480666729299
"161",-2.14132967073313
"162",-2.22792678078223
"163",-2.22352479621511
