"","x"
"1",-1.95215422091405
"2",-1.93122073791928
"3",-1.91347785252242
"4",-1.90065208700734
"5",-1.8881417253004
"6",-1.87273714728655
"7",-1.85448714836095
"8",-1.83092172163309
"9",-1.80397792933857
"10",-1.76931199276731
"11",-1.75175650646397
"12",-1.71359593122837
"13",-1.66910800351357
"14",-1.62676834172554
"15",-1.57725231944189
"16",-1.53771667696837
"17",-1.51078170926862
"18",-1.48899217891566
"19",-1.47052286304523
"20",-1.45863229986701
"21",-1.45458956171764
"22",-1.44983711300615
"23",-1.44809021883114
"24",-1.44758155591638
"25",-1.44766217598914
"26",-1.44768892761186
"27",-1.44757567349107
"28",-1.44806616755499
"29",-1.44982838038919
"30",-1.45463666428328
"31",-1.4579561978159
"32",-1.46986217759186
"33",-1.48818824078038
"34",-1.51479640013404
"35",-1.5454970864151
"36",-1.58036059282701
"37",-1.61603919932175
"38",-1.66084836553896
"39",-1.71531755568187
"40",-1.75959969685471
"41",-1.79921203033872
"42",-1.82327658794847
"43",-1.88002590242791
"44",-1.93460816860013
"45",-1.98451258019336
"46",-2.03243834783139
"47",-2.06955133100084
"48",-2.13434097546529
"49",-2.20005632555732
"50",-2.27076419726645
"51",-2.34082110374853
"52",-2.40378831471847
"53",-2.47045836689134
"54",-2.54074990370565
"55",-2.6076082708365
"56",-2.66030806662705
"57",-2.69631640876006
"58",-2.70907985873109
"59",-2.72717542121849
"60",-2.73562324554536
"61",-2.73828183751067
"62",-2.73851191676552
"63",-2.73911121400551
"64",-2.73966392956828
"65",-2.73764050084881
"66",-2.73077803990687
"67",-2.71192796044141
"68",-2.69834649874691
"69",-2.64994722421829
"70",-2.59785826871183
"71",-2.53873671440615
"72",-2.47039824910669
"73",-2.39950504543045
"74",-2.33256838958172
"75",-2.26866368117618
"76",-2.21173077088554
"77",-2.16270497402379
"78",-2.1369825964223
"79",-2.10526708217783
"80",-2.08666549315352
"81",-2.06459125473792
"82",-2.04063897252765
"83",-2.01700172014728
"84",-1.99828574565679
"85",-1.9856184696484
"86",-1.9712640379801
"87",-2.12105387071873
"88",-1.78020463671842
"89",-2.71061077511545
"90",-1.45564083342237
"91",-2.72045422386571
"92",-2.73172179899993
"93",-2.71827978935671
"94",-1.45261294188006
"95",-1.44940830629917
"96",-1.45299103875027
"97",-2.02517520857761
"98",-1.94278844177438
"99",-2.09056467798855
"100",-1.78947361613452
"101",-1.99562039582728
"102",-2.02876144198281
"103",-1.94234797359593
"104",-1.87334578464618
"105",-1.87968195719058
"106",-1.74988245693901
"107",-2.05603794482322
"108",-2.06624454371542
"109",-2.05311175953975
"110",-2.00796661689599
"111",-1.96867601526113
"112",-1.98474668196634
"113",-1.96336887007907
"114",-1.90996887442335
"115",-1.826998114486
"116",-1.84213608672198
"117",-1.86337250731796
"118",-1.76468980251156
"119",-1.71809625341033
"120",-1.73178468397991
"121",-1.71600864646085
"122",-2.10710010510847
"123",-2.0232117083856
"124",-1.93359194575809
"125",-1.90264646385415
"126",-1.92125691178764
"127",-1.80767778542324
"128",-1.85873915473808
"129",-1.81550163423983
"130",-1.74572814101076
"131",-1.75735042703361
"132",-1.6587984864448
"133",-2.18692233895439
"134",-1.86783884851569
"135",-1.77375204306766
"136",-1.73541527865865
"137",-1.71745198432312
"138",-1.6884463023452
"139",-1.65848436525961
"140",-1.68935786936742
"141",-1.69010420223445
"142",-1.67446521183068
"143",-1.64155411951573
"144",-1.69125018411799
"145",-2.15747239302772
"146",-2.14418048126417
"147",-1.63890989480902
"148",-1.6061992512667
"149",-1.63093093792391
"150",-1.61033120134388
"151",-1.6275364912043
"152",-1.5981515211733
"153",-1.59687844027008
"154",-1.64820015596478
"155",-1.62019947090669
"156",-2.73430210393044
"157",-2.73300285641902
"158",-1.44898734249584
"159",-1.44899630740066
"160",-2.13434404711108
"161",-2.11071092718568
"162",-2.1840836891363
"163",-2.17552881694116
"164",-2.25098009143881
"165",-2.21511663506779
"166",-2.22133523357172
"167",-2.24330074463673
"168",-2.18756176068454
"169",-2.23817869537681
"170",-2.26359886494543
"171",-2.30202216011054
"172",-2.07896599316657
"173",-1.98283684180193
"174",-1.89823317430253
"175",-1.55731453469182
"176",-2.31139444014033
"177",-2.29699704502973
"178",-2.37180024577954
"179",-2.33529029318629
"180",-2.33953197779426
"181",-2.36875696968037
"182",-2.36529866582244
"183",-2.23385652987734
"184",-1.58191938752557
"185",-1.58462274206611
"186",-1.55630941947177
"187",-1.57576980921335
"188",-1.56268932532765
"189",-2.28215618290283
"190",-2.27377037743345
"191",-2.31916340860207
"192",-2.45323014430749
"193",-2.37034675027311
"194",-1.52228298351809
"195",-1.55673535847601
"196",-2.41862758041022
"197",-2.40427814517191
"198",-2.42031057170618
"199",-2.46281068140678
"200",-2.54147965041865
"201",-2.50459092959962
"202",-2.49770549830881
"203",-2.54571086454162
"204",-2.48148715327327
"205",-2.60862578350897
"206",-2.57396425176189
"207",-2.58177910306246
"208",-2.51020963945789
"209",-2.52344612794074
"210",-2.50529262581069
"211",-2.56880423668466
"212",-2.43638245343241
"213",-2.38636196197945
"214",-2.43503534896298
"215",-2.42816498568162
"216",-2.56962146159518
"217",-2.61638375092704
"218",-2.54782265923733
"219",-2.5831659695767
"220",-2.59552451836938
"221",-2.56887533632963
"222",-1.5358137622748
"223",-1.53923036930743
"224",-1.53263496097588
"225",-1.52112002267347
"226",-1.54646610965673
"227",-2.62577869620651
"228",-2.6671666368307
"229",-2.65382420998015
"230",-2.69219644409465
"231",-2.67599427835895
"232",-2.69200106487475
"233",-2.6965284057593
"234",-2.7012670905747
"235",-2.66320124027063
"236",-2.63437572281137
"237",-2.64027768403688
"238",-2.60761627532416
"239",-2.67699612160423
"240",-2.63848291286682
"241",-1.52993011929934
"242",-2.67811107636829
"243",-1.47659514544771
"244",-1.46396337563468
"245",-1.45836038982381
"246",-1.46480528500521
"247",-1.47211281572293
"248",-1.47855335303685
"249",-1.48832228908665
"250",-1.50521910444496
"251",-1.47833711445906
"252",-1.49738833021684
"253",-1.51436954853304
"254",-1.50934517731268
"255",-1.49682040950782
"256",-1.52342320300721
"257",-1.48615051772472
"258",-1.48673674315465
"259",-1.50093310450729
"260",-1.47866175589818
"261",-1.46789299220569
"262",-1.49622406264369
"263",-1.45956516247181
"264",-1.46245573545683
"265",-1.46425775514458
"266",-1.46861282889347
"267",-1.47584339152976
