"","x"
"1",-1.22555872506482
"2",-1.50080110010571
"3",-1.81519896267725
"4",-2.05310337827657
"5",-1.97173301809625
"6",-1.76455741195375
"7",-1.9449160525215
"8",-2.336186761485
"9",-2.37177949151695
"10",-2.04904409642322
"11",-1.89746902542929
"12",-1.75259872079846
"13",-1.36656479778474
"14",-1.46476427815617
"15",-1.21397135660437
"16",-2.19633332560744
"17",-1.67189024806983
"18",-1.29332123957613
"19",-1.46825344543245
"20",-1.44297652769316
"21",-1.3664178315443
"22",-1.25742245390193
"23",-1.26023028332423
"24",-1.39068423960815
"25",-1.55164282534816
"26",-1.66708275009332
"27",-1.57048166287174
"28",-1.40900658633659
"29",-1.33644219195322
"30",-1.42897558218218
"31",-1.45559381951143
"32",-1.24852432479846
"33",-1.47038921622981
"34",-1.41545892176043
"35",-1.2173013656441
"36",-1.44482473609986
"37",-2.08942611287492
"38",-1.95282073364769
"39",-1.4351046672675
"40",-1.70775157334808
"41",-1.85859061603619
"42",-1.89341184588864
"43",-1.93238666696426
"44",-1.9777705430674
"45",-1.99837071211524
"46",-1.9982894546037
"47",-2.01639077057344
"48",-2.07006718101977
"49",-2.17307321684577
"50",-2.09661864741696
"51",-2.55076531391
"52",-2.30040212243952
"53",-2.38522951149144
"54",-2.84396993261643
"55",-2.8742280023331
"56",-2.57472118336753
"57",-1.85331237715142
"58",-1.74703436809796
"59",-1.85556180991276
"60",-2.37396420271332
"61",-3.00777588395188
"62",-3.57357504977337
"63",-3.83620688923322
"64",-3.87506339846124
"65",-3.90590964317217
"66",-3.9808313921459
"67",-3.88107227627207
"68",-3.72966005937621
"69",-2.79169222297343
"70",-2.23215569372854
"71",-2.25116429879342
"72",-2.31096873150156
"73",-2.22556613259012
"74",-2.07883380480752
"75",-2.31908717844737
"76",-2.14005300754143
"77",-2.28892827431083
"78",-2.32724851230039
"79",-2.09145074692173
"80",-1.75965561425146
"81",-1.75923426267031
"82",-1.77184039592541
"83",-1.97754828578931
"84",-2.38197088343851
"85",-2.29298743042808
"86",-1.74507867525605
"87",-2.38221411093094
"88",-1.92966783649915
"89",-3.36459861525096
"90",-1.36214915600244
"91",-3.88030442472727
"92",-3.61246095116959
"93",-2.55924657239077
"94",-1.56520358363122
"95",-1.48699518862235
"96",-1.33977222540024
"97",-1.89899021540378
"98",-2.11071998230347
"99",-2.16971945601236
"100",-2.19348867554715
"101",-2.17330492058205
"102",-1.84277938458966
"103",-1.77633255317141
"104",-2.02846136459544
"105",-1.98852391256336
"106",-1.75055619356046
"107",-1.88131375745776
"108",-2.08639047916352
"109",-1.83702413435691
"110",-2.16231525021883
"111",-2.06045189687703
"112",-2.19967738119464
"113",-1.65292073855949
"114",-2.21609635797971
"115",-2.19894163505238
"116",-2.1858547742158
"117",-1.9317521169927
"118",-1.95629995544251
"119",-1.45656862106162
"120",-1.78142237639418
"121",-1.63570915653109
"122",-2.0951136954187
"123",-2.0431622522232
"124",-2.04578899201896
"125",-1.97412343924372
"126",-1.93325540071292
"127",-1.98008940308451
"128",-1.89341955375321
"129",-2.37064890951327
"130",-1.65904866157362
"131",-1.79223957464159
"132",-1.40596230377659
"133",-2.44534428771954
"134",-1.8903495754108
"135",-1.87590303780819
"136",-1.564939429544
"137",-1.46492349884332
"138",-1.66026058350714
"139",-1.70655907925107
"140",-1.47861926855392
"141",-1.5004780566668
"142",-1.45865508230267
"143",-1.54411248801885
"144",-1.55699905727325
"145",-2.22025949494823
"146",-2.36672907851592
"147",-2.01904892391376
"148",-2.04493457048821
"149",-1.92139675319843
"150",-2.02247785801505
"151",-1.82271275920002
"152",-1.79358834297026
"153",-1.45692687858905
"154",-1.43072344916962
"155",-1.50829591087947
"156",-3.87632171820094
"157",-2.90043975472186
"158",-1.54329353899784
"159",-1.38695215087248
"160",-2.48050181216979
"161",-2.25761156829663
"162",-2.37617508281444
"163",-2.45796912172292
"164",-2.25601209136867
"165",-2.35609361922733
"166",-2.29313983855945
"167",-2.19114585537553
"168",-2.21564567375155
"169",-2.25228133728369
"170",-2.33399270489751
"171",-2.22248856795368
"172",-1.91219706411127
"173",-2.18459418330254
"174",-2.21000259301149
"175",-1.33270553254088
"176",-2.41436876918841
"177",-2.32966403820267
"178",-2.49726937309225
"179",-2.4768612206648
"180",-2.25328158541926
"181",-2.61801544377667
"182",-2.17377769040799
"183",-2.13485599733335
"184",-1.65744130559815
"185",-1.69173824650596
"186",-1.62105768593129
"187",-1.46323588344341
"188",-1.25807292605333
"189",-2.17142181148239
"190",-2.23931701218716
"191",-2.4577516563506
"192",-2.59073297124391
"193",-2.48005126995558
"194",-1.64172497403704
"195",-1.71982519083769
"196",-2.42616338355346
"197",-2.62508421186818
"198",-2.54036346505467
"199",-2.42210859157112
"200",-2.91308457969767
"201",-2.61439893083107
"202",-2.69862120677209
"203",-2.88690438801651
"204",-2.52759350662537
"205",-2.94542928319632
"206",-2.87984044967124
"207",-2.92653309945911
"208",-2.68746564474687
"209",-2.47434757859498
"210",-2.29105183358008
"211",-2.52880488898003
"212",-2.32280447459972
"213",-2.39336743120146
"214",-2.33821078786533
"215",-2.62869921480957
"216",-2.24560325817597
"217",-2.67763960425605
"218",-2.7721099259701
"219",-2.90211044289564
"220",-2.47962958816298
"221",-2.97723260683789
"222",-1.97376872109384
"223",-1.50229282651397
"224",-1.14423553973052
"225",-1.93067756585504
"226",-1.1379803729316
"227",-2.48580976255336
"228",-3.04040247046553
"229",-2.90621729733497
"230",-2.70909191619455
"231",-3.29800094804556
"232",-3.18006981413691
"233",-3.5250618506693
"234",-2.26145571024254
"235",-2.67362546102102
"236",-2.77562496687254
"237",-2.86953670353821
"238",-2.86564036024965
"239",-3.21999786358638
"240",-2.85263007765776
"241",-1.30305880302859
"242",-2.2772575970629
"243",-1.58647470635166
"244",-1.31159091955629
"245",-1.30064997025389
"246",-1.4315624043427
"247",-1.46505281898739
"248",-1.41245154834557
"249",-1.49443129233698
"250",-1.5617378558794
"251",-1.58414529305359
"252",-1.44603243515936
"253",-1.26068799675932
"254",-1.33723714460178
"255",-1.51136642714712
"256",-1.29531760030707
"257",-1.65862265936422
"258",-1.43449650921976
"259",-1.39639603685998
"260",-1.40003056738054
"261",-1.37642755595601
"262",-1.42440626263287
"263",-1.55027724472618
"264",-1.33662094555596
"265",-1.34911803913397
"266",-1.33275077840545
"267",-1.50923322897085
