"","x"
"1",-0.0330994417190885
"2",-0.033276255386351
"3",-0.0340717548255146
"4",-0.0356798455508812
"5",-0.038199507860373
"6",-0.0415793695294975
"7",-0.0456635523906579
"8",-0.0498411942076032
"9",-0.0535923078057571
"10",-0.0562700164442581
"11",-0.0572606302785638
"12",-0.0321871268266712
"13",-0.0560321382204953
"14",-0.0297499729673988
"15",-0.0525707298667365
"16",-0.0263816098375093
"17",-0.0473832937032118
"18",-0.0228057790686795
"19",-0.0415412828628269
"20",-0.0195048621243046
"21",-0.0358048718564349
"22",-0.0168158667088231
"23",-0.0308656508842516
"24",-0.0148598206182138
"25",-0.0270932223197587
"26",-0.0137856508721739
"27",-0.0244242873574842
"28",-0.0133532109822108
"29",-0.0227841191097402
"30",-0.0133216031001625
"31",-0.0131306172247677
"32",-0.0131039775047029
"33",-0.0133432951485567
"34",-0.0140778737665218
"35",-0.0153770614298605
"36",-0.0170417924903697
"37",-0.0188094949665092
"38",-0.0204955166818445
"39",-0.0218434514601876
"40",-0.0222221936307259
"41",-0.0329153348554416
"42",-0.032841185280293
"43",-0.0331076114939765
"44",-0.0326544066073589
"45",-0.0317950629459689
"46",-0.0330100050912085
"47",-0.033602453616815
"48",-0.0278670062188255
"49",-0.0310692140324453
"50",-0.0294768645184118
"51",-0.0310845007122302
"52",-0.0320135963230083
"53",-0.0295514945925296
"54",-0.0312808659937267
"55",-0.0335524627771096
"56",-0.0293585879544642
"57",-0.0324716747529167
"58",-0.0338215924089244
"59",-0.034985873557646
"60",-0.0341740181077394
"61",-0.0343191325140501
"62",-0.0365761891768818
"63",-0.0334245197944819
"64",-0.0335865026118625
"65",-0.0232148111580781
"66",-0.0384662678274089
"67",-0.0353768879200856
"68",-0.0371189535901962
"69",-0.0363234516251544
"70",-0.0377916285084888
"71",-0.0362478593393189
"72",-0.0304420052555504
"73",-0.0328197333835151
"74",-0.0302745294598337
"75",-0.0261156720687352
"76",-0.0343784070161566
"77",-0.0314955975196311
"78",-0.0267294395988557
"79",-0.0289890614494946
"80",-0.0289849573805481
"81",-0.027034712415241
"82",-0.0251164629050823
"83",-0.0250410228072485
"84",-0.0240367769593198
