"","V1","V2","V3"
"1",145,144,332
"2",143,145,288
"3",293,160,541
"4",160,480,541
"5",522,440,527
"6",478,150,530
"7",270,322,362
"8",385,478,530
"9",479,382,526
"10",192,506,555
"11",165,141,418
"12",461,448,516
"13",506,407,555
"14",361,502,539
"15",419,420,466
"16",428,398,507
"17",427,399,586
"18",435,297,486
"19",360,361,539
"20",398,428,540
"21",158,394,413
"22",460,397,530
"23",150,460,530
"24",388,317,519
"25",201,199,215
"26",381,537,573
"27",374,399,427
"28",362,322,572
"29",344,522,527
"30",317,381,519
"31",557,384,569
"32",190,429,430
"33",308,547,557
"34",526,528,578
"35",383,384,557
"36",134,408,452
"37",215,136,432
"38",299,405,410
"39",361,270,362
"40",191,165,418
"41",394,158,435
"42",280,352,360
"43",405,299,541
"44",300,409,481
"45",151,479,526
"46",280,360,540
"47",190,189,429
"48",526,333,528
"49",408,134,453
"50",306,186,417
"51",294,280,540
"52",201,215,221
"53",352,270,361
"54",353,299,410
"55",518,381,573
"56",161,369,536
"57",408,297,435
"58",441,161,536
"59",523,186,546
"60",199,39,215
"61",391,523,546
"62",280,260,352
"63",331,308,557
"64",439,461,516
"65",419,226,420
"66",443,341,484
"67",281,344,471
"68",309,538,547
"69",227,226,419
"70",336,400,402
"71",305,462,580
"72",462,412,580
"73",354,431,514
"74",221,215,432
"75",314,288,389
"76",436,163,542
"77",417,186,523
"78",437,156,564
"79",163,409,542
"80",336,335,400
"81",431,354,433
"82",384,353,411
"83",272,288,314
"84",421,422,425
"85",366,373,586
"86",369,366,586
"87",282,281,471
"88",223,228,421
"89",394,435,486
"90",537,198,573
"91",353,410,411
"92",156,535,564
"93",373,427,586
"94",330,298,453
"95",141,379,418
"96",196,139,414
"97",439,516,534
"98",136,190,432
"99",409,327,481
"100",478,385,535
"101",455,454,504
"102",156,478,535
"103",538,401,547
"104",408,435,452
"105",279,274,514
"106",341,443,521
"107",183,425,545
"108",382,479,575
"109",163,327,409
"110",379,162,392
"111",425,183,570
"112",139,34,414
"113",298,408,453
"114",163,42,327
"115",30,162,379
"116",313,449,450
"117",334,324,403
"118",400,314,401
"119",456,439,534
"120",424,483,545
"121",292,160,293
"122",312,230,447
"123",57,160,292
"124",421,228,422
"125",194,197,549
"126",409,300,499
"127",238,314,400
"128",391,546,566
"129",450,449,451
"130",197,194,573
"131",299,293,541
"132",497,391,566
"133",427,294,428
"134",147,294,427
"135",37,36,189
"136",428,507,552
"137",428,294,540
"138",395,312,447
"139",547,389,557
"140",48,49,260
"141",67,66,452
"142",425,422,545
"143",226,223,421
"144",454,453,504
"145",357,359,530
"146",330,453,454
"147",197,196,549
"148",426,221,433
"149",495,496,555
"150",528,454,578
"151",195,198,429
"152",381,518,519
"153",66,134,452
"154",74,73,457
"155",331,557,569
"156",65,64,504
"157",286,305,416
"158",190,430,431
"159",440,148,527
"160",448,449,516
"161",456,326,548
"162",549,196,588
"163",311,434,465
"164",305,284,462
"165",270,137,322
