"","V1","V2","V3"
"1",42,1,41
"2",45,12,41
"3",111,50,108
"4",45,41,46
"5",41,2,46
"6",54,57,52
"7",48,103,108
"8",49,50,14
"9",86,103,48
"10",144,16,109
"11",191,160,192
"12",166,165,26
"13",137,65,105
"14",28,173,196
"15",151,129,152
"16",127,84,91
"17",171,26,165
"18",86,48,56
"19",53,56,48
"20",60,69,71
"21",306,299,285
"22",332,13,331
"23",125,114,122
"24",299,303,15
"25",72,76,92
"26",134,88,131
"27",114,125,280
"28",137,138,97
"29",128,147,129
"30",214,215,36
"31",220,38,219
"32",207,198,206
"33",131,88,91
"34",38,220,221
"35",236,39,230
"36",216,219,37
"37",83,78,84
"38",79,81,98
"39",64,46,47
"40",43,2,41
"41",41,12,42
"42",41,1,43
"43",55,59,58
"44",57,58,52
"45",51,50,45
"46",14,12,49
"47",47,3,64
"48",45,46,44
"49",53,54,56
"50",46,2,47
"51",63,52,58
"52",12,45,49
"53",50,49,45
"54",51,45,44
"55",107,108,103
"56",55,57,44
"57",108,53,48
"58",58,67,63
"59",9,296,329
"60",50,51,53
"61",54,53,51
"62",44,54,51
"63",54,52,56
"64",61,55,64
"65",61,4,59
"66",74,52,63
"67",71,73,60
"68",44,57,54
"69",58,57,55
"70",62,59,4
"71",63,67,69
"72",61,59,55
"73",62,4,5
"74",120,7,116
"75",92,95,72
"76",64,55,44
"77",4,61,3
"78",335,68,5
"79",59,62,67
"80",58,59,67
"81",60,73,77
"82",64,44,46
"83",3,61,64
"84",74,56,52
"85",138,105,141
"86",5,6,335
"87",115,116,99
"88",62,68,67
"89",68,69,67
"90",5,68,62
"91",69,68,66
"92",145,71,69
"93",69,60,63
"94",117,114,87
"95",291,279,283
"96",145,69,66
"97",76,73,71
"98",73,76,72
"99",220,223,225
"100",76,71,70
"101",74,77,79
"102",77,63,60
"103",83,75,81
"104",98,56,74
"105",104,103,75
"106",70,112,90
"107",241,248,238
"108",73,72,80
"109",63,77,74
"110",72,95,85
"111",78,80,85
"112",77,73,80
"113",81,79,78
"114",78,79,80
"115",80,79,77
"116",83,81,78
"117",86,98,75
"118",92,93,274
"119",177,31,178
"120",78,85,84
"121",75,83,65
"122",131,91,132
"123",65,83,84
"124",72,85,80
"125",84,85,82
"126",86,56,98
"127",103,86,75
"128",325,326,323
"129",76,70,90
"130",161,168,149
"131",84,82,91
"132",281,272,275
"133",235,233,27
"134",70,113,115
"135",274,322,271
"136",95,82,85
"137",128,88,147
"138",93,92,76
"139",92,89,96
"140",76,90,93
"141",117,322,90
"142",96,146,94
"143",132,102,131
"144",96,95,92
"145",82,95,94
"146",146,96,89
"147",95,96,94
"148",65,84,127
"149",140,97,138
"150",79,98,74
"151",98,81,75
"152",99,116,121
"153",114,117,112
"154",128,129,100
"155",103,137,97
"156",249,324,251
"157",210,35,204
"158",132,136,102
"159",210,214,36
"160",104,75,65
"161",107,103,97
"162",105,65,143
"163",103,104,137
"164",100,129,150
"165",20,140,188
"166",187,107,97
"167",106,109,108
"168",187,97,140
"169",108,107,106
"170",106,144,109
"171",53,108,50
"172",111,14,50
"173",108,109,111
"174",109,110,111
"175",109,16,110
"176",14,111,110
"177",71,145,70
"178",112,99,114
"179",119,6,120
"180",99,112,115
"181",122,99,123
"182",99,122,114
"183",70,115,112
"184",116,115,113
"185",116,113,119
"186",116,7,121
"187",322,117,87
"188",112,117,90
"189",307,288,308
"190",290,276,284
"191",113,66,119
"192",335,119,66
"193",8,123,126
"194",119,120,116
"195",122,123,118
"196",123,99,121
"197",295,125,122
"198",126,123,121
"199",329,123,8
"200",288,295,301
"201",300,289,298
"202",295,122,118
"203",125,124,280
"204",128,91,88
"205",121,7,126
"206",127,100,143
"207",100,127,128
"208",91,128,127
"209",134,135,147
"210",139,154,142
"211",256,258,254
"212",268,320,130
"213",132,91,82
"214",134,102,133
"215",82,94,132
"216",136,132,94
"217",263,102,320
"218",182,184,185
"219",102,134,131
"220",135,134,133
"221",135,133,209
"222",179,181,32
"223",146,136,94
"224",136,130,320
"225",65,137,104
"226",138,137,105
"227",141,100,150
"228",142,188,138
"229",151,139,150
"230",138,141,142
"231",18,187,186
"232",140,186,187
"233",100,141,105
"234",142,141,139
"235",151,154,139
"236",190,188,189
"237",127,143,65
"238",100,105,143
"239",66,113,145
"240",187,144,106
"241",70,145,113
"242",269,146,89
"243",136,146,130
"244",134,147,88
"245",152,147,135
"246",193,316,315
"247",198,207,34
"248",176,173,170
"249",157,160,158
"250",151,150,129
"251",141,150,139
"252",129,147,152
"253",153,155,158
"254",162,168,194
"255",159,155,161
"256",153,154,155
"257",188,190,20
"258",155,154,151
"259",154,153,191
"260",156,155,151
"261",164,24,160
"262",151,152,156
"263",168,161,156
"264",157,158,159
"265",163,169,159
"266",159,158,155
"267",157,164,160
"268",161,155,156
"269",159,149,163
"270",192,22,189
"271",153,158,160
"272",168,156,152
"273",149,159,161
"274",194,152,135
"275",185,33,181
"276",172,174,175
"277",171,28,26
"278",165,164,157
"279",166,24,164
"280",157,169,165
"281",169,170,165
"282",194,168,152
"283",165,166,164
"284",160,24,167
"285",149,168,162
"286",159,169,157
"287",170,169,163
"288",170,163,174
"289",28,171,173
"290",165,170,171
"291",173,171,170
"292",163,175,174
"293",177,179,32
"294",170,174,176
"295",173,178,196
"296",175,163,149
"297",174,172,176
"298",162,180,149
"299",149,180,175
"300",177,176,172
"301",196,178,31
"302",177,172,179
"303",31,177,32
"304",173,176,178
"305",177,178,176
"306",175,182,172
"307",172,182,179
"308",194,195,162
"309",33,197,34
"310",175,180,182
"311",185,181,179
"312",180,162,183
"313",198,34,197
"314",199,184,182
"315",199,182,180
"316",201,200,202
"317",182,185,179
"318",197,185,184
"319",144,187,18
"320",140,20,186
"321",107,187,106
"322",138,188,140
"323",188,142,189
"324",191,189,142
"325",167,192,160
"326",154,191,142
"327",189,22,190
"328",160,191,153
"329",22,192,167
"330",191,192,189
"331",257,260,255
"332",148,183,195
"333",209,194,135
"334",195,194,193
"335",195,193,315
"336",162,195,183
"337",31,30,196
"338",28,196,30
"339",185,197,33
"340",198,197,184
"341",184,199,200
"342",198,200,201
"343",180,183,199
"344",184,200,198
"345",183,202,199
"346",202,148,201
"347",201,148,208
"348",198,201,206
"349",199,202,200
"350",148,202,183
"351",314,262,313
"352",248,270,238
"353",208,212,206
"354",35,210,36
"355",338,318,319
"356",203,211,212
"357",206,201,208
"358",207,206,204
"359",204,35,207
"360",34,207,35
"361",314,208,148
"362",208,205,212
"363",316,209,133
"364",194,209,193
"365",204,211,210
"366",217,214,211
"367",212,211,204
"368",203,217,211
"369",206,212,204
"370",203,212,205
"371",213,218,224
"372",215,216,37
"373",211,214,210
"374",215,214,213
"375",216,215,213
"376",36,215,37
"377",217,218,213
"378",225,229,221
"379",218,217,203
"380",214,217,213
"381",246,231,240
"382",29,234,235
"383",240,224,218
"384",220,219,216
"385",310,38,221
"386",216,223,220
"387",229,230,221
"388",228,237,226
"389",220,225,221
"390",216,213,224
"391",223,222,225
"392",222,223,224
"393",224,223,216
"394",228,225,222
"395",221,230,39
"396",240,231,237
"397",25,239,242
"398",229,228,232
"399",233,235,232
"400",243,240,237
"401",232,228,226
"402",228,229,225
"403",229,227,230
"404",227,234,230
"405",234,40,236
"406",203,262,311
"407",250,266,23
"408",232,226,233
"409",229,232,227
"410",242,226,238
"411",239,27,233
"412",235,234,227
"413",40,234,29
"414",235,227,232
"415",29,235,27
"416",243,228,222
"417",234,236,230
"418",238,226,241
"419",237,241,226
"420",237,231,336
"421",224,240,222
"422",242,239,233
"423",311,244,312
"424",247,254,231
"425",248,250,270
"426",226,242,233
"427",242,238,270
"428",228,243,237
"429",222,240,243
"430",259,262,319
"431",231,246,247
"432",251,241,336
"433",252,258,264
"434",312,240,218
"435",247,246,244
"436",247,259,257
"437",251,245,248
"438",251,336,249
"439",250,248,245
"440",254,247,256
"441",255,101,265
"442",266,250,245
"443",242,270,25
"444",241,251,248
"445",324,249,252
"446",272,261,265
"447",261,272,281
"448",259,244,262
"449",260,253,263
"450",256,257,255
"451",336,254,249
"452",265,261,264
"453",258,249,254
"454",257,256,247
"455",256,255,258
"456",259,247,244
"457",257,253,260
"458",264,258,255
"459",252,249,258
"460",244,311,262
"461",253,257,259
"462",338,315,316
"463",255,260,101
"464",268,269,272
"465",89,273,269
"466",203,313,262
"467",314,313,205
"468",263,317,102
"469",101,260,263
"470",265,264,255
"471",252,264,261
"472",101,268,265
"473",130,269,268
"474",323,252,287
"475",23,266,321
"476",320,268,101
"477",250,23,267
"478",130,146,269
"479",274,271,273
"480",272,265,268
"481",250,267,270
"482",25,270,267
"483",277,278,276
"484",277,275,271
"485",275,269,273
"486",275,272,269
"487",274,273,89
"488",275,273,271
"489",92,274,89
"490",93,90,322
"491",277,271,278
"492",281,277,282
"493",276,290,283
"494",291,293,279
"495",278,271,87
"496",276,282,277
"497",87,280,278
"498",280,284,278
"499",279,282,283
"500",261,279,293
"501",280,87,114
"502",284,280,124
"503",277,281,275
"504",261,281,279
"505",283,282,276
"506",281,282,279
"507",286,297,290
"508",326,21,321
"509",286,284,124
"510",278,284,276
"511",124,288,286
"512",304,298,299
"513",125,295,124
"514",285,297,286
"515",287,291,292
"516",245,323,266
"517",329,296,301
"518",286,288,307
"519",298,289,297
"520",328,327,19
"521",286,290,284
"522",283,290,289
"523",292,291,283
"524",293,291,287
"525",330,283,289
"526",328,21,326
"527",287,252,293
"528",261,293,252
"529",292,294,325
"530",294,292,327
"531",301,295,118
"532",124,295,288
"533",10,309,9
"534",11,331,10
"535",298,297,285
"536",290,297,289
"537",299,298,285
"538",292,283,330
"539",306,307,302
"540",304,299,15
"541",305,298,304
"542",300,305,337
"543",329,301,118
"544",301,296,308
"545",308,309,302
"546",15,303,13
"547",306,303,299
"548",333,303,302
"549",15,17,304
"550",304,17,305
"551",337,305,17
"552",298,305,300
"553",307,306,285
"554",303,306,302
"555",286,307,285
"556",301,308,288
"557",309,308,296
"558",302,307,308
"559",9,309,296
"560",10,331,334
"561",312,244,246
"562",221,39,310
"563",203,311,218
"564",240,312,246
"565",218,311,312
"566",203,205,313
"567",205,208,314
"568",148,315,314
"569",319,262,338
"570",195,315,148
"571",209,316,193
"572",133,317,316
"573",316,317,318
"574",102,317,133
"575",318,317,263
"576",263,253,318
"577",319,318,253
"578",259,319,253
"579",338,262,314
"580",320,102,136
"581",101,263,320
"582",271,322,87
"583",326,321,266
"584",93,322,274
"585",324,323,245
"586",325,323,287
"587",251,324,245
"588",252,323,324
"589",292,325,287
"590",325,294,326
"591",326,266,323
"592",328,326,294
"593",292,300,327
"594",337,327,300
"595",123,329,118
"596",327,328,294
"597",9,329,8
"598",289,300,330
"599",292,330,300
"600",333,13,303
"601",309,334,302
"602",331,11,332
"603",334,333,302
"604",13,333,331
"605",10,334,309
"606",333,334,331
"607",119,335,6
"608",68,335,66
"609",237,336,241
"610",254,336,231
"611",17,19,337
"612",327,337,19
"613",315,338,314
"614",318,338,316
