"","V1","V2","V3"
"1",123,124,112
"2",161,80,79
"3",172,107,109
"4",160,161,78
"5",84,110,173
"6",102,101,110
"7",108,123,97
"8",102,110,83
"9",112,98,111
"10",97,107,108
"11",162,160,77
"12",165,133,163
"13",50,189,191
"14",145,49,48
"15",99,160,87
"16",145,48,122
"17",50,183,189
"18",181,176,179
"19",167,133,165
"20",176,177,179
"21",160,99,161
"22",2,1,103
"23",134,124,44
"24",103,126,2
"25",114,174,126
"26",111,113,173
"27",174,114,104
"28",114,103,98
"29",116,117,104
"30",105,6,5
"31",105,117,6
"32",42,41,135
"33",100,88,106
"34",130,106,88
"35",121,12,120
"36",131,127,135
"37",10,100,118
"38",120,118,106
"39",142,143,154
"40",120,106,121
"41",151,132,149
"42",121,140,142
"43",40,135,41
"44",199,212,196
"45",221,218,219
"46",229,217,227
"47",204,202,192
"48",53,212,199
"49",238,206,207
"50",201,54,53
"51",233,239,231
"52",230,235,228
"53",65,64,156
"54",91,156,92
"55",92,156,63
"56",63,62,92
"57",93,59,58
"58",230,228,232
"59",92,157,93
"60",59,93,157
"61",59,157,60
"62",67,66,91
"63",148,184,153
"64",254,250,194
"65",258,260,267
"66",16,222,225
"67",184,187,153
"68",195,222,16
"69",248,249,251
"70",17,225,250
"71",90,96,245
"72",31,94,263
"73",143,155,154
"74",28,27,158
"75",158,95,94
"76",95,158,26
"77",95,26,25
"78",22,21,96
"79",246,245,20
"80",95,159,96
"81",22,96,159
"82",22,159,23
"83",30,29,94
"84",52,193,196
"85",47,122,48
"86",123,122,46
"87",131,136,137
"88",100,10,9
"89",230,242,235
"90",67,91,68
"91",245,246,244
"92",30,94,31
"93",156,66,65
"94",239,232,228
"95",157,62,61
"96",91,92,89
"97",234,58,57
"98",92,93,89
"99",158,29,28
"100",94,90,263
"101",159,25,24
"102",94,95,90
"103",20,96,21
"104",95,96,90
"105",83,82,102
"106",109,81,172
"107",173,113,86
"108",134,127,128
"109",99,108,107
"110",108,99,87
"111",116,129,8
"112",116,8,7
"113",101,112,111
"114",112,101,97
"115",109,82,81
"116",101,102,97
"117",113,1,86
"118",114,98,125
"119",125,104,114
"120",100,115,88
"121",174,5,4
"122",104,115,116
"123",131,130,88
"124",12,11,120
"125",97,102,107
"126",109,107,102
"127",122,108,87
"128",108,122,123
"129",82,109,102
"130",172,81,80
"131",110,101,173
"132",83,110,84
"133",98,103,111
"134",113,111,103
"135",123,112,97
"136",45,124,123
"137",1,113,103
"138",173,86,85
"139",174,104,105
"140",174,3,126
"141",9,129,100
"142",104,125,128
"143",117,116,7
"144",129,115,100
"145",6,117,7
"146",104,117,105
"147",10,118,11
"148",100,106,118
"149",137,39,138
"150",141,137,138
"151",118,120,11
"152",106,130,121
"153",140,121,119
"154",121,142,144
"155",160,163,87
"156",46,122,47
"157",46,45,123
"158",45,44,124
"159",134,44,43
"160",98,112,124
"161",98,124,125
"162",134,42,127
"163",2,126,3
"164",103,114,126
"165",88,115,127
"166",104,128,115
"167",134,125,124
"168",115,128,127
"169",8,129,9
"170",115,129,116
"171",88,127,131
"172",121,130,119
"173",131,135,136
"174",119,130,131
"175",141,132,140
"176",148,149,150
"177",163,160,162
"178",162,76,166
"179",42,134,43
"180",125,134,128
"181",135,127,42
"182",136,135,40
"183",40,39,136
"184",137,136,39
"185",138,39,38
"186",131,137,119
"187",139,138,38
"188",141,139,132
"189",38,147,139
"190",139,147,149
"191",140,119,141
"192",142,140,132
"193",137,141,119
"194",139,141,138
"195",142,132,143
"196",142,13,144
"197",132,139,149
"198",153,155,151
"199",13,12,144
"200",121,144,12
"201",146,122,87
"202",49,145,133
"203",133,145,146
"204",122,146,145
"205",38,37,147
"206",147,150,149
"207",36,188,185
"208",154,155,14
"209",150,147,37
"210",149,148,151
"211",37,152,150
"212",150,152,185
"213",151,148,153
"214",132,151,143
"215",37,36,152
"216",152,36,185
"217",184,185,175
"218",155,15,14
"219",14,13,154
"220",142,154,13
"221",151,155,143
"222",15,155,153
"223",156,91,66
"224",63,156,64
"225",62,157,92
"226",60,157,61
"227",158,94,29
"228",26,158,27
"229",25,159,95
"230",23,159,24
"231",78,77,160
"232",162,77,168
"233",161,99,172
"234",78,161,79
"235",166,169,170
"236",163,133,146
"237",87,163,146
"238",165,163,166
"239",170,164,166
"240",133,167,183
"241",166,163,162
"242",167,165,164
"243",169,166,76
"244",164,165,166
"245",177,190,164
"246",167,189,183
"247",77,76,168
"248",76,162,168
"249",76,75,169
"250",169,75,170
"251",74,171,75
"252",171,170,75
"253",180,179,177
"254",176,190,177
"255",161,172,80
"256",107,172,99
"257",173,85,84
"258",111,173,101
"259",5,174,105
"260",174,4,3
"261",256,223,224
"262",15,153,187
"263",177,164,170
"264",213,180,182
"265",170,171,177
"266",180,171,74
"267",198,214,204
"268",181,193,191
"269",180,177,171
"270",181,179,178
"271",182,180,74
"272",179,180,178
"273",197,196,181
"274",181,196,193
"275",74,73,182
"276",73,198,213
"277",50,49,183
"278",133,183,49
"279",150,185,148
"280",175,186,187
"281",36,35,188
"282",148,185,184
"283",223,222,186
"284",195,186,222
"285",175,187,184
"286",15,187,186
"287",226,188,35
"288",175,185,188
"289",190,167,164
"290",191,189,176
"291",176,189,190
"292",167,190,189
"293",181,191,176
"294",50,191,51
"295",197,178,198
"296",209,218,208
"297",52,51,193
"298",191,193,51
"299",175,224,223
"300",249,255,257
"301",16,15,195
"302",15,186,195
"303",197,181,178
"304",196,192,199
"305",180,213,178
"306",192,196,197
"307",214,198,73
"308",192,197,215
"309",202,199,192
"310",53,199,201
"311",209,71,211
"312",54,201,203
"313",202,201,199
"314",201,202,203
"315",215,204,192
"316",202,200,203
"317",221,207,203
"318",55,54,206
"319",204,210,209
"320",200,202,208
"321",219,217,205
"322",236,235,56
"323",54,203,206
"324",207,206,203
"325",221,203,200
"326",237,238,205
"327",202,204,208
"328",209,208,204
"329",210,204,72
"330",71,216,211
"331",72,71,210
"332",71,209,210
"333",216,220,211
"334",208,218,200
"335",53,52,212
"336",52,196,212
"337",73,213,182
"338",198,178,213
"339",73,72,214
"340",204,214,72
"341",197,198,215
"342",204,215,198
"343",71,70,216
"344",220,216,70
"345",227,217,220
"346",69,231,229
"347",209,211,218
"348",219,218,211
"349",219,211,220
"350",205,207,221
"351",227,220,70
"352",219,220,217
"353",218,221,200
"354",205,221,219
"355",223,186,175
"356",225,222,194
"357",188,226,175
"358",194,222,223
"359",241,224,226
"360",252,258,257
"361",250,249,262
"362",16,225,17
"363",241,226,35
"364",175,226,224
"365",70,69,227
"366",228,237,240
"367",93,230,89
"368",229,240,217
"369",227,69,229
"370",231,69,68
"371",93,234,230
"372",230,234,242
"373",91,233,68
"374",232,233,89
"375",228,229,239
"376",89,230,232
"377",68,233,231
"378",91,89,233
"379",58,234,93
"380",242,234,57
"381",236,56,55
"382",240,205,217
"383",238,236,55
"384",236,238,237
"385",228,235,237
"386",236,237,235
"387",206,238,55
"388",205,238,207
"389",231,239,229
"390",232,239,233
"391",228,240,229
"392",205,240,237
"393",35,34,241
"394",34,259,253
"395",57,56,242
"396",235,242,56
"397",261,266,267
"398",251,243,266
"399",247,244,246
"400",266,261,264
"401",20,245,96
"402",264,245,244
"403",20,19,246
"404",247,246,19
"405",248,247,19
"406",247,251,266
"407",19,18,248
"408",248,18,249
"409",262,17,250
"410",241,253,224
"411",225,194,250
"412",253,254,256
"413",248,251,247
"414",257,251,249
"415",255,250,254
"416",258,259,33
"417",34,253,241
"418",254,253,252
"419",254,252,255
"420",256,254,194
"421",257,255,252
"422",250,255,249
"423",223,256,194
"424",253,256,224
"425",252,259,258
"426",257,243,251
"427",260,258,33
"428",257,258,267
"429",253,259,252
"430",33,259,34
"431",33,32,260
"432",260,32,261
"433",261,265,263
"434",263,90,264
"435",249,18,262
"436",17,262,18
"437",90,245,264
"438",261,32,265
"439",244,247,266
"440",261,263,264
"441",32,31,265
"442",31,263,265
"443",266,243,267
"444",244,266,264
"445",267,243,257
"446",260,261,267
