"","x"
"1",3.70451351334786e-05
"2",3.58940356969755e-05
"3",1.97302718830236e-06
"4",7.48908259204739e-08
"5",3.13550336891107e-05
"6",5.37192261943753e-05
"7",6.13821953700602e-05
"8",0.000109103910819282
"9",1.79489415193944e-05
"10",5.18646194397768e-06
"11",5.59905463118403e-06
"12",5.60973466924666e-06
"13",8.39609682402322e-06
"14",1.91689310836478e-05
"15",2.39612187607102e-05
"16",1.74957305902158e-05
"17",7.7821274053618e-07
"18",1.99677542982197e-06
"19",4.73732768680275e-06
"20",1.78865696502418e-05
"21",6.10461249665075e-06
"22",4.83618482145287e-06
"23",1.41060789357945e-05
"24",1.05309436130695e-06
"25",8.52589853377213e-06
"26",2.03841500121264e-05
"27",1.28272367794832e-05
"28",2.66728853057341e-05
"29",1.42739809921448e-05
"30",3.67950460129808e-05
"31",5.0706346570041e-05
"32",2.43490959778501e-05
"33",5.30145508570996e-06
"34",2.11546015614047e-06
"35",3.12748336828777e-07
"36",3.1912757578884e-07
"37",6.15857439626473e-05
"38",5.32416311959815e-05
"39",5.69883808613349e-05
"40",5.03365916359243e-05
"41",4.25069577529534e-05
"42",5.04062596120201e-05
"43",3.21015600998495e-05
"44",8.18257896195085e-05
"45",5.53402276533954e-05
"46",3.41755828052685e-05
"47",7.44696626664821e-06
"48",2.60958579769221e-05
"49",2.96846627498303e-05
"50",0.000669887517981686
"51",0.000859325470728572
"52",0.000292206983788789
"53",0.00034733567599546
"54",0.000188205340866399
"55",6.9362970314171e-05
"56",9.66699792272345e-05
"57",7.10705542831896e-05
"58",6.36858658864135e-05
"59",0.00010659593927646
"60",0.000141971426407149
"61",0.000571154879620619
"62",0.00152400955602488
"63",0.0022979074471905
"64",0.00076271174933028
"65",0.000436202421983335
"66",0.00143186713971842
"67",0.00143226035875611
"68",0.00174725817387639
"69",0.00125449882204287
"70",0.00114765230298933
"71",0.00142568166040712
"72",0.00315459568972838
"73",0.0034199962854025
"74",0.00302089958510882
"75",0.00245756467562611
"76",0.00259688604319337
"77",0.00259082572886046
"78",0.00130340298319435
"79",0.00140719853094656
"80",0.0015587315301604
"81",0.000780754599083541
"82",0.000926197286429619
"83",0.000798572142991692
"84",0.000440745134965643
"85",0.000520509195234299
"86",0.000221379548142324
"87",1.3250987466796e-05
"88",2.56333268644318e-06
"89",1.00221153394035e-05
"90",0.000175334092020285
"91",0.00015772328466977
"92",0.000102215411644342
"93",5.63916372961105e-05
"94",6.14132310204593e-05
"95",2.35797028836419e-05
"96",3.91766279179019e-05
"97",5.95266275066691e-05
"98",9.19406263956247e-05
"99",6.31066980779711e-05
"100",0.000136849789891745
"101",5.13051914082626e-05
"102",1.10248727105436e-05
"103",2.31257518175926e-05
"104",2.17913996703256e-05
"105",3.55929892270264e-05
"106",0.000634225898245116
"107",0.00112919894214671
"108",0.00117992066801066
"109",0.0018797874739377
"110",0.000511089949332959
"111",0.000320506458908962
"112",0.00016562053880834
"113",1.60755679621301e-05
"114",6.38771232524686e-05
"115",0.000141362865875792
"116",0.00015514181022387
"117",0.000205733607948387
"118",0.00017252559203366
"119",3.67211982849844e-06
"120",2.85079662951468e-05
"121",0.000141747526113959
"122",0.00117544177349991
"123",6.81027117202834e-06
"124",2.77947509027848e-05
"125",0.00020798136568653
"126",0.00273213774728199
"127",0.00208632013904012
"128",5.4552656149117e-05
"129",1.15101371561464e-05
"130",7.62593948198224e-06
"131",3.42268808811756e-05
"132",2.1980429955251e-05
"133",4.41498604551678e-05
"134",6.66066517307375e-05
"135",2.34912413119869e-05
"136",4.94545583260633e-05
"137",0.000792421855040011
"138",5.72200753686082e-05
"139",2.27700963999284e-05
"140",0.00112784705802845
"141",0.00140041689474612
"142",0.000171153910142125
"143",4.76560287532409e-05
"144",4.10646779679753e-05
"145",0.00282607669678378
"146",4.55510691424962e-05
"147",3.51044507030109e-05
"148",4.17089015603968e-05
"149",7.07699821370752e-06
"150",0.00105101025588596
"151",7.85804245888567e-05
"152",4.94465428077559e-05
"153",0.00138271677452974
"154",4.07477747490081e-05
"155",3.10852377676144e-05
"156",1.77611586461327e-05
"157",6.70562219117305e-05
"158",0.000515062202151946
"159",0.00158597122592692
"160",2.71615506749421e-05
"161",8.56339909316819e-05
"162",0.000646930353582419
"163",0.00135745260156337
"164",0.000115873147817442
"165",1.9747942673212e-05
"166",0.000491299781413046
"167",0.000552043821242243
"168",0.000688575982742227
"169",1.38130747271282e-07
"170",1.65895347338887e-05
"171",8.97231050960193e-05
"172",0.000116938606306818
"173",0.00187700063948168
"174",0.000117918399036873
"175",3.53721417527459e-06
"176",6.08970230889354e-05
"177",1.88868058915385e-05
"178",0.00293257722543303
"179",1.81410598884241e-05
"180",5.03075784978644e-06
"181",3.15097911513995e-06
"182",0.000164043669482001
"183",0.00067994813290109
"184",2.33177559282376e-05
"185",4.451893650296e-05
"186",5.24505586399725e-05
"187",9.23804583748265e-05
"188",7.7219817903841e-05
"189",7.79586380255887e-05
"190",0.000101241519052045
"191",3.99652110087672e-05
"192",6.66006158784803e-05
"193",5.10521728744251e-05
"194",0.00166903252443688
"195",0.000566362218676735
"196",0.00082360154202556
"197",1.79169199225248e-07
"198",2.86118977869911e-05
"199",0.00016416003150054
"200",0.000133909554793192
"201",5.97674088600027e-05
"202",4.13639511234106e-05
"203",2.37728566699144e-05
"204",1.64200340362226e-05
"205",4.06175078186024e-05
"206",0.00219308800206611
"207",2.66928026885891e-05
"208",2.15811566974909e-05
"209",1.05792560522822e-05
"210",8.15499404667698e-06
"211",1.48749530097905e-05
"212",0.00102166768490041
"213",0.00105031612089521
"214",0.000828178449128516
"215",3.42297139890331e-05
"216",4.86219863591397e-05
"217",3.96523856264246e-05
"218",4.3712970830736e-05
"219",3.33460322976757e-05
"220",3.62041739398781e-05
"221",4.27882316751199e-05
"222",4.20245143267722e-05
"223",3.59087249962023e-05
"224",0.000221840851070398
"225",6.6933501051067e-05
"226",7.98984258125327e-05
"227",1.89218070860641e-05
"228",4.71894275812969e-05
"229",4.74615940507964e-05
"230",8.09353194751164e-05
"231",0.00139522414108709
"232",0.000462295065248921
"233",0.00092581168553841
"234",1.97675466503287e-05
"235",1.35699775123197e-05
"236",2.5793659771584e-05
"237",7.46690096732875e-06
"238",0.000154021567723871
"239",0.000114093837609033
"240",1.97634804264143e-05
"241",2.27852903694536e-05
"242",3.67202003325741e-06
"243",2.77837707372622e-05
"244",2.26301430046812e-06
"245",0.00106889650339853
"246",0.000602952604014735
"247",0.000670517720831789
"248",1.91817007447366e-05
"249",3.58523156047978e-05
"250",0.000116678149832268
"251",0.00013139667845433
"252",6.99796015502382e-05
"253",1.99272309344799e-05
"254",1.40645645734623e-05
"255",0.000375563221891905
"256",0.00126696267997976
"257",2.86101687272581e-05
"258",4.61868504779413e-05
"259",3.24844984174398e-05
"260",1.68504102814126e-05
"261",5.12049853462402e-05
"262",3.7606619605255e-06
"263",1.50107727247682e-05
"264",4.33300940382825e-05
"265",0.000200529762417547
