"","V1","V2","V3"
"1",44,128,43
"2",349,45,347
"3",46,47,256
"4",348,353,346
"5",256,47,48
"6",263,260,39
"7",42,128,41
"8",296,188,34
"9",40,128,159
"10",188,261,745
"11",31,32,134
"12",128,40,41
"13",259,134,258
"14",258,133,30
"15",388,391,392
"16",191,374,376
"17",124,28,703
"18",132,55,56
"19",56,183,184
"20",190,129,285
"21",285,172,190
"22",124,27,28
"23",27,124,26
"24",133,361,30
"25",214,307,227
"26",174,25,26
"27",174,26,614
"28",320,319,250
"29",426,424,425
"30",125,61,203
"31",59,60,125
"32",360,50,358
"33",33,168,32
"34",289,38,188
"35",188,168,34
"36",366,255,272
"37",745,32,168
"38",15,16,178
"39",155,274,367
"40",13,14,274
"41",199,179,16
"42",367,275,306
"43",178,368,15
"44",20,135,19
"45",154,366,272
"46",130,22,23
"47",11,156,10
"48",210,212,226
"49",10,156,9
"50",19,135,221
"51",25,226,24
"52",9,156,8
"53",7,131,6
"54",549,548,5
"55",131,5,6
"56",266,549,131
"57",1,2,601
"58",546,152,547
"59",151,131,7
"60",2,365,598
"61",744,67,68
"62",140,69,70
"63",75,76,127
"64",77,127,76
"65",59,157,58
"66",571,679,139
"67",61,125,60
"68",139,681,682
"69",140,70,465
"70",141,175,177
"71",122,140,682
"72",89,307,144
"73",73,126,72
"74",77,78,127
"75",150,80,126
"76",126,80,287
"77",81,82,288
"78",127,78,79
"79",186,161,163
"80",82,83,136
"81",141,87,123
"82",83,264,136
"83",87,88,123
"84",123,88,89
"85",264,85,136
"86",192,136,86
"87",136,173,286
"88",138,90,227
"89",91,92,121
"90",118,768,117
"91",303,427,103
"92",408,555,557
"93",105,393,104
"94",92,165,164
"95",165,281,164
"96",115,116,185
"97",268,271,152
"98",185,117,158
"99",771,773,770
"100",393,394,401
"101",117,768,712
"102",117,185,116
"103",207,580,298
"104",90,91,121
"105",137,96,743
"106",95,137,94
"107",137,743,94
"108",98,100,149
"109",99,100,98
"110",149,97,98
"111",102,103,101
"112",206,298,189
"113",189,110,111
"114",246,189,235
"115",110,246,224
"116",750,627,749
"117",137,95,96
"118",58,157,57
"119",277,165,93
"120",467,322,572
"121",744,66,67
"122",69,160,68
"123",167,166,747
"124",86,87,141
"125",28,257,542
"126",124,614,26
"127",371,373,285
"128",183,57,157
"129",73,74,126
"130",127,74,75
"131",150,127,79
"132",74,127,126
