"","V1","V2","V3"
"1",22,164,166
"2",164,165,166
"3",164,24,165
"4",166,165,23
"5",25,167,169
"6",167,168,169
"7",167,27,168
"8",169,168,26
"9",28,170,172
"10",170,171,172
"11",170,29,171
"12",172,171,22
"13",26,173,175
"14",173,174,175
"15",173,31,174
"16",175,174,30
"17",25,169,177
"18",169,176,177
"19",169,26,176
"20",177,176,32
"21",23,165,179
"22",165,178,179
"23",165,24,178
"24",179,178,33
"25",34,180,182
"26",180,181,182
"27",180,36,181
"28",182,181,35
"29",37,183,185
"30",183,184,185
"31",183,38,184
"32",185,184,10
"33",18,186,188
"34",186,187,188
"35",186,40,187
"36",188,187,39
"37",41,189,191
"38",189,190,191
"39",189,28,190
"40",191,190,23
"41",42,192,194
"42",192,193,194
"43",192,44,193
"44",194,193,43
"45",45,195,197
"46",195,196,197
"47",195,47,196
"48",197,196,46
"49",48,198,200
"50",198,199,200
"51",198,49,199
"52",200,199,25
"53",35,181,202
"54",181,201,202
"55",181,36,201
"56",202,201,50
"57",43,193,204
"58",193,203,204
"59",193,44,203
"60",204,203,51
"61",52,205,207
"62",205,206,207
"63",205,54,206
"64",207,206,53
"65",53,206,209
"66",206,208,209
"67",206,54,208
"68",209,208,55
"69",56,210,212
"70",210,211,212
"71",210,57,211
"72",212,211,27
"73",56,212,214
"74",212,213,214
"75",212,27,213
"76",214,213,58
"77",59,215,217
"78",215,216,217
"79",215,61,216
"80",217,216,60
"81",29,218,220
"82",218,219,220
"83",218,63,219
"84",220,219,62
"85",64,221,222
"86",221,211,222
"87",221,27,211
"88",222,211,57
"89",65,223,225
"90",223,224,225
"91",223,66,224
"92",225,224,60
"93",62,219,227
"94",219,226,227
"95",219,63,226
"96",227,226,67
"97",68,228,230
"98",228,229,230
"99",228,70,229
"100",230,229,69
"101",71,231,233
"102",231,232,233
"103",231,73,232
"104",233,232,72
"105",38,234,236
"106",234,235,236
"107",234,74,235
"108",236,235,12
"109",75,237,239
"110",237,238,239
"111",237,76,238
"112",239,238,37
"113",77,240,242
"114",240,241,242
"115",240,79,241
"116",242,241,78
"117",80,243,245
"118",243,244,245
"119",243,82,244
"120",245,244,81
"121",83,246,248
"122",246,247,248
"123",246,85,247
"124",248,247,84
"125",86,249,251
"126",249,250,251
"127",249,87,250
"128",251,250,69
"129",88,252,254
"130",252,253,254
"131",252,89,253
"132",254,253,87
"133",67,226,256
"134",226,255,256
"135",226,63,255
"136",256,255,68
"137",38,183,258
"138",183,257,258
"139",183,37,257
"140",258,257,66
"141",66,257,224
"142",257,259,224
"143",257,37,259
"144",224,259,60
"145",87,253,250
"146",253,260,250
"147",253,89,260
"148",250,260,69
"149",68,230,262
"150",230,261,262
"151",230,69,261
"152",262,261,47
"153",26,175,176
"154",175,263,176
"155",175,30,263
"156",176,263,32
"157",90,264,266
"158",264,265,266
"159",264,91,265
"160",266,265,45
"161",37,238,259
"162",238,267,259
"163",238,76,267
"164",259,267,60
"165",24,268,270
"166",268,269,270
"167",268,40,269
"168",270,269,20
"169",92,271,272
"170",271,207,272
"171",271,52,207
"172",272,207,53
"173",92,272,274
"174",272,273,274
"175",272,53,273
"176",274,273,93
"177",94,275,277
"178",275,276,277
"179",275,96,276
"180",277,276,95
"181",97,278,280
"182",278,279,280
"183",278,98,279
"184",280,279,46
"185",94,277,282
"186",277,281,282
"187",277,95,281
"188",282,281,99
"189",43,283,194
"190",283,284,194
"191",283,100,284
"192",194,284,42
"193",97,280,285
"194",280,196,285
"195",280,46,196
"196",285,196,47
"197",100,286,288
"198",286,287,288
"199",286,97,287
"200",288,287,89
"201",18,289,291
"202",289,290,291
"203",289,101,290
"204",291,290,99
"205",18,291,292
"206",291,281,292
"207",291,99,281
"208",292,281,95
"209",36,293,294
"210",293,274,294
"211",293,92,274
"212",294,274,93
"213",25,199,296
"214",199,295,296
"215",199,49,295
"216",296,295,102
"217",79,297,299
"218",297,298,299
"219",297,86,298
"220",299,298,103
"221",75,300,237
"222",300,301,237
"223",300,8,301
"224",237,301,76
"225",104,302,303
"226",302,279,303
"227",302,46,279
"228",303,279,98
"229",1,304,21
"230",304,270,21
"231",304,24,270
"232",21,270,20
"233",105,305,306
"234",305,174,306
"235",305,30,174
"236",306,174,31
"237",76,301,307
"238",301,7,307
"239",301,8,7
"240",307,7,6
"241",64,308,309
"242",308,173,309
"243",308,31,173
"244",309,173,26
"245",73,310,232
"246",310,311,232
"247",310,106,311
"248",232,311,72
"249",43,204,313
"250",204,312,313
"251",204,51,312
"252",313,312,107
"253",90,314,264
"254",314,315,264
"255",314,67,315
"256",264,315,91
"257",64,309,221
"258",309,168,221
"259",309,26,168
"260",221,168,27
"261",2,316,317
"262",316,308,317
