"","x"
"1",0.00630746887537828
"2",4.67307939409046e-09
"3",6.36268405112794e-08
"4",6.16069239004347e-07
"5",3.54852572368562e-06
"6",1.06915655234643e-05
"7",1.58746209984245e-05
"8",1.30546302339797e-05
"9",1.70384076393375e-05
"10",7.22904552584778e-05
"11",0.000314608071351154
"12",0.00109676235175686
"13",0.00353182153350298
"14",0.0170313383632334
"15",0.0882442272403093
"16",0.24004278875353
"17",0.281099246103619
"18",0.143484487611434
"19",0.0350102432907034
"20",0.00492831301878062
"21",0.00183408259237201
"22",0.182835947979101
"23",0.219251774261631
"24",0.0320995116007814
"25",2.74340150827577e-07
"26",1.98757221632418e-09
"27",8.72955213057608e-11
"28",0.240409428885758
"29",0.317698729172248
"30",2.01170027355071e-09
"31",2.47042970223248e-10
"32",1.13842937174446e-06
"33",0.0485033999440121
"34",7.06111259957885e-12
"35",4.06867029619541e-11
"36",1.48098219465241e-10
"37",2.53978578592966e-07
"38",3.93293016119472e-05
"39",0.420368574932933
"40",0.138534872621401
"41",0.501853287555032
"42",0.168031149023436
"43",0.00337147371336503
"44",0.0380998808363972
"45",0.0140750161288627
"46",8.63187567375298e-05
"47",0.00282986864416104
"48",8.41538319453023e-05
"49",0.000155201730893913
"50",4.49876658508729e-08
"51",0.000680376990233869
"52",3.37678059387711e-08
"53",8.91361964021239e-09
"54",7.06437373434183e-06
"55",1.18624139247108e-06
"56",1.71257507058681e-11
"57",1.09803968013388e-12
"58",6.84482805672011e-09
"59",6.27193987096161e-11
"60",6.25981176320056e-10
"61",1.19616270968148e-12
"62",0.145118237210763
"63",0.233983452635406
"64",1.27826691356913e-11
"65",4.11631993548183e-08
"66",9.9310433340362e-07
"67",0.555757533245604
"68",0.0770461841428107
"69",0.0343528805094515
"70",0.130478083711121
"71",2.8403577436095e-09
"72",3.51192196576008e-10
"73",2.92849948546168e-07
"74",0.00199092500614723
"75",9.7731568480647e-07
"76",2.4332623662006e-08
"77",0.440650869821317
"78",0.48629489196907
"79",0.424681780227816
"80",0.000411874018585919
"81",0.00613110444962195
"82",1.88751688951306e-05
"83",0.00856175969835117
"84",0.000144299531284088
"85",0.000148612569233109
"86",0.257487727832544
"87",0.282851638591316
"88",0.549518574856987
"89",0.0740388180716202
"90",0.572707182973464
"91",0.136465517125635
"92",1.00226762121797e-10
"93",5.30873993768088e-10
"94",2.30436830766674e-05
"95",0.000482026386256996
"96",1.84137078630833e-05
"97",0.000386971246977533
"98",6.2321238651533e-07
"99",0.012022805811047
"100",0.00485476939536176
"101",0.114894119750278
"102",8.49513618283321e-07
"103",0.277499684532646
"104",6.93134987307705e-05
"105",1.99415288757126e-07
"106",2.04694164679663e-09
"107",4.10746303956e-05
"108",1.47686698687209e-08
"109",1.41273005511462e-09
"110",0.0144661127429906
"111",7.5587989692459e-05
"112",1.77475121236315e-07
"113",2.3484664163266e-05
"114",0.0195164304656255
"115",0.0197182808649386
"116",0.00584409999333227
"117",7.03391457326522e-08
"118",0.0424219041219395
"119",0.00365761918483716
"120",0.000286285936343819
"121",0.178160337272809
"122",0.00657203694158474
"123",0.00275989684656482
"124",0.000455194830895751
"125",0.26510476440526
"126",0.0941424057163856
"127",0.00208997883041626
"128",3.63443758152105e-05
"129",1.82306125411513e-05
"130",3.42089538261212e-11
"131",0.00051421519880883
"132",0.17311928812031
"133",0.0581792444320965
"134",0.394617463606302
"135",8.94398412574225e-05
"136",0.0601536626721176
"137",0.00075370523691737
"138",0.356034896886776
"139",0.175286701094391
"140",0.0125021012589609
"141",0.252650169182182
"142",0.0200520446421313
"143",0.00831239951448593
"144",0.0714882105168811
"145",0.26636133134963
"146",2.88117602594328e-07
"147",0.251854617057794
"148",0.151866616577842
"149",0.553288078350007
"150",0.00332419742192382
"151",0.397960569835347
"152",0.223918775904066
"153",0.010945428121053
"154",0.0601597210651955
"155",2.58212960905211e-05
"156",0.148762916243876
"157",6.37795861902368e-12
"158",6.08074151585955e-07
"159",1.22180101848122e-05
"160",2.44329869366818e-07
"161",0.649706888499052
"162",7.14998597637742e-13
"163",0.355261489808485
"164",0.0708027109372981
"165",0.0936198513401732
"166",0.12337827470686
"167",4.59384592442532e-09
"168",4.04592396733204e-10
"169",2.59422722082627e-08
"170",0.278133497608646
"171",0.299568220058748
"172",0.182931293933256
"173",1.61098784998689e-10
"174",3.98466332705759e-10
"175",1.68383222145588e-09
"176",4.73282974015608e-08
"177",6.80771416303851e-07
"178",0.0410630573667022
"179",0.13516497648693
"180",1.28314567389604e-11
"181",8.79000965341861e-11
"182",7.10844820971873e-12
"183",2.45825557290928e-06
"184",3.66292255321962e-05
"185",5.00229884812359e-06
"186",0.142842441447241
"187",0.30765905492684
"188",0.305978740601824
"189",0.347920569413885
"190",0.232264406626843
"191",0.382972471988048
"192",0.0924045348915263
"193",0.0136801893451929
"194",0.0321394592122633
"195",0.00631159413031135
"196",0.000534792559126883
"197",0.0013070449707781
"198",0.000136343182493281
"199",8.6130275232672e-06
"200",5.31403046508384e-06
"201",3.2282435901397e-09
"202",1.4211670173644e-09
"203",0.00625639930514884
"204",0.00170659889940334
"205",5.18739558282113e-07
"206",2.66967449712276e-07
"207",1.72968416632007e-08
"208",3.08368396342932e-06
"209",1.06332076226841e-07
"210",1.96501202918501e-12
"211",3.70213678137625e-12
"212",4.00717094550845e-11
"213",8.5181196985247e-10
"214",3.0383578992042e-10
"215",6.17295201684431e-12
"216",2.4662528536937e-11
"217",1.02908698990188e-10
"218",0.26783825169687
"219",0.202269215665983
"220",0.226845613396502
"221",2.59568684505468e-11
"222",3.28668713229058e-12
"223",2.76615201819641e-07
"224",2.19442140316605e-08
"225",4.78588227564191e-09
"226",0.328181201465589
