"","x"
"1",29
"2",60
"3",90
"4",121
"5",151
"6",182
"7",213
"8",274
"9",304
"10",335
"11",366
"12",394
"13",425
"14",455
"15",486
"16",516
"17",547
"18",578
"19",335
"20",639
"21",669
"22",700
"23",731
"24",759
"25",790
"26",820
"27",851
"28",881
"29",912
"30",943
"31",700
"32",1004
"33",1034
"34",1065
"35",1096
"36",1124
"37",1155
"38",1185
"39",1216
"40",1246
"41",1277
"42",1308
"43",1065
"44",1369
"45",1399
"46",1430
"47",1461
"48",1490
"49",1521
"50",1551
"51",1582
"52",1612
"53",1643
"54",1674
"55",1430
"56",1735
"57",1765
"58",1796
"59",1827
"60",1855
"61",1886
"62",1916
"63",1947
"64",1977
"65",2008
"66",2039
"67",1796
"68",2100
"69",2130
"70",2161
"71",2192
"72",2220
"73",2251
"74",2281
"75",2312
"76",2342
"77",2373
"78",2404
"79",2161
"80",2465
"81",2495
"82",2526
"83",2557
"84",2585
"85",2616
"86",2646
"87",2677
"88",2707
"89",2738
"90",2769
"91",2526
"92",2830
"93",2860
"94",2891
"95",2922
"96",2951
"97",2982
"98",3012
"99",3043
"100",3073
"101",3104
"102",3135
"103",2891
"104",3196
"105",3226
"106",3257
"107",3288
"108",3316
"109",3347
"110",3377
"111",3408
"112",3438
"113",3469
"114",3500
"115",3257
"116",3561
"117",3591
"118",3622
"119",3653
"120",3681
"121",3712
"122",3742
"123",3773
"124",3803
"125",3834
"126",3865
"127",3622
"128",3926
"129",3956
"130",3987
"131",4018
"132",4046
"133",4077
"134",4107
"135",4138
"136",4168
"137",4199
"138",4230
"139",3987
"140",4291
"141",4321
"142",4352
"143",4383
"144",4412
"145",4443
"146",4473
"147",4504
"148",4534
"149",4565
"150",4596
"151",4352
"152",4657
"153",4687
"154",4718
"155",4749
"156",4777
"157",4808
"158",4838
"159",4869
"160",4899
"161",4930
"162",4961
"163",4718
"164",5022
"165",5052
"166",5083
"167",5114
"168",5142
"169",5173
"170",5203
"171",5234
"172",5264
"173",5295
"174",5326
"175",5083
"176",5387
"177",5417
"178",5448
"179",5479
"180",5507
"181",5538
"182",5568
"183",5599
"184",5629
"185",5660
"186",5691
"187",5448
"188",5752
"189",5782
"190",5813
"191",5844
"192",5873
"193",5904
"194",5934
"195",5965
"196",5995
"197",6026
"198",6057
"199",5813
"200",6118
"201",6148
"202",6179
"203",6210
"204",6238
"205",6269
"206",6299
"207",6330
"208",6360
"209",6391
"210",6422
"211",6179
"212",6483
"213",6513
"214",6544
"215",6575
"216",6603
"217",6634
"218",6664
"219",6695
"220",6725
"221",6756
"222",6787
"223",6544
"224",6848
"225",6878
"226",6909
"227",6940
"228",6968
"229",6999
"230",7029
"231",7060
"232",7090
"233",7121
"234",7152
"235",6909
"236",7213
"237",7243
"238",7274
"239",7305
"240",7334
"241",7365
"242",7395
"243",7426
"244",7456
"245",7487
"246",7518
"247",7274
"248",7579
"249",7609
"250",7640
"251",7671
"252",7699
"253",7730
"254",7760
"255",7791
"256",7821
"257",7852
"258",7883
"259",7640
"260",7944
"261",7974
"262",8005
"263",8036
"264",8064
"265",8095
"266",8125
"267",8156
"268",8186
"269",8217
"270",8248
"271",8005
"272",8309
"273",8339
"274",8370
"275",8401
"276",8429
"277",8460
"278",8490
"279",8521
"280",8551
"281",8582
"282",8613
