,nit,x_diff,f_diff,p_id,duration_microsec
0,22,5.44959,29.8488,0,407.799
1,30,5.96972,35.8185,1,510.189
2,47,10.8991,119.394,2,547.029
3,83,7.24336,52.7327,3,2338.78
4,33,10.2436,105.465,4,441.657
5,19,8.20458,67.657,5,417.31
6,18,5.35799,28.8538,6,270.75
7,185,8.083,65.667,7,3010.08
8,35,7.03537,49.7478,8,257.71
9,19,6.82105,46.763,9,199.361
10,36,9.11884,83.5762,10,257.931
11,23,6.89321,47.7579,11,212.752
12,437,8.32436,69.6469,12,9640.08
13,18,7.44549,55.7174,13,187.471
14,40,9.49117,90.5408,14,374.71
15,24,8.02154,64.6721,15,221.595
16,27,9.74845,95.5156,16,224.113
17,23,3.97983,15.9194,17,287.219
18,54,10.6231,113.425,18,661.451
19,30,7.44551,55.7175,19,271.149
20,23,5.88623,34.8235,20,342.367
21,500,9.84947,97.5055,21,9315.38
22,19,8.32434,69.6469,22,215.664
23,32,7.51168,56.7124,23,268.983
24,18,4.33692,18.9042,24,180.666
25,33,4.97477,24.874,25,254.099
26,285,7.77083,60.6924,26,4834.18
27,31,6.37076,40.7931,27,223.863
28,18,4.66676,21.8891,28,202.837
29,23,5.88623,34.8235,29,230.751
