,nit,x_diff,f_diff,p_id,duration_microsec
0,30,0.00044645,3.98676e-08,0,11.879
1,500,0.000442758,3.9168e-08,1,354.72
2,500,0.000445157,3.96277e-08,2,336.026
3,500,0.000439732,3.86765e-08,3,345.378
4,500,0.000313824,2.0269e-08,4,323.997
5,35,0.000447068,3.99805e-08,5,10.17
6,500,0.00043104,3.71642e-08,6,337.185
7,28,0.000447249,4.00123e-08,7,8.885
8,500,0.000418187,3.50687e-08,8,345.239
9,500,0.000437531,3.82473e-08,9,336.577
10,500,0.000376412,2.92201e-08,10,323.242
11,500,0.000345145,2.37902e-08,11,341.08
12,500,0.000442219,3.9114e-08,12,337.886
13,39,0.000447114,3.99867e-08,13,11.535
14,30,0.000447552,4.00663e-08,14,9.461
15,35,0.000447091,3.99845e-08,15,10.49
16,500,0.000419039,3.54152e-08,16,340.123
17,30,0.000447092,3.99844e-08,17,9.575
18,31,0.00044737,4.00324e-08,18,9.375
19,33,0.000447875,4.01223e-08,19,10.6
20,34,0.000447421,4.00431e-08,20,10.099
21,500,0.000401379,3.28812e-08,21,346.053
22,32,0.000446522,3.9882e-08,22,9.525
23,22,0.00044741,4.0041e-08,23,6.549
24,500,0.000372107,2.77231e-08,24,347.056
25,35,0.000446935,3.99561e-08,25,10.347
26,500,0.000443557,3.93406e-08,26,338.052
27,500,0.000401864,3.22521e-08,27,411.978
28,500,0.000380917,3.01891e-08,28,344.476
29,500,0.000414123,3.43275e-08,29,343.267
