,nit,x_diff,f_diff,p_id,duration_microsec
0,4,3.13848,0.00971591,0,12.688
1,4,9.41613,0.0781892,1,4.739
2,4,9.41613,0.0781892,2,4.748
3,4,3.13848,0.00971591,3,7.261
4,4,6.27715,0.0372241,4,4.555
5,3,3.13848,0.00971591,5,4.236
6,4,3.13848,0.00971591,6,6.509
7,4,12.5555,0.126991,7,6.611
8,4,3.13848,0.00971591,8,4.312
9,4,6.27715,0.0372241,9,4.289
10,3,9.41613,0.0781892,10,11.579
11,4,9.41613,0.0781892,11,4.46
12,3,1.0271e-06,1.05604e-12,12,5.854
13,4,12.5555,0.126991,13,4.346
14,4,6.27715,0.0372241,14,5.641
15,4,6.27715,0.0372241,15,5.325
16,4,9.41613,0.0781892,16,4.444
17,4,9.41613,0.0781892,17,4.178
18,4,6.27715,0.0372241,18,4.327
19,4,6.27715,0.0372241,19,4.594
20,4,3.13848,0.00971591,20,4.347
21,4,3.13849,0.00971591,21,4.407
22,4,12.5555,0.126991,22,6.453
23,3,12.5555,0.126991,23,3.283
24,3,9.41613,0.0781892,24,3.371
25,5,3.13848,0.00971591,25,5.116
26,4,6.27715,0.0372241,26,5.246
27,5,3.13848,0.00971591,27,9.314
28,4,3.13848,0.00971591,28,7.003
29,3,3.13848,0.00971591,29,3.681
