,nit,x_diff,f_diff,p_id,duration_microsec
0,22,2572.33,9734.31,0,1982.35
1,33,2535.2,9654.11,1,2484.92
2,25,2240.11,9972.26,2,1788.93
3,24,2358.85,10168.5,3,1517.57
4,22,2306.08,9713.9,4,1712.75
5,24,2355.28,10189.4,5,1869.81
6,26,2545.25,10267,6,1586.59
7,23,2368.55,9182.02,7,1121.47
8,23,2494.01,10366.2,8,1586.61
9,25,2337.12,10286.8,9,1998.08
10,29,2426.51,9892.03,10,2250.78
11,25,2330.81,9871.94,11,1880.15
12,22,2283.89,10900.1,12,959.586
13,25,2308.03,10148.8,13,983.973
14,24,2497.84,10385.4,14,1343.2
15,25,2484.28,10188.3,15,1610.97
16,24,2334.68,10228.5,16,1638.03
17,19,2385.56,9772.79,17,747.106
18,25,2157.3,10050.2,18,1111.73
19,29,2222.01,10367,19,1709.75
20,29,2487.07,10425.7,20,1599.99
21,24,2483.04,9694.66,21,1175.74
22,23,2530.87,10405.3,22,1063.03
23,21,2335.79,10010.4,23,1133.54
24,20,2519.47,10682.3,24,1154.49
25,21,2287.21,10682.7,25,850.937
26,24,2335.93,10110,26,1212.34
27,29,2270.69,10524.9,27,1160.18
28,21,2436.95,10583.1,28,902.611
29,21,2316.35,10326,29,898.469
