,nit,x_diff,f_diff,p_id,duration_microsec
0,500,18.119,3207.79,0,644.033
1,500,9.14924e+06,8.37086e+14,1,939.338
2,500,3.5849,12.9583,2,604.444
3,500,1.79665,35.1528,3,555.455
4,500,1.0248,1.32618,4,593.993
5,500,4.15388,17.89,5,586.489
6,500,5.02802,35.7735,6,548.803
7,500,2.77565,8.38995,7,622.304
8,500,4.97475,24.8739,8,608.153
9,500,2.81428,7.95968,9,595.031
10,500,6.47273,423.571,10,601.348
11,500,4.1022,16.9142,11,589.8
12,500,2.37038,9.21859,12,577.618
13,500,0.986468,1.07482,13,585.696
14,500,1.68857,17.581,14,575.397
15,500,4.15922,18.1958,15,588.423
16,500,4.5394e-05,4.08809e-07,16,582.651
17,500,1.98281,4.0003,17,622.28
18,500,3.98522,25.722,18,598.854
19,500,2.75487,8.96202,19,607.674
20,500,30.0098,9025.87,20,619.211
21,500,2.98223,20.5021,21,663.085
22,500,5.80241,33.8333,22,643.641
23,500,2.22486,4.9748,23,641.63
24,500,2.23443,5.00854,24,619.541
25,500,2.23768,5.07723,25,614.484
26,500,3.58729,12.9345,26,637.034
27,500,4.4533,19.9094,27,627.653
28,500,3.2587,28.6094,28,597.298
29,500,2.81422,7.95968,29,589.659
