,nit,x_diff,f_diff,p_id,duration_microsec
0,44,4.18567e+16,3.06944e+68,0,24.203
1,24,1.18376e+27,1.96364e+110,1,14.617
2,21,6.45566e+30,1.73686e+125,2,13.22
3,10,2.25564e+28,2.58868e+115,3,6.218
4,5,5.31691e+40,7.99168e+164,4,3.189
5,18,2.02553e+18,1.68327e+75,5,11.161
6,6,3.11538e+37,9.41983e+151,6,3.805
7,8,4.67307e+37,4.76879e+152,7,4.797
8,24,1.44873e+27,4.40508e+110,8,14.462
9,18,4.48377e+25,4.04178e+104,9,11.973
10,4,3.01031e+21,8.21192e+87,10,2.485
11,7,1.32598e+14,3.09133e+58,11,4.336
12,4,2.63359e+17,4.8105e+71,12,2.511
13,43,3.89422e+36,2.29976e+148,13,25.381
14,120,2.70017e+21,5.31573e+87,14,65.508
15,33,6.38195e+22,1.65888e+93,15,16.906
16,14,5.44563e+21,8.79413e+88,16,7.252
17,49,3.46357e+30,1.43912e+124,17,25.174
18,61,7.89638e+19,3.88787e+81,18,32.433
19,14,3.44108e+16,1.4021e+68,19,7.809
20,53,2.12676e+40,2.04587e+163,20,31.179
21,23,8.762e+36,5.89404e+149,21,13.657
22,65,6.64614e+38,1.95109e+157,22,37.836
23,10,9.38061e+34,7.74328e+141,23,5.982
24,10,5.30561e+19,7.92396e+80,24,6.056
25,25,7.2937e+16,2.83004e+69,25,14.564
26,58,2.33471e+14,2.95507e+59,26,32.315
27,5,1.92023e+23,1.3596e+95,27,3.114
28,44,1.80739e+27,1.06711e+111,28,26.286
29,66,2.69364e+28,5.2645e+115,29,34.998
