,nit,x_diff,f_diff,p_id,duration_microsec
0,9,227138,0.5,0,27.982
1,5,229646,0.5,1,16.823
2,13,5309.66,0.5,2,34.322
3,8,5121.77,0.5,3,18.382
4,8,16587.4,0.5,4,17.086
5,5,1.13073e+06,0.5,5,12.364
6,10,1021.01,0.5,6,19.993
7,9,15346.4,0.5,7,16.002
8,11,1.31225e+06,0.5,8,23.763
9,13,19578.5,0.5,9,30.808
10,5,1.36123e+06,0.5,10,10.942
11,12,1667.97,0.5,11,28.376
12,5,4231.33,0.5,12,8.045
13,7,1929.31,0.5,13,16.235
14,5,32032.4,0.5,14,8.51
15,6,34700.1,0.5,15,7.504
16,10,21053,0.5,16,17.68
17,8,946.873,0.500001,17,15.172
18,10,36595.3,0.5,18,18.819
19,9,3601.55,0.5,19,13.989
20,7,96705.5,0.5,20,15.275
21,11,402.25,0.499982,21,24.227
22,11,4018.99,0.5,22,25.464
23,4,549985,0.5,23,9.58
24,5,15978.4,0.5,24,13.465
25,5,2.55532e+06,0.5,25,9.62
26,9,9035.71,0.5,26,15.888
27,8,5.11231e+06,0.5,27,17.828
28,13,5688.04,0.5,28,22.523
29,6,301818,0.5,29,13.808
