,nit,x_diff,f_diff,p_id,duration_microsec
0,500,2088.62,86091.1,0,40183.6
1,500,2543.78,10412.2,1,66271.4
2,500,1639.46,1976.07,2,45207.7
3,500,2172.36,7961.17,3,51177.6
4,500,2393.06,8748.74,4,55609.5
5,500,2024.08,6638.05,5,40848.8
6,500,2039.78,13099.7,6,63351.7
7,500,1421.68,831.943,7,42039.9
8,500,2339.9,6617.14,8,59366.7
9,500,2541.13,9423.55,9,66221.1
10,500,2625.85,9954.08,10,59151.3
11,500,1748.31,26922.3,11,49514.1
12,500,1749.01,3081.59,12,48789.1
13,500,1748.3,8697.76,13,43129.2
14,500,3.5603e+06,2.53454e+11,14,39398.7
15,500,1813.87,3318.2,15,47992.3
16,500,1568.97,2490.09,16,40956.4
17,500,12080.3,2.69785e+06,17,35809.2
18,500,1316.96,33105.5,18,40809.3
19,500,1828.86,3697.08,19,51058.8
20,500,2247.03,8788.23,20,59118.2
21,500,2518.32,10524.9,21,63246.7
22,500,1749.29,10042.1,22,40148
23,500,1156.88,557.683,23,43637.3
24,500,2428.21,10289.8,24,60670.8
25,500,2449.91,14403.9,25,59669.4
26,500,2035.74,7308.22,26,57231.5
27,500,3819.2,177978,27,34845.6
28,500,2484.15,6083.93,28,49118.6
29,500,2096.71,6735.3,29,58363.2
