,nit,x_diff,f_diff,p_id,duration_microsec
0,37,9.22682,85.5664,0,4381.15
1,39,12.4667,156.208,1,4768.64
2,41,9.89968,98.5009,2,4801.3
3,38,11.5174,133.324,3,4467.56
4,40,10.4824,110.44,4,4901.29
5,37,9.94952,99.4957,5,4585.06
6,38,8.55894,73.627,6,4981.57
7,39,9.54326,91.5361,7,4383.13
8,37,11.7724,139.294,8,4644.27
9,47,10.3398,107.455,9,5186.88
10,40,10.1952,104.471,10,5113.26
11,40,12.2666,151.233,11,4896.1
12,56,11.4744,132.329,12,7355.32
13,47,12.1041,147.254,13,5400.3
14,39,11.1239,124.37,14,4748.95
15,44,15.3493,236.799,15,5353.29
16,38,11.7303,138.299,16,4728.84
17,40,11.7303,138.299,17,4909.81
18,44,15.2198,232.819,18,5158.18
19,40,11.0346,122.38,19,5010.83
20,67,15.2198,232.819,20,8074.13
21,46,12.896,167.153,21,5759.73
22,37,11.603,135.314,22,6140.61
23,37,8.38364,70.6421,23,6041.19
24,38,14.2107,202.971,24,5069.68
25,37,9.38638,88.5513,25,4133.23
26,41,9.0097,81.5866,26,5153.66
27,42,8.55892,73.6269,27,5017.55
28,52,9.06446,82.5815,28,6877.4
29,43,9.11888,83.5764,29,4859.29
