,nit,x_diff,f_diff,p_id,duration_microsec
0,15,3.81761e+62,9.09174e+250,0,12.095
1,26,4.98524e+53,5.59984e+215,1,21.374
2,4,1.74415e+27,5.33013e+110,2,2.957
3,7,3.40314e+19,9.13383e+79,3,4.944
4,4,1.09266e+21,1.00592e+86,4,3.187
5,4,7.27334e+76,inf,5,3.975
6,28,1.19267e+50,1.28971e+201,6,24.716
7,59,8.33386e+45,2.49602e+184,7,52.711
8,5,1.54086e+15,2.14715e+62,8,5.032
9,5,8.35767e+23,4.82332e+97,9,4.797
10,5,2.81599e+56,7.72558e+226,10,5.029
11,10,2.50931e+71,1.67732e+287,11,9.718
12,7,9.40476e+13,7.56916e+57,12,6.876
13,13,4.51749e+21,1.52146e+88,13,12.459
14,5,6.21369e+34,9.73997e+140,14,5.654
15,13,1.63796e+27,3.81406e+110,15,13.776
16,13,3.52131e+24,4.58591e+97,16,13.831
17,19,1.08294e+37,1.42574e+149,17,19.305
18,5,6.92517e+19,1.04135e+81,18,5.515
19,7,9.8711e+13,2.20289e+56,19,7.623
20,5,2.11388e+24,1.8544e+99,20,6.736
21,26,5.35116e+25,5.85666e+103,21,24.31
22,21,1.52641e+52,4.56392e+210,22,19.63
23,73,2.15803e+80,inf,23,63.011
24,5,2.4308e+66,2.12058e+267,24,5.347
25,7,6.1563e+62,6.9876e+252,25,7.342
26,8,4.61266e+63,8.35896e+255,26,8.564
27,4,3.79412e+26,1.13687e+108,27,4.312
28,17,9.0756e+78,inf,28,17.13
29,3,2.24501e+14,2.17378e+59,29,3.303
