,nit,x_diff,f_diff,p_id,duration_microsec
0,30,12.5555,0.126991,0,36.536
1,3,3.13849,0.00971591,1,3.538
2,131,6.27714,0.0372241,2,164.008
3,5,3.13848,0.00971591,3,6.8
4,131,6.27715,0.0372241,4,184.345
5,3,3.13848,0.00971591,5,3.667
6,133,6.27715,0.0372241,6,157.917
7,11,3.13848,0.00971591,7,11.052
8,11,3.13849,0.00971591,8,10.642
9,5,3.13849,0.00971591,9,4.437
10,4,6.80146e-09,5.55112e-17,10,3.397
11,9,3.13848,0.00971591,11,8.749
12,118,6.27714,0.0372241,12,109.683
13,119,6.27714,0.0372241,13,130.302
14,3,3.13848,0.00971591,14,2.497
15,3,2.44601e-06,5.98893e-12,15,2.236
16,57,9.41613,0.0781892,16,76.496
17,127,6.27714,0.0372241,17,168.277
18,55,9.41613,0.0781892,18,79.479
19,133,6.27714,0.0372241,19,161.473
20,125,6.27714,0.0372241,20,164.23
21,5,3.13849,0.00971591,21,5.521
22,5,3.13849,0.00971591,22,5.327
23,3,3.13848,0.00971591,23,2.692
24,15,15.6954,0.178222,24,18.701
25,4,3.13848,0.00971591,25,3.159
26,57,9.41613,0.0781892,26,65.286
27,57,9.41612,0.0781892,27,65.048
28,11,3.13848,0.00971591,28,12.876
29,4,3.13849,0.00971591,29,3.294
