,nit,x_diff,f_diff,p_id,duration_microsec
0,51,1445.82,3296.96,0,415.204
1,50,1347.37,3673.17,1,191.222
2,51,1378.43,3515.05,2,195.413
3,50,1538.19,3237.58,3,196.808
4,50,1309.43,3336.93,4,193.371
5,51,1599.66,2981.4,5,194.377
6,50,1365.93,3713.31,6,184.08
7,50,1220.14,3119.61,7,196.906
8,46,1383.34,3574.38,8,176.975
9,52,1429.96,3475.95,9,201.262
10,44,1368.55,3613.34,10,167.17
11,48,1289.29,3178.58,11,188.022
12,51,1470.97,3336.51,12,220.22
13,46,1537.13,3573.96,13,205.214
14,50,1167.76,3238.54,14,189.582
15,51,1418.07,2763.77,15,198.885
16,56,1377.61,3475,16,225.994
17,50,1394.39,3534.69,17,201.175
18,50,1436.51,3317.1,18,226.374
19,57,1148.53,3297.06,19,231.579
20,53,1448.61,3435.67,20,215.612
21,51,1366.42,3514.69,21,202.715
22,50,1390.21,3337.37,22,192.392
23,54,1417.49,3040.55,23,221.936
24,53,1375.5,3376.34,24,220.326
25,53,1364.4,3337.88,25,241.051
26,54,1373.26,2882.7,26,281.545
27,53,1561.75,2882.16,27,248.9
28,50,1212.3,3356.62,28,222.146
29,50,1291.55,3277.24,29,203.737
