,nit,x_diff,f_diff,p_id,duration_microsec
0,1,2.47321e-14,6.11675e-28,0,2.137
1,1,1.03995e-13,1.08149e-26,1,0.669
2,1,2.36826e-13,5.60866e-26,2,0.548
3,1,1.34016e-14,1.79602e-28,3,0.498
4,1,1.12725e-14,1.27068e-28,4,0.451
5,1,7.12829e-14,5.08125e-27,5,0.451
6,1,2.54141e-14,6.45874e-28,6,0.407
7,1,4.49222e-14,2.018e-27,7,0.409
8,1,2.5892e-14,6.70396e-28,8,0.456
9,1,3.37535e-13,1.1393e-25,9,0.412
10,1,8.80584e-16,7.75428e-31,10,0.432
11,1,3.71578e-14,1.3807e-27,11,0.41
12,1,2.3844e-15,5.68535e-30,12,0.41
13,1,4.90513e-14,2.40603e-27,13,0.445
14,1,1.66212e-13,2.76264e-26,14,0.408
15,1,1.11006e-13,1.23223e-26,15,0.407
16,1,2.73009e-14,7.45338e-28,16,0.453
17,1,9.37544e-14,8.78988e-27,17,0.488
18,1,7.3781e-14,5.44363e-27,18,0.408
19,1,1.65543e-13,2.74045e-26,19,0.407
20,1,7.20794e-14,5.19544e-27,20,0.413
21,1,1.04962e-14,1.10169e-28,21,0.407
22,1,2.42396e-14,5.8756e-28,22,0.429
23,1,2.89657e-13,8.39014e-26,23,0.404
24,1,6.40743e-14,4.10552e-27,24,0.414
25,1,2.43983e-13,5.95278e-26,25,0.405
26,1,1.77761e-14,3.15988e-28,26,0.43
27,1,6.2175e-15,3.86573e-29,27,0.406
28,1,1.28067e-14,1.64012e-28,28,0.416
29,1,2.66592e-13,7.10713e-26,29,0.405
