,nit,x_diff,f_diff,p_id,duration_microsec
0,36,4.66676,21.8891,0,538.966
1,44,4.44958,19.8992,1,604.148
2,32,4.87426,23.879,2,502.907
3,39,7.24336,52.7327,3,685.645
4,37,10.8991,119.394,4,540.945
5,34,8.20458,67.657,5,565.236
6,36,5.35799,28.8538,6,540.863
7,31,8.083,65.667,7,488.027
8,41,7.70685,59.6974,8,644.928
9,31,6.82105,46.763,9,553.255
10,55,7.37872,54.7225,10,991.144
11,39,6.96465,48.7528,11,855.297
12,34,5.96974,35.8185,12,603.271
13,49,7.44549,55.7174,13,688.447
14,51,8.7871,77.6063,14,775.844
15,38,7.17469,51.7377,15,612.335
16,35,7.51171,56.7125,16,610.972
17,50,3.97983,15.9194,17,745.228
18,43,8.02156,64.6722,18,721.586
19,45,6.6743,44.7729,19,699.063
20,59,7.70682,59.6973,20,1003.78
21,41,9.28022,86.5609,21,643.644
22,39,7.89718,62.6822,22,574.131
23,37,5.96973,35.8185,23,556.014
24,31,4.33692,18.9042,24,437.312
25,35,6.44803,41.7882,25,591.341
26,64,7.77083,60.6924,26,1090.43
27,47,7.77078,60.6922,27,786.339
28,38,4.66676,21.8891,28,659.625
29,37,5.88623,34.8235,29,672.922
