,nit,x_diff,f_diff,p_id,duration_microsec
0,17,1.159e+66,1.8123e+265,0,9.787
1,5,1.68818e+35,9.645e+140,1,2.7
2,4,7.8682e+23,2.47472e+97,2,2.164
3,5,1.69782e+23,6.22023e+94,3,2.692
4,4,4.20122e+79,inf,4,2.153
5,497,0.000422066,3.56403e-08,5,257.911
6,4,3.76323e+29,1.05715e+120,6,2.119
7,8,3.50975e+81,inf,7,4.032
8,5,1.38008e+29,2.61744e+118,8,2.637
9,6,2.40189e+30,1.34005e+122,9,3.155
10,3,1.39692e+22,3.46741e+90,10,1.666
11,4,6.80211e+16,5.52755e+68,11,2.073
12,3,4.21949e+17,2.82265e+72,12,1.566
13,5,2.51892e+59,7.11116e+238,13,2.492
14,85,1.18942e+32,9.66413e+128,14,40.857
15,8,4.07052e+26,2.31379e+108,15,3.931
16,6,4.0751e+17,8.14191e+68,16,2.977
17,13,2.09323e+25,3.14554e+102,17,5.549
18,51,2.05985e+44,1.77711e+179,18,24.541
19,185,3.71806e+66,5.5937e+266,19,90.153
20,5,1.03626e+14,4.42613e+57,20,2.589
21,22,2.75522e+40,1.91943e+162,21,10.606
22,6,2.69612e+35,5.13394e+143,22,3.111
23,7,1.83437e+48,7.92425e+194,23,3.594
24,5,3.31905e+35,9.60063e+143,24,2.59
25,5,1.03164e+54,6.49742e+217,25,2.558
26,17,3.36512e+16,9.69185e+66,26,8.267
27,4,1.92235e+45,9.26494e+182,27,2.069
28,162,9.14905e+43,3.42843e+176,28,77.907
29,23,9.45636e+54,5.13941e+220,29,11.312
