,nit,x_diff,f_diff,p_id,duration_microsec
0,4,3.13849,0.00971591,0,6.05
1,45,9.41613,0.0781892,1,49.421
2,57,9.41613,0.0781892,2,74.041
3,5,3.13849,0.00971591,3,7.353
4,133,6.27715,0.0372241,4,165.845
5,3,3.13848,0.00971591,5,3.921
6,5,3.13849,0.00971591,6,5.524
7,29,12.5555,0.126991,7,30.603
8,9,3.13849,0.00971591,8,9.932
9,133,6.27715,0.0372241,9,151.478
10,50,9.41613,0.0781892,10,47.942
11,55,9.41614,0.0781892,11,57.484
12,4,1.45038e-08,2.22045e-16,12,3.989
13,29,12.5555,0.126991,13,27.465
14,122,6.27714,0.0372241,14,106.38
15,131,6.27714,0.0372241,15,114.47
16,57,9.41613,0.0781892,16,50.034
17,57,9.41613,0.0781892,17,49.93
18,133,6.27715,0.0372241,18,115.845
19,131,6.27715,0.0372241,19,113.916
20,11,3.13848,0.00971591,20,9.956
21,11,3.13849,0.00971591,21,9.933
22,29,12.5555,0.126991,22,25.665
23,29,12.5555,0.126991,23,26.266
24,55,9.41612,0.0781892,24,51.291
25,9,3.13848,0.00971591,25,8.548
26,133,6.27715,0.0372241,26,127.948
27,10,1.07143e-08,1.11022e-16,27,10.814
28,4,3.13849,0.00971591,28,3.438
29,3,3.13849,0.00971591,29,2.176
