,nit,x_diff,f_diff,p_id,duration_microsec
0,55,2572.33,9734.31,0,1685.99
1,61,2539.08,9733.94,1,2095.88
2,54,2240.11,9972.26,2,2024.14
3,55,2358.85,10168.5,3,1980.14
4,56,2306.08,9713.9,4,2186.5
5,56,2355.28,10189.4,5,2448.53
6,55,2545.25,10267,6,2994.98
7,54,2368.55,9182.02,7,2716.66
8,54,2494.01,10366.2,8,2163.72
9,56,2337.12,10286.8,9,3069.74
10,54,2426.51,9892.03,10,3340.28
11,56,2330.81,9871.94,11,2312.81
12,51,2283.89,10900.1,12,1617.17
13,54,2308.03,10148.8,13,1765.6
14,57,2487.07,10425.7,14,1733.2
15,56,2484.28,10188.3,15,1850.99
16,55,2334.68,10228.5,16,1677.13
17,52,2385.56,9772.79,17,1754.79
18,53,2157.3,10050.2,18,2796.26
19,54,2215.96,10387.2,19,2205.84
20,54,2487.07,10425.7,20,3228.54
21,56,2483.04,9694.66,21,2079.4
22,49,2530.87,10405.3,22,2775.29
23,53,2335.79,10010.4,23,1727.43
24,51,2519.47,10682.3,24,1535.51
25,53,2287.21,10682.7,25,1588.48
26,57,2335.93,10110,26,1873.38
27,56,2264.77,10545.1,27,1851.9
28,54,2436.95,10583.1,28,1805.35
29,53,2316.35,10326,29,1655.89
