,nit,x_diff,f_diff,p_id,duration_microsec
0,234,0.994891,0.994962,0,1231.33
1,240,0.000117151,2.72281e-06,1,1084.8
2,206,0.000167175,5.54456e-06,2,859.033
3,206,0.995021,0.994964,3,991.279
4,220,0.994953,0.994961,4,950.663
5,208,0.994798,0.994974,5,950.322
6,217,1.40718,1.98992,6,998.855
7,188,0.000179317,6.3792e-06,7,894.727
8,241,0.000207898,8.57479e-06,8,1211.24
9,225,0.994975,0.994961,9,1183.85
10,213,0.000133324,3.5265e-06,10,1139.11
11,237,1.40714,1.98992,11,1213.09
12,228,1.40708,1.98992,12,1032.93
13,235,0.994885,0.994964,13,1105.57
14,219,0.000164501,5.36859e-06,14,997.189
15,240,0.995001,0.994961,15,995.256
16,215,0.000307511,1.87606e-05,16,1014.61
17,204,0.000216408,9.29115e-06,17,1001.2
18,229,0.994971,0.994971,18,1332.26
19,224,6.67353e-05,8.83557e-07,19,1297.23
20,243,7.55621e-05,1.13274e-06,20,1180.58
21,204,0.000192037,7.31631e-06,21,1057.97
22,220,2.64444e-05,1.38736e-07,22,1098.98
23,230,0.000132089,3.46145e-06,23,985.362
24,216,0.000136524,3.6978e-06,24,964.867
25,222,9.42258e-05,1.76142e-06,25,1074.91
26,219,0.994819,0.994965,26,1027.75
27,201,0.00020425,8.27652e-06,27,927.987
28,230,0.994975,0.994961,28,1283.7
29,228,0.000118954,2.80727e-06,29,1363.84
