,nit,x_diff,f_diff,p_id,duration_microsec
0,240,0.204739,0.00904151,0,1018.66
1,246,0.209742,0.00951255,1,1040.82
2,270,0.342411,0.0267706,2,1156.33
3,244,0.158714,0.00533583,3,1029.71
4,242,0.256646,0.0145148,4,960.491
5,249,0.420851,0.0418551,5,1020.01
6,231,0.117139,0.00286046,6,930.527
7,241,0.218436,0.0103473,7,987.226
8,234,0.377285,0.0329912,8,820.196
9,275,0.5579,0.0784727,9,807.198
10,278,0.636632,0.106367,10,845.994
11,265,0.361197,0.0300284,11,814.735
12,254,0.2826,0.017777,12,843.742
13,260,0.31472,0.0223452,13,843.763
14,269,0.475692,0.0548379,14,892.951
15,262,0.275687,0.0168718,15,878.426
16,244,0.337429,0.0259356,16,846.999
17,269,0.342136,0.0267182,17,943.427
18,260,0.522319,0.0675942,18,1054.75
19,293,21.4312,31.9787,19,1205.68
20,255,0.407091,0.038919,20,780.36
21,237,0.237934,0.0123737,21,757.56
22,252,0.214444,0.00995634,22,918.924
23,240,0.247685,0.0134606,23,1011.6
24,259,0.307047,0.0212002,24,1082.48
25,247,0.41657,0.0409265,25,1014.07
26,254,0.419705,0.0416062,26,1063.79
27,252,0.267571,0.0158372,27,1140.63
28,250,0.496814,0.0604131,28,1114.43
29,244,0.490672,0.0587569,29,1161.33
