,nit,x_diff,f_diff,p_id,duration_microsec
0,116,3.137,0.00971809,0,687.218
1,132,3.13616,0.00972122,1,780.009
2,130,3.13998,0.0097181,2,764.344
3,144,3.1383,0.00971594,3,841.976
4,134,3.14022,0.00971885,4,749.119
5,136,3.13799,0.00971615,5,645.931
6,131,12.5585,0.126997,6,648.554
7,143,6.27819,0.0372251,7,785.553
8,147,6.27849,0.0372257,8,800.507
9,159,3.13562,0.00972396,9,859.976
10,144,3.13979,0.00971758,10,808.979
11,131,6.27926,0.0372282,11,590.405
12,144,6.27651,0.0372244,12,583.24
13,146,9.41358,0.0781947,13,577.796
14,139,3.13746,0.00971693,14,554.033
15,154,6.27519,0.0372276,15,631.731
16,155,3.14158,0.00972529,16,650.646
17,144,3.137,0.00971807,17,636.346
18,156,25.1209,0.312108,18,678.84
19,130,3.14045,0.0097197,19,590.588
20,151,6.27658,0.0372244,20,695.291
21,152,3.13758,0.00971671,21,1097.11
22,131,6.27751,0.0372242,22,867.641
23,135,15.6965,0.178223,23,798.742
24,142,9.4169,0.0781897,24,850.245
25,137,3.1381,0.00971605,25,759.276
26,139,3.14029,0.0097191,26,813.417
27,136,6.27808,0.0372249,27,611.705
28,120,3.13856,0.00971592,28,519.157
29,157,6.28091,0.0372372,29,816.07
