,nit,x_diff,f_diff,p_id,duration_microsec
0,190,723.498,118.438,0,1025.72
1,178,0.00248442,2.6233e-05,1,1022.9
2,174,723.488,118.438,2,1059.61
3,176,0.00557914,2.93254e-05,3,1016.04
4,190,723.494,118.438,4,1130.19
5,190,723.489,118.438,5,1139.11
6,152,587.408,513.246,6,850.249
7,180,723.501,118.438,7,981.715
8,155,651.322,651.455,8,819.815
9,194,0.00589401,2.97606e-05,9,1049.48
10,186,723.497,118.438,10,996.543
11,161,771.877,592.213,11,755.253
12,169,755.379,335.578,12,905.729
13,192,1023.17,236.877,13,1025.48
14,187,217.154,217.14,14,996.139
15,171,545.8,296.107,15,892.803
16,181,217.162,217.14,16,982.146
17,172,1023.18,236.877,17,878.516
18,176,217.157,217.14,18,938.606
19,183,0.00511299,2.86738e-05,19,946.31
20,183,217.15,217.14,20,980.783
21,180,355.426,355.348,21,937.346
22,183,0.0022602,2.60677e-05,22,873.978
23,200,0.00368192,2.71145e-05,23,1058.59
24,174,723.492,118.438,24,966.517
25,186,545.795,296.107,25,961.053
26,153,307.096,434.279,26,818.068
27,189,545.794,296.107,27,1138.01
28,167,723.493,118.438,28,896.999
29,187,0.00662018,3.08846e-05,29,991.799
