,nit,x_diff,f_diff,p_id,duration_microsec
0,143,0.00145646,2.12129e-06,0,590.874
1,154,0.000870371,7.57546e-07,1,570.269
2,150,0.0021673,4.69718e-06,2,461.625
3,121,0.00111046,1.23312e-06,3,349.193
4,115,0.00174175,3.0337e-06,4,282.326
5,138,0.0012443,1.54827e-06,5,300.278
6,168,0.00158818,2.5223e-06,6,427.603
7,144,0.00198102,3.92443e-06,7,392.029
8,149,0.00205875,4.23846e-06,8,497.284
9,122,0.00229295,5.25764e-06,9,442.144
10,146,0.00078823,6.21306e-07,10,642.804
11,134,0.00194363,3.7777e-06,11,527.041
12,143,0.00113049,1.27802e-06,12,576.346
13,137,0.00227539,5.17738e-06,13,575.115
14,129,0.000976032,9.52638e-07,14,503.225
15,122,0.00293138,8.59301e-06,15,452.255
16,149,0.000252833,6.39243e-08,16,618.328
17,144,0.00165337,2.73364e-06,17,566.451
18,124,0.00238803,5.70269e-06,18,510.395
19,115,0.00406633,1.65351e-05,19,381.485
20,129,0.000689464,4.7536e-07,20,500.621
21,150,0.000183321,3.36065e-08,21,630.462
22,131,0.00323066,1.04372e-05,22,579.564
23,137,0.00255178,6.51159e-06,23,563.267
24,132,0.00264221,6.98126e-06,24,477.221
25,116,0.0039983,1.59864e-05,25,418.011
26,153,0.000553868,3.0677e-07,26,573.382
27,115,0.0015294,2.33907e-06,27,411.102
28,146,0.000500793,2.50794e-07,28,590.01
29,151,0.00276839,7.66396e-06,29,575.371
