,nit,x_diff,f_diff,p_id,duration_microsec
0,478,158.128,250172,0,13236.7
1,464,110.315,121662,1,14747.2
2,491,192.98,372233,2,14339.9
3,473,145.01,210244,3,13624.7
4,441,49.6156,23727.6,4,14230.2
5,477,133.137,177166,5,13725.6
6,466,126.706,160261,6,12229.8
7,472,181.158,328170,7,11891.6
8,449,63.4702,39057,8,12678.3
9,467,123.75,152846,9,12230.9
10,474,116.835,135413,10,13988.9
11,475,131.995,174246,11,14239.9
12,482,194.79,379237,12,13968.5
13,465,106.118,112175,13,13224.3
14,467,143.375,205096,14,14308.9
15,461,83.9126,69875.6,15,15338
16,461,82.948,67659,16,16171.3
17,469,115.598,133727,17,14335.2
18,451,72.4773,52135.3,18,14512.4
19,464,119.403,142349,19,13116.9
20,478,118.368,139278,20,13796.4
21,466,115.104,132145,21,14403.9
22,477,145.801,212601,22,14422
23,472,142.797,203757,23,15335.3
24,456,63.8332,40203.6,24,16872.9
25,470,135.514,183795,25,14279.4
26,461,95.5203,90944.6,26,14497.9
27,466,137.444,189102,27,14496.9
28,471,172.982,299096,28,14714.9
29,458,117.338,137276,29,14242.4
