,nit,x_diff,f_diff,p_id,duration_microsec
0,242,0.153778,0.00500445,0,925.178
1,241,0.148473,0.00465451,1,820.434
2,254,0.286404,0.0182873,2,613.171
3,239,0.120088,0.00300961,3,624.751
4,214,0.0531826,0.000575758,4,439.963
5,231,0.125075,0.00327282,5,644.201
6,216,0.0459271,0.000428595,6,652.402
7,218,0.0660178,0.000892524,7,681.363
8,226,0.191317,0.00785648,8,761.691
9,202,0.00396556,5.14858e-06,9,667.421
10,231,0.0853091,0.00149977,10,667.677
11,237,0.0588401,0.000708011,11,811.305
12,233,0.0746443,0.00114981,12,748.982
13,208,0.0359645,0.000274706,13,640.205
14,240,0.182855,0.00714915,14,653.975
15,256,0.246312,0.0133061,15,824.949
16,238,0.241707,0.0127881,16,821.326
17,197,0.00758076,1.23354e-05,17,708.323
18,170,0.000778715,3.6815e-06,18,506.608
19,247,0.178649,0.00599778,19,701.076
20,217,0.0455503,0.00042126,20,544.013
21,238,0.289241,0.0186732,21,626.766
22,218,0.0667317,0.000912831,22,507.874
23,236,0.147243,0.00457346,23,565.652
24,238,0.116227,0.00281562,24,575.274
25,238,0.28354,0.0179042,25,677.493
26,228,0.106055,0.002335,26,811.956
27,242,0.148986,0.00468453,27,860.584
28,235,0.210519,0.00958686,28,787.903
29,195,0.0344793,0.000252084,29,625.588
