,nit,x_diff,f_diff,p_id,duration_microsec
0,116,3.13866,0.00971594,0,501.614
1,140,6.27573,0.0372259,1,509.885
2,134,6.28027,0.0372331,2,515.3
3,139,6.27785,0.0372245,3,508.296
4,122,3.14073,0.00972085,4,477.966
5,124,3.13824,0.00971597,5,448.678
6,142,6.27696,0.0372241,6,672.215
7,157,3.13934,0.00971663,7,817.837
8,141,6.27771,0.0372244,8,781.686
9,163,3.13657,0.00971952,9,799.681
10,139,3.13566,0.00972375,10,697.606
11,133,6.27772,0.0372244,11,636.555
12,146,3.14121,0.00972317,12,636.268
13,144,6.2798,0.0372306,13,638.179
14,131,6.27992,0.0372312,14,608.716
15,150,3.13886,0.00971604,15,566.483
16,166,3.13926,0.00971649,16,655.225
17,149,6.27357,0.0372359,17,743.684
18,160,6.2781,0.0372249,18,723.824
19,143,9.41643,0.0781893,19,681.834
20,146,25.1199,0.312106,20,638.313
21,165,6.28004,0.0372318,21,727.332
22,136,6.27623,0.0372249,22,646.446
23,138,6.2756,0.0372263,23,680.951
24,129,12.5558,0.126991,24,632.556
25,147,12.5546,0.126991,25,699.663
26,141,3.13956,0.00971705,26,721.678
27,142,3.13952,0.00971696,27,714.451
28,118,6.27754,0.0372242,28,575.302
29,152,15.6988,0.17823,29,761.529
