,nit,x_diff,f_diff,p_id,duration_microsec
0,186,0.00113299,2.56281e-05,0,801.185
1,182,217.154,217.14,1,514.255
2,168,217.158,217.14,2,550.2
3,170,723.499,118.438,3,481.336
4,191,0.00646082,3.06413e-05,4,655.35
5,189,0.00256383,2.62956e-05,5,575.364
6,168,587.408,513.246,6,537.317
7,193,723.492,118.438,7,412.372
8,146,771.874,592.213,8,325.319
9,200,217.158,217.14,9,861.781
10,189,0.00437173,2.79117e-05,10,805.296
11,155,755.383,335.578,11,816.017
12,178,723.495,118.438,12,812.529
13,195,723.494,118.438,13,881.106
14,182,755.385,335.578,14,796.46
15,172,723.484,118.438,15,663.832
16,186,723.496,118.438,16,773.497
17,168,723.492,118.438,17,658.579
18,182,723.497,118.438,18,680.693
19,191,0.00245502,2.61824e-05,19,653.531
20,176,723.497,118.438,20,567.763
21,183,723.494,118.438,21,558.251
22,191,723.494,118.438,22,724.946
23,200,0.00397569,2.74842e-05,23,982.494
24,173,217.154,217.14,24,801.389
25,179,0.010507,3.92682e-05,25,893.217
26,155,587.414,513.246,26,771.057
27,191,0.00360598,2.71226e-05,27,908.484
28,170,755.39,335.578,28,763.347
29,186,217.152,217.14,29,810.342
