,nit,x_diff,f_diff,p_id,duration_microsec
0,131,0.000419491,1.75973e-07,0,467.048
1,156,0.00153552,2.35782e-06,1,512.991
2,160,0.00110044,1.21097e-06,2,429.232
3,120,0.00179646,3.22728e-06,3,341.548
4,119,0.0015877,2.52079e-06,4,362.429
5,139,0.000587175,3.44774e-07,5,484.006
6,169,0.0039148,1.53256e-05,6,499.56
7,143,0.00257195,6.61491e-06,7,351.642
8,149,0.0013935,1.94183e-06,8,355.631
9,135,0.00165407,2.73595e-06,9,299.35
10,150,0.00233527,5.45347e-06,10,336.285
11,136,0.000850247,7.2292e-07,11,342.675
12,136,0.000999518,9.99037e-07,12,385.164
13,149,0.000159405,2.54101e-08,13,545.4
14,139,1.52713e-05,2.33213e-10,14,514.361
15,133,0.00372582,1.38817e-05,15,523.928
16,142,0.00229748,5.27843e-06,16,508.052
17,149,0.00248852,6.19271e-06,17,525.161
18,129,0.0024158,5.8361e-06,18,386.366
19,130,0.00385865,1.48892e-05,19,424.476
20,131,0.00129738,1.6832e-06,20,357.708
21,149,0.00209717,4.39813e-06,21,405.734
22,146,0.00206234,4.25324e-06,22,418.9
23,138,0.001847,3.41141e-06,23,335.912
24,141,0.000150016,2.25047e-08,24,402.686
25,122,0.00322009,1.0369e-05,25,321.734
26,160,0.00107513,1.1559e-06,26,415.289
27,129,0.00227216,5.16271e-06,27,375.72
28,128,0.00196971,3.87976e-06,28,331.651
29,137,0.00529064,2.79908e-05,29,473.575
