,nit,x_diff,f_diff,p_id,duration_microsec
0,265,1.40712,1.98993,0,6508.47
1,260,3.30006,10.9446,1,6159.74
2,267,2.98487,8.95465,2,5350.69
3,262,3.29986,10.9446,3,5471.97
4,253,2.81421,7.95969,4,5314.96
5,261,2.81414,7.9597,5,5246.58
6,270,2.9849,8.95466,6,3774.89
7,260,3.58739,12.9345,7,3977.05
8,268,3.5874,12.9345,8,5430.93
9,275,3.29991,10.9446,9,4626.43
10,251,2.81433,7.95972,10,4894.08
11,266,3.72274,13.9295,11,3722.03
12,251,1.98996,3.97989,12,2467.57
13,264,1.72316,2.9849,13,2703.81
14,261,2.98483,8.95466,14,4925.36
15,260,2.63225,6.96474,15,4122.1
16,269,3.14625,9.94961,16,5103.16
17,261,3.44664,11.9395,17,3486.43
18,263,3.30003,10.9446,18,2651.51
19,260,2.98496,8.95466,19,3481.24
20,270,2.98482,8.95466,20,4970.94
21,269,3.14624,9.94962,21,3832.36
22,266,3.29987,10.9446,22,4562.29
23,265,3.44673,11.9395,23,4605.01
24,268,2.81405,7.9597,24,5586.37
25,257,3.29973,10.9446,25,4386.9
26,267,3.29998,10.9446,26,3731.64
27,262,2.22493,4.97481,27,5432.12
28,269,3.3,10.9446,28,7073.33
29,246,2.81416,7.95971,29,6148.95
