,nit,x_diff,f_diff,p_id,duration_microsec
0,256,0.573626,0.0836155,0,1176.87
1,280,0.73002,0.147161,1,1100.13
2,279,0.760754,0.162652,2,1007.71
3,279,0.753578,0.158963,3,943.897
4,271,0.621172,0.100453,4,956.472
5,268,0.776337,0.170934,5,889.377
6,278,0.718575,0.141671,6,937.522
7,259,0.539654,0.0727656,7,850.572
8,256,0.577691,0.0849806,8,951.245
9,283,0.762612,0.16363,9,928.8
10,272,0.833912,0.204216,10,871.782
11,277,0.700865,0.133452,11,909.251
12,277,0.822159,0.197065,12,967.869
13,288,0.871074,0.228158,13,970.555
14,278,0.621506,0.100587,14,955.355
15,262,0.315833,0.0225147,15,889.244
16,263,0.751996,0.158124,16,773.443
17,276,0.601291,0.0931767,17,1132.32
18,272,0.705662,0.135641,18,1395.77
19,281,0.695378,0.130971,19,1638.61
20,286,0.84927,0.213844,20,1612.97
21,256,0.732963,0.148596,21,980.724
22,277,0.711103,0.138158,22,1146.33
23,276,0.735749,0.149966,23,1167.73
24,286,6.261,2.73179,24,1208.62
25,258,0.711594,0.138387,25,1300.05
26,276,0.700307,0.133208,26,1672.21
27,286,0.791889,0.179493,27,1262.94
28,274,0.778872,0.172317,28,815.317
29,263,0.660409,0.115915,29,802.038
