,nit,x_diff,f_diff,p_id,duration_microsec
0,115,34.5459,0.396101,0,524.035
1,116,50.2437,0.459786,1,979.556
2,101,72.2335,0.48708,2,632.936
3,112,62.8196,0.47957,3,530.243
4,108,47.1149,0.451779,4,401.517
5,111,9.41534,0.0781897,5,475.473
6,96,135.091,0.498651,6,396.773
7,110,169.62,0.499437,7,499.081
8,89,169.683,0.499438,8,391.67
9,55,311.146,0.499949,9,250.075
10,67,238.812,0.499852,10,256.104
11,96,84.7886,0.492562,11,361.997
12,93,163.351,0.499348,12,466.127
13,121,65.9716,0.482546,13,465.51
14,143,18.8363,0.22769,14,631.891
15,132,25.1153,0.312105,15,714.496
16,107,219.864,0.499796,16,541.96
17,93,219.873,0.499795,17,491.445
18,82,282.714,0.499924,18,393.481
19,104,40.8235,0.429723,19,433.22
20,68,348.802,0.499967,20,310.088
21,78,295.405,0.499937,21,350.089
22,113,53.3877,0.466297,22,533.149
23,83,119.419,0.49786,23,410.773
24,100,109.957,0.497082,24,615.416
25,66,197.883,0.499691,25,383.035
26,103,182.271,0.499576,26,545.366
27,115,87.9287,0.493459,27,736.718
28,109,50.2532,0.459781,28,561.211
29,110,131.991,0.498532,29,551.509
