,nit,x_diff,f_diff,p_id,duration_microsec
0,380,2456.54,7225.37,0,12116.7
1,384,2829.14,6544.55,1,11970.9
2,384,2585.53,7798.69,2,12478.2
3,364,2609.51,7359.27,3,13497.3
4,381,2590.34,7708.54,4,17321.9
5,367,2487.38,7585.32,5,17309.1
6,368,2700.07,8068.2,6,17864.3
7,375,2524.24,8137.14,7,19951
8,383,2329.36,8000.66,8,19793
9,382,2461.29,7103.1,9,17078
10,383,2551.66,7566.07,10,19848.7
11,393,2408.76,8093.9,11,21556.1
12,377,2633.11,6710.5,12,21473.3
13,380,2364.1,7560.2,13,18822.1
14,378,2446.77,8046.1,14,21952
15,375,2241.69,7370.75,15,18913.9
16,405,2446.16,7664.39,16,20320.1
17,388,2377.23,7591.52,17,20649.5
18,385,2148.77,7318.85,18,18446.8
19,364,2646.05,7977.97,19,18108.2
20,378,2574.81,7776.45,20,16662.4
21,376,2547.66,7287.86,21,18959
22,383,2709.8,6769.89,22,20739.9
23,386,2573.65,7662.66,23,23112.1
24,378,2176.13,8330.94,24,21681.2
25,385,2766.81,6834.63,25,23127.1
26,384,2920.14,7329.16,26,22237.8
27,384,2581.46,7016.35,27,19240.8
28,358,2433.44,8031.55,28,16063.5
29,377,2347.15,6299.07,29,17309.8
