,nit,x_diff,f_diff,p_id,duration_microsec
0,180,0.00281297,7.91279e-06,0,2755.78
1,185,0.00368001,1.35425e-05,1,2746.61
2,185,0.00325498,1.05949e-05,2,2669.42
3,188,0.00324609,1.05371e-05,3,3519
4,186,0.00397834,1.58272e-05,4,2795.41
5,189,0.00299979,8.99875e-06,5,3058.82
6,177,0.0052312,2.73654e-05,6,2908.05
7,184,0.00399824,1.59859e-05,7,3512.98
8,192,0.00332389,1.10482e-05,8,2651.49
9,175,0.00454172,2.06272e-05,9,3059.56
10,190,0.00327962,1.07559e-05,10,3154.86
11,175,0.0036711,1.34769e-05,11,2521.99
12,192,0.00266841,7.12039e-06,12,3004.52
13,181,0.00309524,9.58052e-06,13,1843.76
14,183,0.00373782,1.39713e-05,14,2754.38
15,173,0.00537091,2.88466e-05,15,2835.31
16,181,0.00257296,6.62015e-06,16,2962.55
17,179,0.00320698,1.02847e-05,17,3099.75
18,173,0.00332156,1.10328e-05,18,2785.59
19,183,0.00502737,2.52745e-05,19,2834.48
20,182,0.00445516,1.98484e-05,20,2440.42
21,175,0.00368393,1.35713e-05,21,1765.87
22,191,0.00229285,5.25715e-06,22,2398.03
23,185,0.00413165,1.70705e-05,23,2968.4
24,181,0.00381898,1.45846e-05,24,2964.39
25,184,0.00455555,2.0753e-05,25,3070.53
26,184,0.00357476,1.27789e-05,26,3029.34
27,178,0.00296569,8.79532e-06,27,2989.55
28,174,0.00359749,1.29419e-05,28,2558.69
29,179,0.00536457,2.87786e-05,29,2942.14
