,nit,x_diff,f_diff,p_id,duration_microsec
0,490,340.206,1.15747e+06,0,12542.8
1,467,234.978,552253,1,12233.1
2,489,321.573,1.03418e+06,2,13253.1
3,485,237.487,564256,3,10842.8
4,465,150.372,225900,4,11526.7
5,485,319.888,1.02358e+06,5,8562.75
6,475,168.452,283717,6,8795.93
7,481,279.503,781512,7,8107.47
8,472,202.876,411696,8,8870.1
9,494,282.461,797923,9,8343.62
10,494,287.384,826050,10,9047.9
11,488,253.884,644578,11,8224.42
12,472,248.644,618155,12,8899.72
13,488,298.287,889949,13,10237.8
14,486,267.266,714613,14,12718.6
15,475,192.385,369835,15,8422.15
16,482,258.652,668833,16,9078.7
17,482,227.062,515493,17,8515.23
18,474,239.163,571914,18,8076.2
19,478,222.209,493714,19,8612.59
20,489,349.698,1.22313e+06,20,8678.62
21,488,289.384,837361,21,9469.67
22,493,316.669,1.00293e+06,22,11616.5
23,487,266.599,710926,23,13146.2
24,463,141.313,199324,24,11876.3
25,483,244.944,599879,25,14933.5
26,489,257.448,662908,26,12468.7
27,484,320.993,1.03052e+06,27,14389.3
28,476,189.877,360627,28,13699.1
29,472,194.478,378519,29,13610.6
