,nit,x_diff,f_diff,p_id,duration_microsec
0,259,0.631833,0.104506,0,855.099
1,262,0.346125,0.027393,1,823.921
2,271,0.408099,0.0391349,2,747.519
3,252,0.345906,0.0273561,3,742.078
4,250,0.299991,0.0201771,4,787.643
5,270,0.662957,0.116979,5,963.637
6,251,0.341203,0.0265621,6,1063.26
7,253,0.449797,0.0484426,7,1524.75
8,242,0.457517,0.0503017,8,1275.74
9,265,0.445616,0.0474704,9,1259.06
10,269,0.480015,0.0559687,10,1118.97
11,257,0.298391,0.0199491,11,1344.5
12,250,0.23656,0.0122284,12,1293.72
13,269,0.511676,0.0645384,13,1625.78
14,262,0.366374,0.0309625,14,1651.08
15,271,0.428316,0.0434978,15,1604.78
16,206,0.0364926,0.000263706,16,856.949
17,250,0.129506,0.00351293,17,1281.19
18,252,0.389026,0.0352595,18,1283.93
19,278,0.531084,0.0701791,19,1448.82
20,264,0.576613,0.0846118,20,1643.97
21,242,0.501566,0.0617131,21,786.544
22,266,0.596433,0.0914376,22,828.635
23,265,0.494737,0.0598493,23,1078.65
24,270,0.505819,0.0628935,24,1752.12
25,247,0.427349,0.0432824,25,1251.5
26,244,0.297336,0.0198005,26,1415.21
27,264,0.355324,0.0289827,27,1434.26
28,253,0.411791,0.0399219,28,1635.59
29,211,0.0925571,0.00178278,29,1044.14
