,nit,x_diff,f_diff,p_id,duration_microsec
0,98,47.1022,0.45178,0,792.132
1,87,91.1049,0.494219,1,597.398
2,106,72.2401,0.487078,2,605.662
3,115,40.8268,0.429723,3,733.254
4,93,109.927,0.497084,4,573.808
5,112,18.8335,0.227693,5,652.772
6,72,254.406,0.499885,6,472.185
7,101,219.936,0.499795,7,546.719
8,98,163.355,0.499348,8,643.818
9,21,556.495,0.499997,9,146.682
10,51,669.057,0.499998,10,373.273
11,104,62.8168,0.47957,11,754.287
12,92,245.047,0.499866,12,611.684
13,52,672.186,0.499998,13,262.796
14,103,40.8283,0.429724,14,670.045
15,97,172.824,0.499477,15,465.806
16,165,18.8333,0.227693,16,856.567
17,51,433.532,0.499986,17,346.295
18,73,323.614,0.499955,18,485.856
19,90,138.24,0.498764,19,655.174
20,92,424.197,0.499985,20,708.248
21,101,166.462,0.499396,21,731.557
22,76,232.395,0.499837,22,437.371
23,44,354.943,0.499969,23,224.094
24,91,207.281,0.499743,24,479.962
25,86,191.603,0.499649,25,453.103
26,63,307.723,0.499948,26,392.601
27,62,323.706,0.499957,27,408.597
28,109,34.5361,0.396105,28,703.664
29,20,465.298,0.499992,29,116.634
