,nit,x_diff,f_diff,p_id,duration_microsec
0,261,1668.46,1500.25,0,4676.81
1,241,1401.7,2112.41,1,3593.58
2,260,1840.52,1322.67,2,4815.64
3,297,1547.29,1796.61,3,5066.83
4,251,1488.34,1796.4,4,4108.78
5,245,1434.17,1519.98,5,3372.61
6,297,1454.49,1263.49,6,5181.75
7,275,1536.76,1480.52,7,5311.1
8,255,1705.93,1855.59,8,4350.28
9,341,1130.43,1327.93,9,5799.57
10,309,1496.28,2053.08,10,5215.13
11,341,873.969,1699.54,11,5972.48
12,316,1372.85,1974.34,12,4321.69
13,329,1623.42,1816.44,13,5307.01
14,338,1327.84,1521.27,14,4104.1
15,289,1412.19,1006.79,15,2517.64
16,345,1099.76,1679.83,16,5116.89
17,261,1470.39,1480.6,17,4588.89
18,251,1568.47,1776.71,18,4279.99
19,344,1101.33,1620.08,19,6294.03
20,282,1410.6,1974.07,20,3111.45
21,264,1610.47,2191.47,21,4682.94
22,278,1401.51,1717.43,22,4039.28
23,309,1243.37,1402.2,23,3922.59
24,245,1308.1,1835.94,24,4167.13
25,324,851.482,1540.17,25,4822.52
26,283,1660.82,2072.83,26,5114.43
27,372,1463.01,1103.36,27,6406.14
28,328,1400.77,1086.82,28,5774.51
29,299,1338.29,1144.96,29,2826.06
