,nit,x_diff,f_diff,p_id,duration_microsec
0,370,48.6911,2370.82,0,10352.6
1,375,43.9456,1931.22,1,6866.75
2,364,45.3715,2058.57,2,10257
3,364,38.9716,1518.79,3,8040.65
4,373,49.6947,2469.56,4,7435.36
5,374,51.9583,2699.67,5,10029
6,373,52.0058,2704.6,6,9388.24
7,364,37.179,1382.28,7,9211.59
8,379,49.6572,2465.84,8,8322.06
9,375,53.3343,2844.55,9,10565.6
10,375,45.6455,2083.51,10,9960.47
11,373,48.1742,2320.76,11,9076.8
12,377,41.5714,1728.18,12,10153.4
13,371,39.897,1591.77,13,7421.95
14,370,46.1961,2134.08,14,9727.16
15,370,41.7208,1740.62,15,8515.38
16,370,55.689,3101.26,16,7109.91
17,380,77.0134,5931.07,17,8640.32
18,374,54.2434,2942.35,18,8854.17
19,373,58.8704,3465.73,19,8009.51
20,367,40.6741,1654.38,20,9566.76
21,369,46.6217,2173.58,21,8095.26
22,371,57.6952,3328.74,22,8572.82
23,363,46.073,2122.72,23,9330.43
24,381,50.035,2503.51,24,10096.9
25,376,52.9611,2804.88,25,8919.03
26,374,52.1913,2723.93,26,10071.7
27,375,56.0307,3139.44,27,9457.36
28,379,48.1909,2322.36,28,10953.4
29,350,26.0829,680.315,29,9689.06
