,nit,x_diff,f_diff,p_id,duration_microsec
0,8,5.88623,34.8235,0,70.231
1,11,4.97478,24.874,1,108.985
2,8,4.87426,23.879,2,82.393
3,86,7.24336,52.7327,3,2674.22
4,15,10.5295,111.435,4,163.085
5,12,8.20458,67.657,5,139.806
6,9,5.35799,28.8538,6,110.039
7,195,8.083,65.667,7,5055.84
8,11,7.51171,56.7125,8,117.996
9,7,6.82105,46.763,9,70.011
10,9,6.52433,42.7831,10,74.388
11,21,6.96465,48.7528,11,409.923
12,16,5.80153,33.8286,12,163.03
13,12,7.44549,55.7174,13,109.193
14,15,7.70683,59.6973,14,151.414
15,45,6.82106,46.763,15,1224.43
16,12,7.51171,56.7125,16,112.128
17,8,3.97983,15.9194,17,61.523
18,15,6.52436,42.7832,18,118.495
19,15,3.72279,13.9294,19,87.284
20,13,5.80153,33.8286,20,78.377
21,18,8.61651,74.6217,21,145.711
22,10,8.26468,68.652,22,51.468
23,9,5.96973,35.8185,23,38.64
24,7,4.33692,18.9042,24,35.637
25,8,6.44803,41.7882,25,37.82
26,13,6.44805,41.7883,26,59.63
27,19,7.51168,56.7124,27,92.607
28,11,4.66676,21.8891,28,52.498
29,77,5.88623,34.8235,29,1326.11
