,nit,x_diff,f_diff,p_id,duration_microsec
0,34,0.000447341,4.43193e-08,0,43.005
1,19,0.000447073,4.10659e-08,1,16.015
2,39,0.000447148,4.11638e-08,2,52.734
3,22,0.000445586,5.31082e-08,3,18.338
4,39,0.000446854,4.26149e-08,4,43.93
5,38,0.000447089,4.01035e-08,5,42.02
6,500,0.00044617,3.98144e-08,6,1020.27
7,24,0.000445594,5.06269e-08,7,19.204
8,244,0.000423667,3.59042e-08,8,486.834
9,39,0.000446851,4.39183e-08,9,45.022
10,42,0.000447174,4.1315e-08,10,50.49
11,500,0.000419577,3.52147e-08,11,1070.46
12,500,0.000439676,3.86147e-08,12,1091.11
13,38,0.000447089,4.00339e-08,13,47.158
14,500,0.000388155,3.09246e-08,14,1179.92
15,37,0.000447077,4.02415e-08,15,51.895
16,450,0.000446679,3.99144e-08,16,1121.76
17,37,0.000447107,4.06673e-08,17,54.362
18,36,0.000447096,4.09577e-08,18,55.172
19,500,0.000446016,3.97657e-08,19,1302.69
20,38,0.000448163,4.08625e-08,20,44.249
21,500,0.000446972,3.99703e-08,21,1142.48
22,39,0.000447064,4.14494e-08,22,45.916
23,500,0.000364171,2.66743e-08,23,1198.73
24,150,0.000441022,3.891e-08,24,307.645
25,40,0.000447117,4.18011e-08,25,47.943
26,27,0.000447309,4.60585e-08,26,24.947
27,443,0.000423618,3.58934e-08,27,1017.09
28,500,0.000444881,3.95662e-08,28,1137.68
29,19,0.000447098,4.06965e-08,29,13.698
