,nit,x_diff,f_diff,p_id,duration_microsec
0,4,3.13848,0.00971591,0,6.726
1,4,9.41613,0.0781892,1,2.466
2,4,9.41613,0.0781899,2,2.344
3,4,3.13848,0.00971592,3,3.771
4,4,6.27715,0.0372243,4,2.511
5,3,3.13848,0.00971597,5,2.097
6,4,3.13848,0.00971591,6,3.553
7,4,12.5555,0.126991,7,3.484
8,4,3.13848,0.00971592,8,2.319
9,4,6.27715,0.0372242,9,2.229
10,3,9.41613,0.0783633,10,5.491
11,4,9.41613,0.0781892,11,2.967
12,3,8.08605e-07,0.000240606,12,3.958
13,4,12.5555,0.126991,13,2.315
14,4,6.27715,0.0372241,14,2.917
15,4,6.27715,0.0372249,15,2.868
16,4,9.41613,0.07819,16,2.299
17,4,9.41613,0.0781894,17,2.133
18,4,6.27715,0.0372244,18,2.156
19,4,6.27715,0.0372241,19,2.274
20,4,3.13848,0.00971996,20,2.149
21,4,3.13849,0.00971792,21,2.219
22,4,12.5555,0.126991,22,3.447
23,3,12.5555,0.126993,23,1.627
24,3,9.41613,0.0781893,24,1.645
25,5,3.13848,0.00971591,25,2.788
26,4,6.27715,0.0372244,26,2.132
27,5,3.13848,0.00971591,27,5.563
28,4,3.13848,0.00971603,28,3.682
29,3,3.13848,0.00971601,29,1.921
