,nit,x_diff,f_diff,p_id,duration_microsec
0,12,2572.33,9734.31,0,519.858
1,19,2544.36,9713.8,1,931.187
2,15,2240.11,9972.26,2,552.322
3,14,2358.85,10168.5,3,585.456
4,13,2306.08,9713.9,4,777.028
5,16,2366.65,10149.1,5,847.365
6,16,2545.25,10267,6,936.213
7,15,2385.48,9121.61,7,954.336
8,14,2494.01,10366.2,8,792.999
9,17,2331.37,10307,9,856.683
10,15,2426.51,9892.03,10,917.973
11,15,2330.81,9871.94,11,851.529
12,13,2283.89,10900.1,12,784.491
13,15,2308.03,10148.8,13,933.374
14,15,2503.21,10365.3,14,1035.54
15,16,2484.28,10188.3,15,1078.19
16,14,2334.68,10228.5,16,686.722
17,12,2385.56,9772.79,17,536.306
18,15,2157.3,10050.2,18,602.691
19,14,2215.96,10387.2,19,624.723
20,17,2487.07,10425.7,20,799.465
21,16,2483.04,9694.66,21,739.188
22,16,2536.17,10385.2,22,1005.61
23,12,2335.79,10010.4,23,866.813
24,13,2519.47,10682.3,24,960.499
25,13,2287.21,10682.7,25,917.916
26,15,2341.67,10089.9,26,924.576
27,24,2205.59,10484.9,27,1794.03
28,13,2436.95,10583.1,28,963.736
29,14,2316.35,10326,29,859.307
