,nit,x_diff,f_diff,p_id,duration_microsec
0,500,2.98516,8.96068,0,151.952
1,500,4.14808,18.6514,1,135.473
2,500,3.57643,13.2027,2,128.439
3,500,5.32302,29.812,3,214.498
4,500,2.98527,8.9552,4,219.197
5,474,5.62826,31.8387,5,176.997
6,500,3.03935,11.1642,6,185.505
7,478,3.85348,14.9244,7,165.542
8,500,5.07315,25.8691,8,124.464
9,500,3.72209,13.9303,9,128.984
10,500,3.58736,12.9348,10,123.056
11,500,3.46381,18.7773,11,122.357
12,500,5.1694,26.864,12,123.91
13,463,4.10262,16.9144,13,122.197
14,500,4.59915,26.0223,14,130.961
15,500,3.44636,11.9398,15,114.527
16,500,3.14743,10.1003,16,109.758
17,500,3.15805,10.2337,17,127.805
18,500,6.1334,37.8089,18,119.021
19,500,4.10321,17.3379,19,113.166
20,500,3.72288,13.9295,20,119.994
21,500,5.54866,30.9171,21,120.116
22,500,5.3581,28.8538,22,121.076
23,500,2.81531,7.96344,23,132.21
24,500,3.58733,12.9345,24,113.157
25,496,5.1699,26.8639,25,116.614
26,483,3.7226,13.9295,26,126.92
27,500,4.79832,23.199,27,129.913
28,500,3.58876,13.1065,28,120.305
29,500,3.29978,10.9447,29,132.977
